,Name,Pos,Team,Opp,ETR MP,Salary,ETRProj,Value,Ceiling,Own,Site,Slate,Scenario,ID,DKName
37,Kon Knueppel,SG/SF,CHA,LAL,33.0,"$6,300",31.8,0.6,39.6,11.8%,DK,MAIN,Default,40738404,Kon Knueppel
38,Myles Turner,C,MIL,DAL,30.0,"$6,100",31.7,1.3,39.0,6.1%,DK,MAIN,Default,40738423,Myles Turner
39,Rudy Gobert,C,MIN,UTA,32.5,"$6,000",31.4,1.4,38.8,7.3%,DK,MAIN,Default,40738435,Rudy Gobert
40,Kel'el Ware,C,MIA,CLE,27.0,"$6,300",31.0,-0.2,39.0,2.3%,DK,MAIN,Default,40738409,Kel'el Ware
41,Donte DiVincenzo,PG,MIN,UTA,31.0,"$6,000",31.0,1.0,38.9,7.1%,DK,MAIN,Default,40738437,Donte DiVincenzo
42,Ryan Rollins,PG,MIL,DAL,30.5,"$6,300",30.6,-0.6,39.7,4.5%,DK,MAIN,Default,40738401,Ryan Rollins
43,Ronald Holland II,SF/PF,DET,WAS,31.5,"$4,300",30.5,7.3,38.9,79.9%,DK,MAIN,Default,40738635,Ronald Holland II
44,Matas Buzelis,PF,CHI,SAS,30.0,"$5,900",30.1,0.5,38.0,3.6%,DK,MAIN,Default (Hedged Ayo & Huerter Starting),40738453,Matas Buzelis
45,CJ McCollum,PG,WAS,DET,28.5,"$5,800",30.1,0.9,38.4,7.1%,DK,MAIN,Default,40738459,CJ McCollum
46,Shaedon Sharpe,SG,POR,ORL,27.0,"$6,600",30.0,-2.4,38.1,1.3%,DK,MAIN,Default,40738376,Shaedon Sharpe
47,Toumani Camara,SF,POR,ORL,34.5,"$5,800",29.5,0.3,37.2,4.8%,DK,MAIN,Default,40738456,Toumani Camara
48,Jeremiah Fears,PG,NOP,PHX,27.5,"$5,100",29.3,2.9,38.0,16.5%,DK,MAIN,Default,40738527,Jeremiah Fears
49,Kyshawn George,SG,WAS,DET,30.0,"$6,200",29.2,-1.6,37.6,0.9%,DK,MAIN,Default,40738411,Kyshawn George
50,Herbert Jones,SF,NOP,PHX,34.5,"$5,300",28.8,1.6,37.1,7.7%,DK,MAIN,Default,40738504,Herbert Jones
51,Devin Vassell,SF,SAS,CHI,32.0,"$6,400",28.6,-3.0,36.2,0.2%,DK,MAIN,Default,40738398,Devin Vassell
52,Wendell Carter Jr.,C,ORL,POR,29.5,"$5,700",28.5,-0.3,35.8,3.9%,DK,MAIN,Default,40738468,Wendell Carter Jr.
53,Jaden McDaniels,SF,MIN,UTA,31.0,"$5,900",28.3,-1.3,35.6,2.7%,DK,MAIN,Default,40738450,Jaden McDaniels
54,Ayo Dosunmu,SG/SF,CHI,SAS,28.0,"$4,200",27.7,4.9,35.6,57.6%,DK,MAIN,Default (Hedged Ayo & Huerter Starting),40738650,Ayo Dosunmu
55,Dillon Brooks,PF,PHX,NOP,30.5,"$6,100",27.7,-2.7,35.0,1.6%,DK,MAIN,Default,40738429,Dillon Brooks
56,De'Andre Hunter,SF,CLE,MIA,28.0,"$6,700",27.5,-5.3,34.5,0.2%,DK,MAIN,Default,40738371,De'Andre Hunter
57,Kevin Huerter,SG,CHI,SAS,28.0,"$4,800",27.0,1.8,34.7,17.7%,DK,MAIN,Default (Hedged Ayo & Huerter Starting),40738578,Kevin Huerter
58,D'Angelo Russell,PG,DAL,MIL,22.0,"$6,100",26.6,-3.8,35.2,0.0%,DK,MAIN,Default,40738432,D'Angelo Russell
59,Davion Mitchell,PG,MIA,CLE,30.0,"$5,500",26.6,-1.4,34.6,3.4%,DK,MAIN,Default,40738487,Davion Mitchell
60,Royce O'Neale,PF,PHX,NOP,30.0,"$5,400",26.6,-1.0,34.0,2.9%,DK,MAIN,Default,40738494,Royce O'Neale
61,Jerami Grant,SF/PF,POR,ORL,29.5,"$6,100",26.6,-3.8,34.0,1.0%,DK,MAIN,Default,40738425,Jerami Grant
62,Nikola Jovic,PF/C,MIA,CLE,25.5,"$5,200",26.0,-0.8,33.9,6.3%,DK,MAIN,Default,40738519,Nikola Jovic
63,Ryan Kalkbrenner,C,CHA,LAL,29.0,"$5,100",25.9,-0.5,33.4,1.9%,DK,MAIN,Default,40738535,Ryan Kalkbrenner
64,Collin Gillespie,PG,PHX,NOP,25.0,"$5,200",25.8,-1.0,33.9,4.5%,DK,MAIN,Default,40738512,Collin Gillespie
65,Anthony Black,SG/SF,ORL,POR,30.0,"$4,700",25.6,0.8,34.1,14.7%,DK,MAIN,Default,40738585,Anthony Black
66,Naz Reid,PF/C,MIN,UTA,23.5,"$5,000",25.3,-0.7,32.9,8.7%,DK,MAIN,Default,40738540,Naz Reid
67,Javonte Green,SG/SF,DET,WAS,28.5,"$3,700",25.1,4.3,32.6,57.9%,DK,MAIN,Default,40738736,Javonte Green
68,Donovan Clingan,C,POR,ORL,24.0,"$5,600",25.1,-3.3,32.9,0.8%,DK,MAIN,Default,40738478,Donovan Clingan
