,Player,Team,Opp,Pos,Pass Att,Pass Comp,Pass Yards,Pass TD,Int,Rush Att,Rush Yds,Rush TD,Tgt,Rec,Rec Yds,Rec TD,Rush Rec TD,Ceiling100,LastUpdate
28,Ben Sims,MIN,SEA,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,100.0,2025-12-01 01:24:46 PM
29,Ben Sinnott,WAS,DEN,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,2.9,0.02,0.02,100.0,2025-12-01 01:24:46 PM
30,Ben Skowronek,PIT,BUF,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,2.6,0.01,0.01,100.0,2025-12-01 01:24:46 PM
31,Bhayshul Tuten,JAX,TEN,RB,0.0,0.0,0.0,0.0,0.0,8.19,35.42,0.35,1.0,0.74,5.08,0.04,0.39,100.0,2025-12-01 01:24:46 PM
32,Bijan Robinson,ATL,NYJ,RB,0.0,0.0,0.0,0.0,0.0,15.45,72.38,0.55,5.2,4.36,40.69,0.22,0.77,131.0,2025-12-01 01:24:46 PM
33,Blake Corum,LAR,CAR,RB,0.0,0.0,0.0,0.0,0.0,8.82,37.78,0.29,0.8,0.75,4.54,0.01,0.3,64.0,2025-12-01 01:24:46 PM
34,Blake Whiteheart,CLE,SF,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,1.6,0.01,0.01,100.0,2025-12-01 01:24:46 PM
35,Bo Melton,GB,DET,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.1,0.0,0.0,100.0,2025-12-01 01:24:46 PM
36,Bo Nix,DEN,WAS,QB,33.33,21.0,227.89,1.75,0.66,4.49,17.89,0.17,0.0,0.0,0.0,0.0,0.17,119.0,2025-12-01 01:24:46 PM
37,Brandin Cooks,BUF,PIT,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.3,13.5,0.06,0.06,100.0,2025-12-01 01:24:46 PM
38,Brashard Smith,KAN,DAL,RB,0.0,0.0,0.0,0.0,0.0,1.6,5.2,0.04,2.1,1.7,13.4,0.1,0.14,100.0,2025-12-01 01:24:46 PM
39,Breece Hall,NYJ,ATL,RB,0.0,0.0,0.0,0.0,0.0,17.71,78.15,0.37,3.2,2.71,24.12,0.13,0.5,111.0,2025-12-01 01:24:46 PM
40,Brenton Strange,JAX,TEN,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,3.77,41.57,0.22,0.22,95.0,2025-12-01 01:24:46 PM
41,Brevyn Spann-Ford,DAL,KAN,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,2.5,0.04,0.04,100.0,2025-12-01 01:24:46 PM
42,Brian Robinson,SF,CLE,RB,0.0,0.0,0.0,0.0,0.0,7.9,32.44,0.15,0.7,0.6,3.9,0.01,0.16,100.0,2025-12-01 01:24:46 PM
43,Brian Thomas,JAX,TEN,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,3.62,52.09,0.31,0.31,98.0,2025-12-01 01:24:46 PM
44,Britain Covey,PHI,CHI,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,0.0,0.0,100.0,2025-12-01 01:24:46 PM
45,British Brooks,HOU,IND,RB,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2025-12-01 01:24:46 PM
46,Brock Bowers,LVR,LAC,TE,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.0,8.1,5.98,64.38,0.4,0.4,140.0,2025-12-01 01:24:46 PM
47,Brock Purdy,SF,CLE,QB,29.28,20.0,209.42,1.2,0.84,3.62,12.79,0.06,0.0,0.0,0.0,0.0,0.06,78.0,2025-12-01 01:24:46 PM
48,Bryce Young,CAR,LAR,QB,33.99,21.0,211.57,1.14,0.94,2.35,11.88,0.06,0.0,0.0,0.0,0.0,0.06,77.0,2025-12-01 01:24:46 PM
49,Brycen Tremayne,CAR,LAR,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,1.7,0.0,0.0,100.0,2025-12-01 01:24:46 PM
50,Bucky Irving,TB,ARZ,RB,0.0,0.0,0.0,0.0,0.0,12.2,54.03,0.42,2.4,2.03,16.23,0.08,0.5,90.0,2025-12-01 01:24:46 PM
51,C.J. Stroud,HOU,IND,QB,36.59,24.0,252.25,1.37,0.79,3.38,20.27,0.03,0.0,0.0,0.0,0.0,0.03,105.0,2025-12-01 01:24:46 PM
52,CJ Ham,MIN,SEA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,1.4,0.0,0.0,100.0,2025-12-01 01:24:46 PM
53,Cade Otton,TB,ARZ,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.1,40.77,0.26,0.26,93.0,2025-12-01 01:24:46 PM
54,Cade Stover,HOU,IND,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,13.3,0.05,0.05,100.0,2025-12-01 01:24:46 PM
55,Caleb Williams,CHI,PHI,QB,34.0,21.0,231.0,0.93,0.46,4.9,28.2,0.15,0.0,0.0,0.0,0.0,0.15,91.0,2025-12-01 01:24:46 PM
56,Calvin Austin,PIT,BUF,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,2.72,31.74,0.19,0.19,73.0,2025-12-01 01:24:46 PM
57,Cam Akers,SEA,MIN,?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2025-12-01 01:24:46 PM
58,Cam Ward,TEN,JAX,QB,33.59,21.0,202.42,1.18,0.64,2.7,11.65,0.05,0.0,0.0,0.0,0.0,0.05,80.0,2025-12-01 01:24:46 PM
59,Carter Runyon,LVR,LAC,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,1.2,0.0,0.0,100.0,2025-12-01 01:24:46 PM
60,Cedric Tillman,CLE,SF,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,2.23,23.68,0.14,0.14,100.0,2025-12-01 01:24:46 PM
61,Cedrick Wilson,MIA,NOR,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.6,6.1,0.04,0.04,100.0,2025-12-01 01:24:46 PM
62,CeeDee Lamb,DAL,KAN,WR,0.0,0.0,0.0,0.0,0.0,0.1,0.6,0.0,9.6,6.2,87.2,0.54,0.54,140.0,2025-12-01 01:24:46 PM
63,Charlie Jones,CIN,BAL,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,2.4,0.01,0.01,100.0,2025-12-01 01:24:46 PM
64,Charlie Kolar,BAL,CIN,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,5.5,0.05,0.05,100.0,2025-12-01 01:24:46 PM
65,Charlie Woerner,ATL,NYJ,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.78,6.96,0.03,0.03,100.0,2025-12-01 01:24:46 PM
66,Chase Brown,CIN,BAL,RB,0.0,0.0,0.0,0.0,0.0,13.9,58.2,0.39,5.1,4.0,27.6,0.15,0.54,112.0,2025-12-01 01:24:46 PM
67,Chig Okonkwo,TEN,JAX,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,2.4,26.18,0.11,0.11,100.0,2025-12-01 01:24:46 PM
68,Chimere Dike,TEN,JAX,WR,0.0,0.0,0.0,0.0,0.0,0.4,1.5,0.01,5.3,3.3,34.78,0.36,0.37,75.0,2025-12-01 01:24:46 PM
69,Chris Godwin,TB,ARZ,?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,41.17,0.0,0.0,75.0,2025-12-01 01:24:46 PM
70,Chris Godwin Jr.,TB,ARZ,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,3.1,30.7,0.21,0.21,100.0,2025-12-01 01:24:46 PM
71,Chris Manhertz,NYG,NWE,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,100.0,2025-12-01 01:24:46 PM
72,Chris Moore,WAS,DEN,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2.9,1.7,25.8,0.1,0.1,100.0,2025-12-01 01:24:46 PM
73,Chris Olave,NOR,MIA,WR,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.0,9.1,5.85,64.78,0.38,0.38,111.0,2025-12-01 01:24:46 PM
74,Chris Rodriguez,WAS,DEN,RB,0.0,0.0,0.0,0.0,0.0,11.41,47.0,0.42,0.9,0.7,5.1,0.01,0.43,67.0,2025-12-01 01:24:46 PM
75,Christian Kirk,HOU,IND,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,2.31,24.11,0.15,0.15,100.0,2025-12-01 01:24:46 PM
76,Christian McCaffrey,SF,CLE,RB,0.0,0.0,0.0,0.0,0.0,17.95,69.94,0.46,6.4,4.95,45.4,0.23,0.69,130.0,2025-12-01 01:24:46 PM
77,Christian Watson,GB,DET,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,4.1,67.0,0.48,0.48,111.0,2025-12-01 01:24:46 PM
78,Christopher Brooks,GB,DET,RB,0.0,0.0,0.0,0.0,0.0,0.7,2.9,0.01,0.4,0.3,2.3,0.0,0.01,100.0,2025-12-01 01:24:46 PM
79,Chuba Hubbard,CAR,LAR,RB,0.0,0.0,0.0,0.0,0.0,4.3,17.7,0.08,1.9,1.5,9.18,0.07,0.15,100.0,2025-12-01 01:24:46 PM
80,Cody White,SEA,MIN,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,4.7,0.03,0.03,100.0,2025-12-01 01:24:46 PM
81,Colby Parkinson,LAR,CAR,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,2.94,29.57,0.26,0.26,100.0,2025-12-01 01:24:46 PM
82,Cole Kmet,CHI,PHI,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.6,14.9,0.04,0.04,100.0,2025-12-01 01:24:46 PM
83,Colston Loveland,CHI,PHI,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,3.1,36.9,0.19,0.19,82.0,2025-12-01 01:24:46 PM
84,Connor Heyward,PIT,BUF,TE,0.0,0.0,0.0,0.0,0.0,0.6,1.2,0.01,0.1,0.1,0.7,0.01,0.02,100.0,2025-12-01 01:24:46 PM
85,Cooper Kupp,SEA,MIN,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,2.7,35.61,0.19,0.19,79.0,2025-12-01 01:24:46 PM
86,Courtland Sutton,DEN,WAS,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,3.92,55.95,0.44,0.44,105.0,2025-12-01 01:24:46 PM
87,D'Andre Swift,CHI,PHI,RB,0.0,0.0,0.0,0.0,0.0,10.8,47.7,0.27,2.8,2.2,18.8,0.05,0.32,81.0,2025-12-01 01:24:46 PM
88,DJ Moore,CHI,PHI,WR,0.0,0.0,0.0,0.0,0.0,0.7,3.7,0.01,5.6,3.5,44.1,0.21,0.22,80.0,2025-12-01 01:24:46 PM
89,DK Metcalf,PIT,BUF,WR,0.0,0.0,0.0,0.0,0.0,0.3,1.5,0.0,6.3,3.98,55.1,0.41,0.41,109.0,2025-12-01 01:24:46 PM
90,Dak Prescott,DAL,KAN,QB,35.0,24.0,270.0,1.88,0.64,3.6,12.5,0.11,0.0,0.0,0.0,0.0,0.11,122.0,2025-12-01 01:24:46 PM
91,Dallas Goedert,PHI,CHI,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,3.7,38.2,0.41,0.41,91.0,2025-12-01 01:24:46 PM
92,Dalton Schultz,HOU,IND,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,4.53,46.82,0.23,0.23,99.0,2025-12-01 01:24:46 PM
93,Daniel Bellinger,NYG,NWE,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.3,14.7,0.13,0.13,100.0,2025-12-01 01:24:46 PM
94,Daniel Jones,IND,HOU,QB,32.13,21.0,241.88,1.36,0.76,3.54,16.88,0.22,0.0,0.0,0.0,0.0,0.22,106.0,2025-12-01 01:24:46 PM
95,Dante Pettis,NOR,MIA,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,4.0,0.01,0.01,100.0,2025-12-01 01:24:46 PM
96,Dare Ogunbowale,HOU,IND,RB,0.0,0.0,0.0,0.0,0.0,0.2,0.7,0.0,0.4,0.3,2.1,0.0,0.0,100.0,2025-12-01 01:24:46 PM
97,Darius Cooper,PHI,CHI,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,2.4,0.0,0.0,100.0,2025-12-01 01:24:46 PM
98,Darius Slayton,NYG,NWE,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,2.61,36.0,0.22,0.22,100.0,2025-12-01 01:24:46 PM
99,Darnell Mooney,ATL,NYJ,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.82,50.95,0.31,0.31,94.0,2025-12-01 01:24:46 PM
100,Darnell Washington,PIT,BUF,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.92,22.1,0.17,0.17,100.0,2025-12-01 01:24:46 PM
101,Darren Waller,MIA,NOR,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,2.2,23.5,0.25,0.25,100.0,2025-12-01 01:24:46 PM
102,Davante Adams,LAR,CAR,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,4.71,58.27,0.96,0.96,129.0,2025-12-01 01:24:46 PM
103,David Martin-Robinson,TEN,JAX,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,100.0,2025-12-01 01:24:46 PM
104,David Montgomery,DET,GB,RB,0.0,0.0,0.0,0.0,0.0,9.7,38.7,0.48,1.9,1.7,12.0,0.02,0.5,84.0,2025-12-01 01:24:46 PM
105,David Njoku,CLE,SF,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1.8,16.94,0.09,0.09,100.0,2025-12-01 01:24:46 PM
106,David Sills,ATL,NYJ,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,2.33,24.96,0.17,0.17,100.0,2025-12-01 01:24:46 PM
107,Davis Allen,LAR,CAR,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.91,18.25,0.19,0.19,100.0,2025-12-01 01:24:46 PM
108,Dawson Knox,BUF,PIT,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.9,32.8,0.24,0.24,69.0,2025-12-01 01:24:46 PM
