,Player,Team,Opp,Pos,Pass Att,Pass Comp,Pass Yards,Pass TD,Int,Rush Att,Rush Yds,Rush TD,Tgt,Rec,Rec Yds,Rec TD,Rush Rec TD,Ceiling100,LastUpdate
139,Emeka Egbuka,TB,ARZ,WR,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.0,8.4,4.92,66.79,0.56,0.56,123.0,2025-12-01 01:24:46 PM
140,Eric Gray,NYG,NWE,RB,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2025-12-01 01:24:46 PM
141,Evan Engram,DEN,WAS,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,4.4,3.13,28.14,0.25,0.25,74.0,2025-12-01 01:24:46 PM
142,Evan Hull,NOR,MIA,RB,0.0,0.0,0.0,0.0,0.0,0.7,2.2,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2025-12-01 01:24:46 PM
143,Feleipe Franks,ATL,NYJ,TE,0.0,0.0,0.0,0.0,0.0,0.5,0.7,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2025-12-01 01:24:46 PM
144,Foster Moreau,NOR,MIA,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.9,9.1,0.06,0.06,100.0,2025-12-01 01:24:46 PM
145,Gabe Davis,BUF,PIT,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,2.27,32.82,0.16,0.16,74.0,2025-12-01 01:24:46 PM
146,Gage Larvadain,CLE,SF,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,2.2,0.01,0.01,100.0,2025-12-01 01:24:46 PM
147,Gary Brightwell,CIN,BAL,RB,0.0,0.0,0.0,0.0,0.0,0.4,1.5,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2025-12-01 01:24:46 PM
148,Geno Smith,LVR,LAC,QB,32.17,21.0,213.68,0.9,0.8,3.29,13.2,0.04,0.0,0.0,0.0,0.0,0.04,72.0,2025-12-01 01:24:46 PM
149,George Kittle,SF,CLE,TE,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0,5.9,4.2,48.19,0.41,0.41,114.0,2025-12-01 01:24:46 PM
150,George Pickens,DAL,KAN,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,5.5,87.8,0.56,0.56,140.0,2025-12-01 01:24:46 PM
151,Grant Calcaterra,PHI,CHI,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.5,5.0,0.02,0.02,100.0,2025-12-01 01:24:46 PM
152,Greg Dortch,ARZ,TB,WR,0.0,0.0,0.0,0.0,0.0,1.0,4.3,0.02,3.3,2.3,22.0,0.1,0.12,100.0,2025-12-01 01:24:46 PM
153,Greg Dulcich,MIA,NOR,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.1,12.6,0.08,0.08,100.0,2025-12-01 01:24:46 PM
154,Gunnar Helm,TEN,JAX,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,2.75,27.48,0.2,0.2,100.0,2025-12-01 01:24:46 PM
155,Gunner Olszewski,NYG,NWE,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,1.7,0.01,0.01,100.0,2025-12-01 01:24:46 PM
156,Harold Fannin,CLE,SF,TE,0.0,0.0,0.0,0.0,0.0,0.5,1.5,0.0,6.0,4.03,38.71,0.18,0.18,83.0,2025-12-01 01:24:46 PM
157,Hunter Henry,NWE,NYG,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,3.7,43.61,0.44,0.44,104.0,2025-12-01 01:24:46 PM
158,Hunter Luepke,DAL,KAN,RB,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.6,0.5,3.8,0.01,0.01,100.0,2025-12-01 01:24:46 PM
159,Ian Thomas,LVR,LAC,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.47,13.97,0.03,0.03,100.0,2025-12-01 01:24:46 PM
160,Isaac TeSlaa,DET,GB,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.5,20.1,0.22,0.22,100.0,2025-12-01 01:24:46 PM
161,Isaiah Bond,CLE,SF,WR,0.0,0.0,0.0,0.0,0.0,0.2,0.9,0.0,2.4,1.2,14.4,0.09,0.09,100.0,2025-12-01 01:24:46 PM
162,Isaiah Davis,NYJ,ATL,RB,0.0,0.0,0.0,0.0,0.0,5.1,23.1,0.07,1.5,1.3,10.34,0.04,0.11,100.0,2025-12-01 01:24:46 PM
163,Isaiah Hodgins,NYG,NWE,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,2.35,29.99,0.17,0.17,70.0,2025-12-01 01:24:46 PM
164,Isaiah Likely,BAL,CIN,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,2.4,29.6,0.34,0.34,69.0,2025-12-01 01:24:46 PM
165,Isaiah Williams,NYJ,ATL,WR,0.0,0.0,0.0,0.0,0.0,0.3,1.4,0.0,1.4,0.9,8.9,0.05,0.05,100.0,2025-12-01 01:24:46 PM
166,Isiah Pacheco,KAN,DAL,RB,0.0,0.0,0.0,0.0,0.0,9.7,41.4,0.21,2.1,1.6,10.7,0.08,0.29,72.0,2025-12-01 01:24:46 PM
167,Ja'Marr Chase,CIN,BAL,WR,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.0,11.1,7.7,102.3,0.66,0.66,140.0,2025-12-01 01:24:46 PM
168,Ja'Tavion Sanders,CAR,LAR,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.42,18.91,0.13,0.13,100.0,2025-12-01 01:24:46 PM
169,Jack Bech,LVR,LAC,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,7.5,0.01,0.01,100.0,2025-12-01 01:24:46 PM
170,Jack Stoll,NOR,MIA,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.5,4.2,0.02,0.02,100.0,2025-12-01 01:24:46 PM
171,Jack Westover,NWE,NYG,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.8,0.0,0.0,100.0,2025-12-01 01:24:46 PM
172,Jackson Hawes,BUF,PIT,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.2,13.0,0.16,0.16,100.0,2025-12-01 01:24:46 PM
173,Jacob Saylors,DET,GB,RB,0.0,0.0,0.0,0.0,0.0,0.2,0.9,0.01,0.0,0.0,0.0,0.0,0.01,100.0,2025-12-01 01:24:46 PM
174,Jacoby Brissett,ARZ,TB,QB,37.04,25.0,253.29,1.41,0.66,3.47,14.82,0.13,0.0,0.0,0.0,0.0,0.13,112.0,2025-12-01 01:24:46 PM
175,Jacory Croskey-Merritt,WAS,DEN,RB,0.0,0.0,0.0,0.0,0.0,6.45,25.9,0.14,0.7,0.5,3.8,0.01,0.15,100.0,2025-12-01 01:24:46 PM
176,Jahan Dotson,PHI,CHI,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.8,12.5,0.07,0.07,100.0,2025-12-01 01:24:46 PM
177,Jahmyr Gibbs,DET,GB,RB,0.0,0.0,0.0,0.0,0.0,14.7,81.4,0.66,6.4,5.5,42.7,0.19,0.85,140.0,2025-12-01 01:24:46 PM
178,Jake Bobo,SEA,MIN,?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2025-12-01 01:24:46 PM
179,Jake Ferguson,DAL,KAN,TE,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,5.4,4.5,36.4,0.43,0.43,95.0,2025-12-01 01:24:46 PM
180,Jake Tonges,SF,CLE,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.7,0.01,0.01,100.0,2025-12-01 01:24:46 PM
181,Jakob Johnson,HOU,IND,RB,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.2,0.1,0.8,0.0,0.0,100.0,2025-12-01 01:24:46 PM
182,Jakobi Meyers,JAX,TEN,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,3.75,45.39,0.25,0.25,90.0,2025-12-01 01:24:46 PM
183,Jaleel McLaughlin,DEN,WAS,RB,0.0,0.0,0.0,0.0,0.0,6.4,26.92,0.22,0.5,0.4,2.0,0.01,0.23,100.0,2025-12-01 01:24:46 PM
184,Jalen Coker,CAR,LAR,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,3.23,37.39,0.12,0.12,100.0,2025-12-01 01:24:46 PM
185,Jalen Hurts,PHI,CHI,QB,27.0,19.0,219.0,1.6,0.17,7.7,33.0,0.62,0.0,0.0,0.0,0.0,0.62,132.0,2025-12-01 01:24:46 PM
186,Jalen Nailor,MIN,SEA,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2.8,1.69,20.88,0.09,0.09,100.0,2025-12-01 01:24:46 PM
187,Jamal Agnew,ATL,NYJ,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.8,0.0,0.0,100.0,2025-12-01 01:24:46 PM
188,James Cook,BUF,PIT,RB,0.0,0.0,0.0,0.0,0.0,18.03,89.16,0.54,2.7,2.21,18.76,0.1,0.64,122.0,2025-12-01 01:24:46 PM
189,James Proche,TEN,JAX,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,3.5,0.01,0.01,100.0,2025-12-01 01:24:46 PM
190,Jameson Williams,DET,GB,WR,0.0,0.0,0.0,0.0,0.0,0.2,1.6,0.0,5.6,3.5,58.0,0.36,0.36,102.0,2025-12-01 01:24:46 PM
191,Jared Goff,DET,GB,QB,34.0,23.0,246.0,1.71,0.52,1.1,1.9,0.02,0.0,0.0,0.0,0.0,0.02,103.0,2025-12-01 01:24:46 PM
192,Jared Wiley,KAN,DAL,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,2.2,0.0,0.0,100.0,2025-12-01 01:24:46 PM
193,Jaret Patterson,LAC,LVR,RB,0.0,0.0,0.0,0.0,0.0,4.1,16.0,0.06,0.3,0.2,1.8,0.0,0.06,100.0,2025-12-01 01:24:46 PM
194,Jauan Jennings,SF,CLE,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,3.8,46.35,0.32,0.32,85.0,2025-12-01 01:24:46 PM
195,Javonte Williams,DAL,KAN,RB,0.0,0.0,0.0,0.0,0.0,16.1,70.8,0.66,3.0,2.5,13.3,0.07,0.73,111.0,2025-12-01 01:24:46 PM
196,Jaxon Smith-Njigba,SEA,MIN,WR,0.0,0.0,0.0,0.0,0.0,0.6,3.7,0.0,8.9,6.56,107.1,0.67,0.67,140.0,2025-12-01 01:24:46 PM
197,Jaxson Dart,NYG,NWE,QB,31.19,21.0,214.16,1.3,0.48,6.17,35.98,0.28,0.0,0.0,0.0,0.0,0.28,107.0,2025-12-01 01:24:46 PM
198,Jayden Higgins,HOU,IND,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,3.4,39.17,0.37,0.37,88.0,2025-12-01 01:24:46 PM
199,Jaylen Waddle,MIA,NOR,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,4.86,72.8,0.6,0.6,126.0,2025-12-01 01:24:46 PM
200,Jaylen Warren,PIT,BUF,RB,0.0,0.0,0.0,0.0,0.0,14.01,62.19,0.51,2.1,2.0,14.73,0.05,0.56,101.0,2025-12-01 01:24:46 PM
201,Jaylen Wright,MIA,NOR,RB,0.0,0.0,0.0,0.0,0.0,1.1,4.1,0.01,0.1,0.0,0.3,0.0,0.01,100.0,2025-12-01 01:24:46 PM
202,Jaylin Lane,WAS,DEN,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.2,0.7,10.0,0.02,0.02,100.0,2025-12-01 01:24:46 PM
203,Jaylin Noel,HOU,IND,WR,0.0,0.0,0.0,0.0,0.0,0.4,1.5,0.0,2.4,1.8,19.6,0.06,0.06,100.0,2025-12-01 01:24:46 PM
204,Jeremy McNichols,WAS,DEN,RB,0.0,0.0,0.0,0.0,0.0,2.3,9.1,0.02,2.4,1.65,14.06,0.03,0.05,100.0,2025-12-01 01:24:46 PM
205,Jeremy Ruckert,NYJ,ATL,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.1,8.0,0.06,0.06,100.0,2025-12-01 01:24:46 PM
206,Jermar Jefferson,ARZ,TB,RB,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2025-12-01 01:24:46 PM
207,Jerome Ford,CLE,SF,RB,0.0,0.0,0.0,0.0,0.0,0.9,3.6,0.01,1.2,1.0,4.6,0.02,0.03,100.0,2025-12-01 01:24:46 PM
208,Jerry Jeudy,CLE,SF,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,3.04,35.02,0.2,0.2,100.0,2025-12-01 01:24:46 PM
209,Jimmy Horn,CAR,LAR,WR,0.0,0.0,0.0,0.0,0.0,0.5,3.0,0.0,1.1,0.7,8.0,0.03,0.03,100.0,2025-12-01 01:24:46 PM
210,Joe Burrow,CIN,BAL,QB,38.0,24.0,268.0,1.77,0.58,2.5,10.3,0.04,0.0,0.0,0.0,0.0,0.04,112.0,2025-12-01 01:24:46 PM
211,John Bates,WAS,DEN,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.9,9.3,0.04,0.04,100.0,2025-12-01 01:24:46 PM
212,John FitzPatrick,GB,DET,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.6,13.0,0.16,0.16,100.0,2025-12-01 01:24:46 PM
213,John Metchie,NYJ,ATL,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,3.64,38.44,0.27,0.27,76.0,2025-12-01 01:24:46 PM
214,Johnny Mundt,JAX,TEN,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,5.5,0.03,0.03,100.0,2025-12-01 01:24:46 PM
215,Jonathan Taylor,IND,HOU,RB,0.0,0.0,0.0,0.0,0.0,18.51,92.22,1.05,3.0,2.6,19.19,0.09,1.14,140.0,2025-12-01 01:24:46 PM
216,Jonnu Smith,PIT,BUF,TE,0.0,0.0,0.0,0.0,0.0,0.4,1.2,0.01,3.0,2.29,21.98,0.14,0.15,100.0,2025-12-01 01:24:46 PM
217,Jordan Addison,MIN,SEA,WR,0.0,0.0,0.0,0.0,0.0,0.1,0.6,0.01,5.6,3.38,41.37,0.17,0.18,83.0,2025-12-01 01:24:46 PM
218,Jordan Love,GB,DET,QB,33.0,22.0,237.0,1.49,0.35,2.8,12.0,0.03,0.0,0.0,0.0,0.0,0.03,102.0,2025-12-01 01:24:46 PM
219,Jordan Mason,MIN,SEA,RB,0.0,0.0,0.0,0.0,0.0,7.19,30.64,0.07,0.9,0.7,3.8,0.01,0.08,100.0,2025-12-01 01:24:46 PM
220,Jordan Whittington,LAR,CAR,WR,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.0,1.4,1.0,10.1,0.05,0.05,100.0,2025-12-01 01:24:46 PM
221,Josh Allen,BUF,PIT,QB,32.13,22.0,238.39,1.42,0.8,5.93,30.73,0.64,0.0,0.0,0.0,0.0,0.64,131.0,2025-12-01 01:24:46 PM
222,Josh Downs,IND,HOU,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.65,36.02,0.21,0.21,78.0,2025-12-01 01:24:46 PM
223,Josh Jacobs,GB,DET,RB,0.0,0.0,0.0,0.0,0.0,16.2,62.9,0.75,3.3,2.7,19.6,0.03,0.78,114.0,2025-12-01 01:24:46 PM
224,Josh Oliver,MIN,SEA,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.2,9.6,0.07,0.07,100.0,2025-12-01 01:24:46 PM
225,Josh Whyle,GB,DET,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.1,8.6,0.03,0.03,100.0,2025-12-01 01:24:46 PM
226,Joshua Palmer,BUF,PIT,?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2025-12-01 01:24:46 PM
227,Josiah Deguara,ARZ,TB,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.6,0.01,0.01,100.0,2025-12-01 01:24:46 PM
228,JuJu Smith-Schuster,KAN,DAL,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.3,14.7,0.09,0.09,100.0,2025-12-01 01:24:46 PM
229,Julian Hill,MIA,NOR,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,3.3,0.02,0.02,100.0,2025-12-01 01:24:46 PM
230,Julius Chestnut,TEN,JAX,RB,0.0,0.0,0.0,0.0,0.0,0.4,1.5,0.0,0.1,0.1,0.7,0.0,0.0,100.0,2025-12-01 01:24:46 PM
231,Justin Herbert,LAC,LVR,QB,31.39,22.0,250.49,1.63,0.71,5.12,27.13,0.15,0.0,0.0,0.0,0.0,0.15,121.0,2025-12-01 01:24:46 PM
232,Justin Jefferson,MIN,SEA,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,9.3,5.67,66.67,0.33,0.33,112.0,2025-12-01 01:24:46 PM
233,Juwan Johnson,NOR,MIA,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,4.07,43.92,0.25,0.25,99.0,2025-12-01 01:24:46 PM
234,KaVontae Turpin,DAL,KAN,WR,0.0,0.0,0.0,0.0,0.0,1.2,4.8,0.02,2.6,1.8,19.9,0.09,0.11,100.0,2025-12-01 01:24:46 PM
235,Kaleb Johnson,PIT,BUF,RB,0.0,0.0,0.0,0.0,0.0,0.7,2.5,0.01,0.1,0.1,0.6,0.0,0.01,100.0,2025-12-01 01:24:46 PM
236,Kameron Johnson,TB,ARZ,WR,0.0,0.0,0.0,0.0,0.0,0.2,0.9,0.0,0.2,0.1,1.2,0.01,0.01,100.0,2025-12-01 01:24:46 PM
237,Kareem Hunt,KAN,DAL,RB,0.0,0.0,0.0,0.0,0.0,9.8,40.0,0.54,1.1,1.0,6.6,0.05,0.59,76.0,2025-12-01 01:24:46 PM
238,Kayshon Boutte,NWE,NYG,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,2.39,41.71,0.35,0.35,76.0,2025-12-01 01:24:46 PM
239,Keaton Mitchell,BAL,CIN,RB,0.0,0.0,0.0,0.0,0.0,3.2,19.0,0.07,1.2,1.0,9.6,0.02,0.09,100.0,2025-12-01 01:24:46 PM
240,Keenan Allen,LAC,LVR,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,4.44,49.88,0.33,0.33,94.0,2025-12-01 01:24:46 PM
241,Keleki Latu,BUF,PIT,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,2.1,0.01,0.01,100.0,2025-12-01 01:24:46 PM
242,Kendrick Bourne,SF,CLE,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,2.7,0.01,0.01,100.0,2025-12-01 01:24:46 PM
243,Kene Nwangwu,NYJ,ATL,RB,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2025-12-01 01:24:46 PM
244,Kenneth Gainwell,PIT,BUF,RB,0.0,0.0,0.0,0.0,0.0,6.77,29.62,0.26,4.1,3.55,23.48,0.13,0.39,84.0,2025-12-01 01:24:46 PM
245,Kenneth Walker,SEA,MIN,RB,0.0,0.0,0.0,0.0,0.0,16.88,73.26,0.56,2.3,1.97,16.01,0.05,0.61,110.0,2025-12-01 01:24:46 PM
246,Keon Coleman,BUF,PIT,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,2.9,32.2,0.21,0.21,73.0,2025-12-01 01:24:46 PM
247,Kevin Austin,NOR,MIA,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,1.8,0.0,0.0,100.0,2025-12-01 01:24:46 PM
248,Khadarel Hodge,ATL,NYJ,?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2025-12-01 01:24:46 PM
249,Khalil Shakir,BUF,PIT,WR,0.0,0.0,0.0,0.0,0.0,0.2,0.7,0.0,7.3,5.55,58.46,0.25,0.25,104.0,2025-12-01 01:24:46 PM
250,Kimani Vidal,LAC,LVR,RB,0.0,0.0,0.0,0.0,0.0,17.05,67.89,0.67,2.5,2.2,14.78,0.07,0.74,104.0,2025-12-01 01:24:46 PM
251,Kirk Cousins,ATL,NYJ,QB,30.8,20.0,196.21,1.07,0.38,1.73,3.9,0.03,0.0,0.0,0.0,0.0,0.03,65.0,2025-12-01 01:24:46 PM
252,Konata Mumpfield,LAR,CAR,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,3.3,0.02,0.02,100.0,2025-12-01 01:24:46 PM
253,Kyle Juszczyk,SF,CLE,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.18,10.39,0.07,0.07,100.0,2025-12-01 01:24:46 PM
254,Kyle Monangai,CHI,PHI,RB,0.0,0.0,0.0,0.0,0.0,10.1,44.7,0.28,1.2,1.0,7.9,0.01,0.29,65.0,2025-12-01 01:24:46 PM
255,Kyle Pitts,ATL,NYJ,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,5.13,49.0,0.27,0.27,105.0,2025-12-01 01:24:46 PM
256,Kyle Williams,NWE,NYG,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,3.0,0.02,0.02,100.0,2025-12-01 01:24:46 PM
257,Kylen Granson,PHI,CHI,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.8,0.0,0.0,100.0,2025-12-01 01:24:46 PM
258,Kyren Williams,LAR,CAR,RB,0.0,0.0,0.0,0.0,0.0,15.71,74.71,0.59,2.3,1.94,12.95,0.08,0.67,114.0,2025-12-01 01:24:46 PM
259,Ladd McConkey,LAC,LVR,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,4.91,60.54,0.37,0.37,113.0,2025-12-01 01:24:46 PM
260,Lamar Jackson,BAL,CIN,QB,28.0,18.0,237.0,1.92,0.48,6.5,34.0,0.16,0.0,0.0,0.0,0.0,0.16,138.0,2025-12-01 01:24:46 PM
261,Laquon Treadwell,IND,HOU,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.1,0.0,0.0,100.0,2025-12-01 01:24:46 PM
262,LeQuint Allen,JAX,TEN,RB,0.0,0.0,0.0,0.0,0.0,1.1,4.8,0.01,0.4,0.3,2.2,0.01,0.02,100.0,2025-12-01 01:24:46 PM
263,Lil'Jordan Humphrey,DEN,WAS,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.1,0.01,0.01,100.0,2025-12-01 01:24:46 PM
264,Luke Farrell,SF,CLE,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,3.4,0.03,0.03,100.0,2025-12-01 01:24:46 PM
265,Luke Musgrave,GB,DET,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.9,16.1,0.1,0.1,100.0,2025-12-01 01:24:46 PM
266,Luke Schoonmaker,DAL,KAN,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.8,5.9,0.03,0.03,100.0,2025-12-01 01:24:46 PM
267,Luther Burden,CHI,PHI,WR,0.0,0.0,0.0,0.0,0.0,0.5,2.5,0.01,5.0,3.6,40.7,0.09,0.1,78.0,2025-12-01 01:24:46 PM
268,Mack Hollins,NWE,NYG,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,2.71,38.86,0.26,0.26,79.0,2025-12-01 01:24:46 PM
269,Malachi Corley,CLE,SF,WR,0.0,0.0,0.0,0.0,0.0,0.8,4.4,0.0,0.7,0.6,3.1,0.0,0.0,100.0,2025-12-01 01:24:46 PM
270,Malik Davis,DAL,KAN,RB,0.0,0.0,0.0,0.0,0.0,2.5,9.9,0.03,0.5,0.4,2.3,0.0,0.03,100.0,2025-12-01 01:24:46 PM
271,Malik Heath,GB,DET,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.5,5.6,0.01,0.01,100.0,2025-12-01 01:24:46 PM
272,Malik Washington,MIA,NOR,WR,0.0,0.0,0.0,0.0,0.0,0.9,4.8,0.01,4.2,3.23,28.91,0.26,0.27,71.0,2025-12-01 01:24:46 PM
273,Marcus Mariota,WAS,DEN,QB,31.34,20.0,206.23,1.01,0.92,5.24,28.38,0.16,0.0,0.0,0.0,0.0,0.16,90.0,2025-12-01 01:24:46 PM
274,Mark Andrews,BAL,CIN,TE,0.0,0.0,0.0,0.0,0.0,0.9,1.1,0.09,4.8,3.3,39.6,0.61,0.7,115.0,2025-12-01 01:24:46 PM
275,Marquise Brown,KAN,DAL,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,2.0,23.8,0.2,0.2,100.0,2025-12-01 01:24:46 PM
276,Marvin Harrison Jr.,ARZ,TB,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,3.9,52.6,0.29,0.29,102.0,2025-12-01 01:24:46 PM
277,Marvin Mims,DEN,WAS,WR,0.0,0.0,0.0,0.0,0.0,1.2,5.7,0.02,2.2,1.55,18.36,0.1,0.12,100.0,2025-12-01 01:24:46 PM
278,Mason Kinsey,TEN,JAX,?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2025-12-01 01:24:46 PM
279,Mason Taylor,NYJ,ATL,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,3.52,29.6,0.19,0.19,73.0,2025-12-01 01:24:46 PM
280,Mason Tipton,NOR,MIA,WR,0.0,0.0,0.0,0.0,0.0,0.3,1.4,0.0,3.5,1.99,20.7,0.07,0.07,100.0,2025-12-01 01:24:46 PM
281,Matthew Stafford,LAR,CAR,QB,33.94,22.0,260.07,2.18,0.23,1.58,0.79,0.02,0.0,0.0,0.0,0.0,0.02,118.0,2025-12-01 01:24:46 PM
282,Max Brosmer,MIN,SEA,QB,33.68,20.0,195.62,0.88,0.84,2.4,10.2,0.03,0.0,0.0,0.0,0.0,0.03,62.0,2025-12-01 01:24:46 PM
283,Michael Carter,ARZ,TB,RB,0.0,0.0,0.0,0.0,0.0,5.8,21.57,0.13,3.1,2.43,18.56,0.08,0.21,64.0,2025-12-01 01:24:46 PM
284,Michael Pittman Jr.,IND,HOU,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,4.85,54.3,0.34,0.34,104.0,2025-12-01 01:24:46 PM
285,Michael Wilson,ARZ,TB,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,4.8,54.97,0.3,0.3,105.0,2025-12-01 01:24:46 PM
286,Mike Gesicki,CIN,BAL,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,3.5,39.4,0.29,0.29,90.0,2025-12-01 01:24:46 PM
