"Player","Pos","Team","Opp","DK Proj","FD Proj","FFPC Proj","Standard Proj","Half PPR Proj","Full PPR Proj","DK Ceiling","FD Ceiling","Slate"
"David Njoku","TE","LAC","LV","6.2","5.0","7.4","3.8","5.0","6.2","13.6","11.6","Main"
"DAL DST","DST","DAL","WAS","6.2","6.2","6.9","6.2","6.2","6.2","13.5","13.5","Main"
"Kalif Raymond","WR","CHI","MIN","6.1","4.9","6.1","3.7","4.9","6.1","13.4","11.4","Main"
"Malachi Fields","WR","NYG","@LA","6.1","5.0","6.0","3.9","5.0","6.0","13.7","11.8","Monday"
"Braelon Allen","RB","NYJ","GB","6.0","5.4","6.0","4.7","5.4","6.0","12.9","11.9","Main"
"Kenyon Sadiq","TE","NYJ","GB","6.0","4.7","7.2","3.5","4.7","6.0","12.8","10.7","Main"
"Jalen McMillan","WR","TB","CLE","6.0","5.0","5.9","4.0","5.0","5.9","13.8","12.1","Main"
"Antonio Williams","WR","WAS","@DAL","6.0","4.9","5.9","3.9","4.9","5.9","13.5","11.6","Main"
"ARI DST","DST","ARI","SEA","6.0","6.0","6.8","6.0","6.0","6.0","13.1","13.1","Main"
"CIN DST","DST","CIN","@HOU","6.0","6.0","6.7","6.0","6.0","6.0","13.2","13.2","Main"
"Jack Bech","WR","LV","@LAC","5.7","4.5","5.7","3.4","4.5","5.6","12.4","10.4","Main"
"Konata Mumpfield","WR","LA","NYG","5.7","4.8","5.6","3.8","4.7","5.6","13.2","11.5","Monday"
"Bryce Lance","WR","NO","@BAL","5.7","4.6","5.6","3.5","4.6","5.6","12.8","10.9","Main"
"Tyquan Thornton","WR","KC","IND","5.6","4.8","5.6","3.9","4.7","5.6","13.8","12.3","Sunday"
"Mason Taylor","TE","NYJ","GB","5.6","4.3","6.8","3.1","4.3","5.6","12.2","10.1","Main"
"Brian Robinson","RB","ATL","CAR","5.5","5.2","5.4","4.9","5.2","5.4","12.3","11.9","Main"
"LV DST","DST","LV","@LAC","5.5","5.5","6.2","5.5","5.5","5.5","12.5","12.5","Main"
