"Player","Pos","Team","Opp","DK Proj","FD Proj","FFPC Proj","Standard Proj","Half PPR Proj","Full PPR Proj","DK Ceiling","FD Ceiling","Slate"
"AJ Dillon","RB","CAR","@ATL","0.4","0.3","0.4","0.3","0.3","0.4","1.5","1.4","Main"
"Zavion Thomas","WR","CHI","MIN","0.4","0.3","0.4","0.3","0.3","0.4","1.5","1.4","Main"
"Ameer Abdullah","RB","JAX","@DEN","0.4","0.3","0.4","0.3","0.3","0.4","1.5","1.4","Main"
"Dareke Young","WR","LV","@LAC","0.4","0.3","0.4","0.2","0.3","0.4","1.6","1.3","Main"
"Ronnie Rivers","RB","LA","NYG","0.4","0.3","0.4","0.3","0.3","0.4","1.4","1.3","Monday"
"Corey Kiner","RB","NE","PIT","0.4","0.3","0.4","0.3","0.3","0.4","1.5","1.4","Main"
"Bam Knight","RB","ARI","SEA","0.3","0.3","0.3","0.2","0.3","0.3","1.3","1.1","Main"
"Roschon Johnson","RB","CHI","MIN","0.3","0.3","0.3","0.3","0.3","0.3","1.0","1.0","Main"
"Tahj Brooks","RB","CIN","@HOU","0.3","0.3","0.3","0.3","0.3","0.3","1.4","1.2","Main"
"Jack Endries","TE","CIN","@HOU","0.3","0.2","0.4","0.2","0.2","0.3","1.2","1.0","Main"
"Tylan Wallace","WR","CLE","@TB","0.3","0.3","0.3","0.2","0.3","0.3","1.4","1.1","Main"
"Drew Ogletree","TE","IND","@KC","0.3","0.2","0.3","0.2","0.2","0.3","1.1","0.9","Sunday"
"Brashard Smith","RB","KC","IND","0.3","0.2","0.3","0.2","0.2","0.3","1.1","1.0","Sunday"
"Jake Briningstool","TE","KC","IND","0.3","0.3","0.4","0.2","0.3","0.3","1.3","1.0","Sunday"
"Ian Thomas","TE","LV","@LAC","0.3","0.2","0.3","0.1","0.2","0.3","1.0","0.8","Main"
"Chris Myarick","TE","LV","@LAC","0.3","0.2","0.3","0.2","0.2","0.3","1.1","0.9","Main"
"Alec Ingold","RB","LAC","LV","0.3","0.2","0.3","0.2","0.2","0.3","1.2","1.0","Main"
"Barion Brown","WR","NO","@BAL","0.3","0.3","0.3","0.2","0.3","0.3","1.4","1.2","Main"
"Chris Manhertz","TE","NYG","@LA","0.3","0.2","0.3","0.2","0.2","0.3","1.0","0.8","Monday"
"Jelani Woods","TE","NYJ","GB","0.3","0.2","0.3","0.2","0.2","0.3","1.1","0.9","Main"
"Andrew Beck","TE","NYJ","GB","0.3","0.2","0.3","0.2","0.2","0.3","1.0","0.8","Main"
"Hollywood Brown","WR","PHI","@TEN","0.3","0.2","0.3","0.2","0.2","0.3","1.0","0.9","Main"
"Kaden Wetjen","WR","PIT","@NE","0.3","0.2","0.3","0.2","0.2","0.3","1.1","0.8","Main"
"Jacob Cowing","WR","SF","MIA","0.3","0.2","0.3","0.2","0.2","0.3","1.1","0.9","Main"
"Brayden Willis","TE","SF","MIA","0.3","0.2","0.4","0.2","0.2","0.3","1.2","0.9","Main"
"Chris Blair","WR","ATL","CAR","0.2","0.2","0.2","0.1","0.2","0.2","0.9","0.7","Main"
"Keleki Latu","TE","BUF","DET","0.2","0.1","0.2","0.1","0.1","0.2","0.6","0.5","Thursday"
"Tay Martin","WR","DET","@BUF","0.2","0.1","0.2","0.1","0.1","0.2","0.6","0.5","Thursday"
"Jackson Meeks","TE","DET","@BUF","0.2","0.1","0.2","0.1","0.1","0.2","0.7","0.5","Thursday"
"Tyler Conklin","TE","DET","@BUF","0.2","0.1","0.2","0.1","0.1","0.2","0.7","0.5","Thursday"
"Mark Redman","TE","GB","@NYJ","0.2","0.1","0.2","0.1","0.1","0.2","0.6","0.5","Main"
"Ben VanSumeren","RB","KC","IND","0.2","0.2","0.2","0.1","0.2","0.2","0.8","0.7","Sunday"
"Jalen Royals","WR","KC","IND","0.2","0.1","0.2","0.1","0.1","0.2","0.6","0.5","Sunday"
"Nikko Remigio","WR","KC","IND","0.2","0.1","0.2","0.1","0.1","0.2","0.6","0.5","Sunday"
"Treyton Welch","TE","NO","@BAL","0.2","0.1","0.2","0.1","0.1","0.2","0.7","0.5","Main"
"Arian Smith","WR","NYJ","GB","0.2","0.2","0.2","0.2","0.2","0.2","1.0","0.8","Main"
"Riley Nowakowski","RB","PIT","@NE","0.2","0.1","0.2","0.1","0.1","0.2","0.7","0.6","Main"
"KhaDarel Hodge","WR","SF","MIA","0.2","0.1","0.2","0.1","0.1","0.2","0.6","0.5","Main"
"Bauer Sharp","TE","TB","CLE","0.2","0.1","0.2","0.1","0.1","0.2","0.6","0.5","Main"
"Ko Kieft","TE","TB","CLE","0.2","0.1","0.2","0.1","0.1","0.1","0.6","0.5","Main"
"Simi Fehoko","WR","ARI","SEA","0.1","0.1","0.1","0.1","0.1","0.1","0.5","0.4","Main"
"Devin Duvernay","WR","ARI","SEA","0.1","0.1","0.1","0.1","0.1","0.1","0.5","0.4","Main"
"Nick Muse","TE","ATL","CAR","0.1","0.1","0.2","0.1","0.1","0.1","0.5","0.4","Main"
"Greg Dortch","WR","BUF","DET","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.5","Thursday"
"Feleipe Franks","TE","CAR","@ATL","0.1","0.1","0.2","0.1","0.1","0.1","0.6","0.4","Main"
"Michael Burton","RB","CLE","@TB","0.1","0.1","0.1","0.1","0.1","0.1","0.4","0.3","Main"
"Carsen Ryan","TE","CLE","@TB","0.1","0.1","0.1","0.1","0.1","0.1","0.5","0.4","Main"
"Tom Kennedy","WR","DET","@BUF","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.5","Thursday"
"J Michael Sturdivant","WR","GB","@NYJ","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.5","Main"
"British Brooks","RB","HOU","CIN","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.6","Main"
"Anthony Gould","WR","IND","@KC","0.1","0.1","0.1","0.1","0.1","0.1","0.5","0.4","Sunday"
"Deion Burks","WR","IND","@KC","0.1","0.1","0.1","0.1","0.1","0.1","0.5","0.4","Sunday"
"Gary Jennings","WR","LAC","LV","0.1","0.1","0.1","0.1","0.1","0.1","0.5","0.4","Main"
"Ryan Miller","WR","MIA","@SF","0.1","0.1","0.1","0.1","0.1","0.1","0.4","0.3","Main"
"Seydou Traore","TE","MIA","@SF","0.1","0.1","0.1","0.1","0.1","0.1","0.5","0.4","Main"
"Max Bredeson","RB","MIN","@CHI","0.1","0.1","0.1","0.1","0.1","0.1","0.5","0.3","Main"
"Dillon Bell","WR","MIN","@CHI","0.1","0.1","0.1","0.1","0.1","0.1","0.5","0.4","Main"
"Gavin Bartholomew","TE","MIN","@CHI","0.1","0.1","0.2","0.1","0.1","0.1","0.6","0.5","Main"
"Reggie Gilliam","TE","NE","PIT","0.1","0.1","0.2","0.1","0.1","0.1","0.5","0.4","Main"
"Cameron Latu","TE","NE","PIT","0.1","0.1","0.2","0.1","0.1","0.1","0.6","0.5","Main"
"Oscar Delp","TE","NO","@BAL","0.1","0.1","0.2","0.1","0.1","0.1","0.6","0.5","Main"
"Britain Covey","WR","PHI","@TEN","0.1","0.1","0.1","0.1","0.1","0.1","0.5","0.4","Main"
"EJ Jenkins","TE","PHI","@TEN","0.1","0.1","0.2","0.1","0.1","0.1","0.6","0.4","Main"
"Robert Tonyan","TE","PIT","@NE","0.1","0.1","0.2","0.1","0.1","0.1","0.6","0.5","Main"
"Kameron Johnson","WR","TB","CLE","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.5","Main"
"Payne Durham","TE","TB","CLE","0.1","0.1","0.2","0.1","0.1","0.1","0.6","0.5","Main"
"Nicholas Singleton","RB","TEN","PHI","0.1","0.0","0.1","0.0","0.0","0.0","0.2","0.2","Main"
"Julius Chestnut","RB","TEN","PHI","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.6","Main"
"David Martin-Robinson","TE","TEN","PHI","0.1","0.1","0.2","0.1","0.1","0.1","0.6","0.5","Main"
"Mason Rudolph","QB","PIT","@NE","0.0","0.0","0.0","0.0","0.0","0.0","1.4","1.4","Main"
"Travis Homer","RB","PIT","@NE","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.1","Main"
"Jordan Watkins","WR","SF","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Main"
