,Player,Pos,Team,Opp,DK Proj,FD Proj,FFPC Proj,Standard Proj,Half PPR Proj,Full PPR Proj,DK Ceiling,FD Ceiling,Slate
244,Tyquan Thornton,WR,KC,@MIA,5.4,4.7,5.3,3.9,4.6,5.3,13.8,12.3,Main
245,ATL DST,DST,ATL,@GB,5.4,5.4,6.1,5.4,5.4,5.4,12.2,12.2,Thursday
246,Keaton Mitchell,RB,LAC,@BUF,5.3,4.6,5.2,4.0,4.6,5.2,11.8,10.8,Main
247,Chris Moore,WR,BAL,DAL,5.2,4.5,5.2,3.7,4.4,5.2,13.1,11.7,Main
248,Chris Brooks,RB,GB,ATL,5.2,4.5,5.2,3.9,4.5,5.1,11.7,10.7,Thursday
249,Samaje Perine,RB,CIN,@PIT,5.1,4.4,5.1,3.7,4.4,5.1,11.8,10.6,Main
250,Braelon Allen,RB,NYJ,@DET,5.1,4.6,5.1,4.1,4.6,5.1,11.5,10.7,Main
251,WAS DST,DST,WAS,SEA,5.1,5.1,5.8,5.1,5.1,5.1,11.9,11.9,Main
252,Brian Robinson,RB,ATL,@GB,4.9,4.5,4.8,4.2,4.5,4.8,10.8,10.2,Thursday
253,Chris Rodriguez,RB,JAX,NE,4.9,4.6,4.9,4.3,4.6,4.9,11.6,11.1,Main
254,Jordan Whittington,WR,LA,@DEN,4.9,3.9,4.9,2.9,3.9,4.9,11.4,9.6,Sunday
255,Devontez Walker,WR,BAL,DAL,4.8,4.1,4.7,3.4,4.0,4.7,12.3,11.0,Main
256,Ty Johnson,RB,BUF,LAC,4.7,4.0,4.7,3.3,4.0,4.7,12.1,10.8,Main
257,Xavier Legette,WR,CAR,@CLE,4.7,3.8,4.6,3.0,3.8,4.6,11.4,9.9,Main
258,Isaac TeSlaa,WR,DET,NYJ,4.7,3.9,4.6,3.2,3.9,4.6,11.9,10.4,Main
259,Kevin Coleman,WR,MIA,KC,4.7,3.8,4.7,2.9,3.8,4.7,11.1,9.4,Main
260,Jauan Jennings,WR,MIN,@TB,4.7,3.8,4.7,3.0,3.8,4.7,11.4,9.7,Main
261,Darnell Mooney,WR,NYG,TEN,4.7,4.0,4.7,3.2,3.9,4.7,11.8,10.3,Main
262,Antonio Williams,WR,WAS,SEA,4.7,3.8,4.7,2.8,3.8,4.7,11.0,9.2,Main
263,Jared Wayne,WR,HOU,@IND,4.6,3.8,4.6,3.0,3.8,4.6,11.3,9.7,Main
264,Jack Bech,WR,LV,@NO,4.5,3.6,4.5,2.7,3.6,4.5,10.7,9.0,Main
265,Sione Vaki,RB,DET,NYJ,4.4,3.9,4.3,3.4,3.8,4.3,10.6,9.8,Main
266,DAL DST,DST,DAL,BAL,4.4,4.4,5.2,4.4,4.4,4.4,11.3,11.3,Main
267,Laquon Treadwell,WR,IND,HOU,4.3,3.6,4.3,2.8,3.5,4.3,10.7,9.2,Main
268,Devin Singletary,RB,NYG,TEN,4.3,3.7,4.3,3.2,3.7,4.3,10.4,9.3,Main
269,Bryce Lance,WR,NO,LV,4.2,3.4,4.2,2.7,3.4,4.2,10.5,9.0,Main
270,Elic Ayomanor,WR,TEN,@NYG,4.2,3.5,4.2,2.7,3.5,4.2,10.8,9.3,Main
271,Skyy Moore,WR,GB,ATL,4.1,3.4,4.1,2.7,3.4,4.1,10.3,9.0,Thursday
272,NYJ DST,DST,NYJ,@DET,4.1,4.1,4.8,4.1,4.1,4.1,10.6,10.6,Main
273,Keon Coleman,WR,BUF,LAC,4.0,3.3,4.0,2.7,3.3,4.0,10.5,9.2,Main
274,Dyami Brown,WR,WAS,SEA,4.0,3.2,4.0,2.4,3.2,4.0,9.7,8.1,Main
275,Tommy Tremble,TE,CAR,@CLE,3.9,3.0,4.7,2.2,3.0,3.9,9.4,7.8,Main
276,LAC DST,DST,LAC,@BUF,3.9,3.9,4.6,3.9,3.9,3.9,10.5,10.5,Main
277,Calvin Ridley,WR,TEN,@NYG,3.8,3.1,3.8,2.5,3.1,3.8,10.0,8.6,Main
278,MIA DST,DST,MIA,KC,3.8,3.8,4.4,3.8,3.8,3.8,10.1,10.1,Main
279,Konata Mumpfield,WR,LA,@DEN,3.7,3.1,3.7,2.5,3.1,3.7,9.8,8.5,Sunday
280,ARI DST,DST,ARI,@SF,3.7,3.7,4.3,3.7,3.7,3.7,10.1,10.1,Main
281,Dawson Knox,TE,BUF,LAC,3.6,2.9,4.3,2.3,2.9,3.6,9.6,8.2,Main
282,Cole Kmet,TE,CHI,PHI,3.6,2.8,4.3,2.1,2.8,3.6,8.9,7.4,Monday
283,Najee Harris,RB,NYG,TEN,3.6,3.3,3.6,3.1,3.3,3.6,9.0,8.5,Main
284,Darnell Washington,TE,PIT,CIN,3.6,2.9,4.3,2.2,2.9,3.6,9.1,7.6,Main
285,George Holani,RB,SEA,@WAS,3.6,3.0,3.6,2.4,3.0,3.6,9.6,8.4,Main
286,Mike Washington,RB,LV,@NO,3.5,3.2,3.5,2.9,3.2,3.5,8.8,8.3,Main
287,Noah Fant,TE,NO,LV,3.5,2.8,4.2,2.1,2.8,3.5,8.9,7.4,Main
288,Olamide Zaccheaus,WR,ATL,@GB,3.4,2.6,3.4,1.9,2.6,3.4,8.4,6.8,Thursday
289,Theo Johnson,TE,NYG,TEN,3.4,2.8,4.1,2.1,2.8,3.4,8.9,7.5,Main
290,Jeremy Ruckert,TE,NYJ,@DET,3.4,2.6,4.2,1.9,2.6,3.4,8.7,7.2,Main
291,Zach Ertz,TE,PHI,@CHI,3.4,2.7,4.1,2.0,2.7,3.4,8.8,7.4,Monday
292,Johnny Mundt,TE,PHI,@CHI,3.3,2.6,4.0,1.9,2.6,3.3,8.4,6.9,Monday
293,Travis Homer,RB,PIT,CIN,3.3,2.9,3.3,2.5,2.9,3.3,8.5,7.6,Main
294,AJ Dillon,RB,CAR,@CLE,3.2,2.9,3.2,2.6,2.9,3.2,8.4,7.8,Main
295,Jonnu Smith,TE,GB,ATL,3.2,2.6,3.9,1.9,2.5,3.2,8.4,7.0,Thursday
296,Noah Gray,TE,KC,@MIA,3.2,2.6,3.8,2.0,2.6,3.2,8.9,7.6,Main
297,Kyle Williams,WR,NE,@JAX,3.2,2.7,3.2,2.2,2.7,3.2,9.2,8.0,Main
298,Jalen McMillan,WR,TB,MIN,3.2,2.6,3.2,2.0,2.6,3.2,8.5,7.2,Main
299,Joshua Palmer,WR,BUF,LAC,3.1,2.6,3.0,2.1,2.6,3.0,9.0,7.9,Main
300,Emari Demercado,RB,DAL,BAL,3.1,2.8,3.1,2.5,2.8,3.1,8.3,7.7,Main
301,Josh Oliver,TE,MIN,@TB,3.0,2.4,3.6,1.8,2.4,3.0,8.3,7.0,Main
302,Elijah Arroyo,TE,SEA,@WAS,3.0,2.4,3.5,1.8,2.4,3.0,8.1,6.8,Main
303,Dohnte Meyers,WR,CIN,@PIT,2.9,2.4,2.9,1.8,2.4,2.9,8.0,6.8,Main
304,Ben Sinnott,TE,WAS,SEA,2.9,2.3,3.6,1.6,2.3,2.9,7.5,6.1,Main
305,DeeJay Dallas,RB,MIN,@TB,2.8,2.4,2.7,2.1,2.4,2.7,7.6,7.0,Main
306,Foster Moreau,TE,HOU,@IND,2.7,2.2,3.2,1.7,2.2,2.7,7.6,6.4,Main
307,Drew Sample,TE,CIN,@PIT,2.5,1.9,3.2,1.3,1.9,2.5,7.0,5.6,Main
308,Darius Slayton,WR,IND,HOU,2.5,2.1,2.5,1.6,2.1,2.5,7.4,6.4,Main
309,Will Shipley,RB,PHI,@CHI,2.5,2.1,2.5,1.6,2.1,2.5,7.0,6.0,Monday
310,Kyle Juszczyk,RB,SF,ARI,2.5,2.0,2.5,1.5,2.0,2.5,7.3,6.0,Main
311,Mitchell Evans,TE,CAR,@CLE,2.4,1.9,2.9,1.4,1.9,2.4,6.8,5.6,Main
312,Adam Trautman,TE,DEN,LA,2.4,1.9,2.9,1.4,1.9,2.4,6.9,5.7,Sunday
313,Raheim Sanders,RB,CLE,CAR,2.3,1.9,2.3,1.6,1.9,2.3,6.8,6.0,Main
314,Germie Bernard,WR,PIT,CIN,2.3,1.8,2.3,1.4,1.8,2.3,6.8,5.7,Main
315,Durham Smythe,TE,BAL,DAL,2.2,1.8,2.7,1.4,1.8,2.2,6.7,5.6,Main
316,Blake Whiteheart,TE,CLE,CAR,2.2,1.7,2.6,1.3,1.7,2.2,6.5,5.4,Main
317,Malik McClain,WR,NYJ,@DET,2.2,1.8,2.2,1.4,1.8,2.2,6.7,5.6,Main
318,Hunter Luepke,RB,DAL,BAL,2.1,1.7,2.1,1.3,1.7,2.1,6.3,5.3,Main
319,KaVontae Turpin,WR,DAL,BAL,2.1,1.8,2.0,1.5,1.8,2.0,6.2,5.4,Main
320,Tyler Badie,RB,DEN,LA,2.1,1.6,2.1,1.2,1.6,2.1,6.1,4.9,Sunday
321,Marvin Mims,WR,DEN,LA,2.1,1.7,2.1,1.2,1.7,2.1,6.1,5.1,Sunday
322,Seth McGowan,RB,IND,HOU,2.1,1.9,2.1,1.6,1.9,2.1,6.5,5.9,Main
323,Tyler Higbee,TE,LA,@DEN,2.1,1.7,2.6,1.3,1.7,2.1,6.3,5.2,Sunday
324,Tyler Johnson,WR,NYJ,@DET,2.1,1.7,2.1,1.4,1.7,2.1,6.5,5.5,Main
325,Bo Melton,WR,GB,ATL,2.0,1.7,2.0,1.4,1.7,2.0,6.4,5.6,Thursday
326,Hayden Rucci,TE,LAC,@BUF,2.0,1.5,2.4,1.1,1.5,2.0,5.9,4.8,Main
327,Davis Allen,TE,LA,@DEN,2.0,1.6,2.4,1.2,1.6,2.0,6.0,4.9,Sunday
328,Ollie Gordon,RB,MIA,KC,2.0,1.9,2.0,1.7,1.9,2.0,6.1,5.8,Main
329,CJ Donaldson,RB,NO,LV,2.0,1.7,2.0,1.4,1.7,2.0,6.4,5.6,Main
330,Jacob Cowing,WR,SF,ARI,2.0,1.7,2.0,1.3,1.7,2.0,6.6,5.6,Main
331,Colson Yankoff,TE,WAS,SEA,2.0,1.6,2.5,1.1,1.6,2.0,5.8,4.7,Main
332,Matt Hibner,TE,BAL,DAL,1.8,1.5,2.1,1.1,1.5,1.8,5.7,4.8,Main
333,Erick All,TE,CIN,@PIT,1.8,1.4,2.2,1.0,1.4,1.8,5.4,4.4,Main
334,Troy Franklin,WR,DEN,LA,1.8,1.5,1.8,1.2,1.5,1.8,5.8,5.0,Sunday
335,Brock Wright,TE,DET,NYJ,1.8,1.4,2.2,1.0,1.4,1.8,5.6,4.6,Main
336,Nate Boerkircher,TE,JAX,NE,1.8,1.4,2.1,1.1,1.4,1.7,5.6,4.6,Main
337,Tank Bigsby,RB,PHI,@CHI,1.8,1.7,1.8,1.5,1.6,1.8,5.8,5.5,Monday
338,Jordan Watkins,WR,SF,ARI,1.8,1.5,1.8,1.2,1.5,1.8,6.1,5.3,Main
339,Ray Davis,RB,BUF,LAC,1.7,1.4,1.7,1.2,1.4,1.6,5.4,4.7,Main
340,Colbie Young,WR,CIN,@PIT,1.7,1.4,1.7,1.1,1.4,1.7,5.6,4.6,Main
341,Jaleel McLaughlin,RB,CLE,CAR,1.7,1.4,1.7,1.2,1.4,1.7,5.3,4.6,Main
342,LeQuint Allen,RB,JAX,NE,1.7,1.3,1.7,0.9,1.3,1.7,5.2,4.2,Main
343,KhaDarel Hodge,WR,SF,ARI,1.7,1.4,1.7,1.2,1.4,1.7,6.0,5.2,Main
344,Luke Farrell,TE,SF,ARI,1.7,1.3,2.0,1.0,1.3,1.7,5.3,4.4,Main
345,Zachariah Branch,WR,ATL,@GB,1.6,1.3,1.6,1.0,1.3,1.6,5.1,4.3,Thursday
346,Luke Schoonmaker,TE,DAL,BAL,1.6,1.3,1.9,0.9,1.3,1.6,5.1,4.2,Main
347,Brevyn Spann-Ford,TE,DAL,BAL,1.6,1.3,1.9,1.0,1.3,1.6,5.2,4.3,Main
348,Travis Hunter,WR,JAX,NE,1.6,1.3,1.6,1.1,1.3,1.6,5.2,4.4,Main
349,Xavier Smith,WR,LA,@DEN,1.6,1.4,1.6,1.1,1.4,1.6,5.4,4.6,Sunday
350,Will Kacmarek,TE,MIA,KC,1.6,1.2,1.9,0.9,1.2,1.6,5.0,4.0,Main
351,Tory Horton,WR,SEA,@WAS,1.6,1.4,1.6,1.1,1.3,1.6,5.6,4.8,Main
352,Tez Johnson,WR,TB,MIN,1.6,1.3,1.6,1.1,1.3,1.6,5.4,4.6,Main
353,Daniel Bellinger,TE,TEN,@NYG,1.5,1.2,1.8,0.9,1.2,1.5,4.9,4.0,Main
354,John Bates,TE,WAS,SEA,1.5,1.2,1.9,0.8,1.2,1.5,4.6,3.7,Main
355,Charlie Woerner,TE,ATL,@GB,1.4,1.0,1.7,0.7,1.0,1.4,4.2,3.3,Thursday
356,Jackson Hawes,TE,BUF,LAC,1.4,1.2,1.7,0.9,1.2,1.4,4.9,4.1,Main
357,Cade Stover,TE,HOU,@IND,1.4,1.1,1.6,0.8,1.1,1.4,4.5,3.7,Main
358,Marlin Klein,TE,HOU,@IND,1.4,1.2,1.7,0.9,1.2,1.4,5.0,4.3,Main
359,Jalen Royals,WR,KC,@MIA,1.4,1.2,1.4,0.9,1.2,1.4,5.0,4.3,Main
360,Derius Davis,WR,LAC,@BUF,1.4,1.1,1.4,0.8,1.1,1.4,4.5,3.7,Main
361,Tutu Atwell,WR,LA,@DEN,1.4,1.2,1.4,0.9,1.2,1.4,5.1,4.4,Sunday
362,Ryan Miller,WR,MIA,KC,1.4,1.1,1.4,0.8,1.1,1.4,4.6,3.9,Main
363,Demond Claiborne,RB,MIN,@TB,1.4,1.3,1.4,1.2,1.3,1.4,4.8,4.5,Main
364,Eli Heidenreich,RB,PIT,CIN,1.4,1.1,1.4,0.9,1.1,1.4,4.6,3.9,Main
365,Elijah Higgins,TE,ARI,@SF,1.3,1.0,1.6,0.8,1.0,1.3,4.4,3.6,Main
366,Austin Hooper,TE,ATL,@GB,1.3,1.0,1.6,0.8,1.0,1.3,4.3,3.5,Thursday
367,Ke'Shawn Williams,WR,CIN,@PIT,1.3,1.0,1.3,0.8,1.0,1.3,4.6,3.8,Main
368,Jonathan Mingo,WR,DAL,BAL,1.3,1.0,1.3,0.8,1.0,1.2,4.5,3.8,Main
369,Nate Adkins,TE,DEN,LA,1.3,1.0,1.6,0.8,1.0,1.3,4.4,3.6,Sunday
370,Josh Cameron,WR,JAX,NE,1.3,1.0,1.3,0.8,1.0,1.2,4.5,3.8,Main
371,Quintin Morris,TE,JAX,NE,1.3,1.0,1.5,0.8,1.0,1.3,4.5,3.7,Main
372,Connor Heyward,TE,LV,@NO,1.3,1.1,1.5,0.9,1.1,1.3,4.5,3.9,Main
373,Jalen Tolbert,WR,MIA,KC,1.3,1.1,1.3,0.8,1.1,1.3,4.6,3.9,Main
374,Cameron Latu,TE,NE,@JAX,1.3,1.0,1.6,0.8,1.0,1.3,4.5,3.8,Main
375,Jelani Woods,TE,NYJ,@DET,1.3,1.0,1.5,0.8,1.0,1.3,4.5,3.7,Main
376,Hunter Long,TE,ARI,@SF,1.2,1.0,1.5,0.7,1.0,1.2,4.2,3.4,Main
377,Sam Roush,TE,CHI,PHI,1.2,1.0,1.5,0.7,1.0,1.2,4.1,3.3,Monday
378,J Michael Sturdivant,WR,GB,ATL,1.2,1.0,1.2,0.8,1.0,1.2,4.4,3.6,Thursday
379,Lewis Bond,WR,HOU,@IND,1.2,1.0,1.2,0.8,1.0,1.2,4.4,3.7,Main
380,Mo Alie-Cox,TE,IND,HOU,1.2,1.0,1.5,0.7,1.0,1.2,4.2,3.4,Main
381,Drew Ogletree,TE,IND,HOU,1.2,1.0,1.4,0.7,1.0,1.2,4.2,3.5,Main
382,Cyrus Allen,WR,KC,@MIA,1.2,1.0,1.2,0.8,1.0,1.2,4.6,3.9,Main
383,Jaylen Wright,RB,MIA,KC,1.2,1.1,1.2,0.9,1.1,1.2,4.3,3.8,Main
384,Efton Chism,WR,NE,@JAX,1.2,1.0,1.2,0.8,1.0,1.2,4.5,3.8,Main
385,Reggie Gilliam,TE,NE,@JAX,1.2,0.9,1.4,0.7,0.9,1.2,4.1,3.3,Main
386,Kevin Austin,WR,NO,LV,1.2,1.0,1.2,0.7,1.0,1.2,4.4,3.6,Main
387,EJ Jenkins,TE,PHI,@CHI,1.2,0.9,1.4,0.7,0.9,1.2,4.1,3.3,Monday
388,Kaytron Allen,RB,WAS,SEA,1.2,1.2,1.2,1.1,1.2,1.2,4.2,4.0,Main
389,Treylon Burks,WR,WAS,SEA,1.2,1.0,1.2,0.8,1.0,1.2,4.4,3.7,Main
390,Jahdae Walker,WR,CHI,PHI,1.1,0.9,1.1,0.7,0.9,1.1,4.0,3.3,Monday
391,Oscar Delp,TE,NO,LV,1.1,0.9,1.3,0.6,0.9,1.1,3.9,3.2,Main
392,Darius Cooper,WR,PHI,@CHI,1.1,0.9,1.1,0.7,0.9,1.1,4.2,3.4,Monday
393,Eric Saubert,TE,SEA,@WAS,1.1,0.9,1.4,0.6,0.9,1.1,3.9,3.2,Main
394,Chimere Dike,WR,TEN,@NYG,1.1,0.9,1.1,0.7,0.9,1.1,4.0,3.3,Main
395,John Metchie,WR,CAR,@CLE,1.0,0.8,1.0,0.6,0.8,1.0,3.6,2.9,Main
396,Isaiah Bond,WR,CLE,CAR,1.0,0.8,1.0,0.6,0.8,1.0,3.9,3.3,Main
397,Tylan Wallace,WR,CLE,CAR,1.0,0.8,1.0,0.6,0.8,1.0,3.9,3.2,Main
398,Ameer Abdullah,RB,JAX,NE,1.0,0.9,1.0,0.8,0.9,1.0,3.6,3.2,Main
399,Marquez Valdes-Scantling,WR,LAC,@BUF,1.0,0.9,1.0,0.7,0.9,1.0,4.1,3.4,Main
400,DJ Herman,RB,MIA,KC,1.0,0.8,1.0,0.6,0.8,1.0,3.6,2.9,Main
401,Odell Beckham,WR,NYG,TEN,1.0,0.8,1.0,0.7,0.8,1.0,4.0,3.3,Main
402,Braxton Berrios,WR,NYG,TEN,1.0,0.8,1.0,0.6,0.8,1.0,3.8,3.1,Main
403,Anthony Tyus,RB,CAR,@CLE,0.9,0.8,0.9,0.7,0.8,0.9,3.5,3.1,Main
404,Brycen Tremayne,WR,CAR,@CLE,0.9,0.7,0.9,0.6,0.7,0.9,3.6,2.9,Main
405,Deion Burks,WR,IND,HOU,0.9,0.8,0.9,0.7,0.8,0.9,3.3,2.9,Main
406,Patrick Ricard,RB,NYG,TEN,0.9,0.7,0.9,0.4,0.7,0.9,3.1,2.4,Main
407,Brady Russell,RB,SEA,@WAS,0.9,0.7,0.9,0.4,0.7,0.9,3.1,2.4,Main
408,Jaylin Lane,WR,WAS,SEA,0.9,0.8,0.9,0.6,0.8,0.9,3.6,3.0,Main
409,Malik Benson,WR,LV,@NO,0.8,0.7,0.8,0.6,0.7,0.8,3.0,2.6,Main
410,Kimani Vidal,RB,LAC,@BUF,0.8,0.7,0.8,0.5,0.7,0.8,2.9,2.5,Main
411,Sean Tucker,RB,TB,MIN,0.8,0.7,0.8,0.6,0.7,0.8,3.0,2.8,Main
412,Nicholas Singleton,RB,TEN,@NYG,0.8,0.7,0.8,0.6,0.7,0.7,2.9,2.7,Main
413,Adam Prentice,RB,DEN,LA,0.7,0.5,0.7,0.4,0.5,0.7,2.6,2.1,Sunday
414,Dylan Laube,RB,LV,@NO,0.7,0.6,0.7,0.5,0.6,0.7,2.7,2.3,Main
415,Chris Blair,WR,ATL,@GB,0.6,0.4,0.6,0.3,0.4,0.6,2.2,1.8,Thursday
416,Jake Briningstool,TE,KC,@MIA,0.6,0.5,0.7,0.4,0.5,0.6,2.4,2.0,Main
417,Cody White,WR,LV,@NO,0.6,0.5,0.6,0.4,0.5,0.6,2.4,2.0,Main
418,Dareke Young,WR,LV,@NO,0.6,0.5,0.6,0.4,0.5,0.6,2.5,2.0,Main
419,Trey Palmer,WR,NO,LV,0.6,0.5,0.6,0.4,0.5,0.6,2.5,2.0,Main
420,Hollywood Brown,WR,PHI,@CHI,0.6,0.5,0.6,0.4,0.5,0.6,2.6,2.1,Monday
421,Jordan James,RB,SF,ARI,0.6,0.6,0.6,0.6,0.6,0.6,2.2,2.2,Main
422,Josh Cuevas,TE,BAL,DAL,0.5,0.4,0.6,0.3,0.4,0.5,2.1,1.7,Main
423,Zavion Thomas,WR,CHI,PHI,0.5,0.4,0.5,0.4,0.4,0.5,2.0,1.7,Monday
424,Tahj Brooks,RB,CIN,@PIT,0.5,0.4,0.5,0.4,0.4,0.5,2.0,1.7,Main
425,Mark Redman,TE,GB,ATL,0.5,0.4,0.6,0.3,0.4,0.5,2.0,1.6,Thursday
426,Ian Thomas,TE,LV,@NO,0.5,0.4,0.6,0.3,0.4,0.5,2.0,1.5,Main
427,Alec Ingold,RB,LAC,@BUF,0.5,0.4,0.5,0.3,0.4,0.5,2.0,1.6,Main
428,Corey Kiner,RB,NE,@JAX,0.5,0.4,0.5,0.4,0.4,0.5,1.9,1.7,Main
429,Chris Manhertz,TE,NYG,TEN,0.5,0.4,0.6,0.3,0.4,0.5,1.8,1.5,Main
430,Andrew Beck,TE,NYJ,@DET,0.5,0.4,0.6,0.3,0.4,0.5,2.0,1.6,Main
431,Brayden Willis,TE,SF,ARI,0.5,0.4,0.6,0.3,0.4,0.5,2.1,1.7,Main
432,Bam Knight,RB,ARI,@SF,0.4,0.4,0.4,0.3,0.4,0.4,1.8,1.6,Main
433,Rasheen Ali,RB,BAL,DAL,0.4,0.4,0.4,0.4,0.4,0.4,1.5,1.5,Main
434,Roschon Johnson,RB,CHI,PHI,0.4,0.4,0.4,0.3,0.4,0.4,1.7,1.5,Monday
435,Lil'Jordan Humphrey,WR,DEN,LA,0.4,0.3,0.4,0.2,0.3,0.4,1.4,1.2,Sunday
436,Dean Connors,RB,LA,@DEN,0.4,0.4,0.4,0.3,0.4,0.4,1.7,1.5,Sunday
437,Tyrone Tracy,RB,NYG,TEN,0.4,0.4,0.4,0.3,0.4,0.4,1.7,1.5,Main
438,Simi Fehoko,WR,ARI,@SF,0.3,0.2,0.3,0.2,0.2,0.3,1.2,1.0,Main
439,Devin Duvernay,WR,ARI,@SF,0.3,0.2,0.3,0.2,0.2,0.3,1.2,0.9,Main
440,Greg Dortch,WR,BUF,LAC,0.3,0.2,0.3,0.2,0.2,0.3,1.2,0.9,Main
441,Keleki Latu,TE,BUF,LAC,0.3,0.2,0.3,0.2,0.2,0.3,1.0,0.8,Main
442,Feleipe Franks,TE,CAR,@CLE,0.3,0.2,0.3,0.2,0.2,0.3,1.1,0.9,Main
443,Jack Endries,TE,CIN,@PIT,0.3,0.2,0.3,0.2,0.2,0.3,1.1,0.9,Main
444,Tay Martin,WR,DET,NYJ,0.3,0.3,0.3,0.2,0.3,0.3,1.4,1.1,Main
445,Tom Kennedy,WR,DET,NYJ,0.3,0.3,0.3,0.2,0.3,0.3,1.4,1.1,Main
446,Jackson Meeks,TE,DET,NYJ,0.3,0.3,0.4,0.2,0.3,0.3,1.2,1.0,Main
447,Tyler Conklin,TE,DET,NYJ,0.3,0.2,0.3,0.2,0.2,0.3,1.1,0.9,Main
448,Ashton Dulin,WR,IND,HOU,0.3,0.2,0.3,0.2,0.2,0.3,1.2,1.0,Main
449,Ben VanSumeren,RB,KC,@MIA,0.3,0.3,0.3,0.2,0.3,0.3,1.3,1.1,Main
450,Nikko Remigio,WR,KC,@MIA,0.3,0.3,0.3,0.2,0.3,0.3,1.4,1.1,Main
451,Tai Felton,WR,MIN,@TB,0.3,0.2,0.3,0.2,0.2,0.3,1.1,0.9,Main
452,Myles Price,WR,MIN,@TB,0.3,0.2,0.3,0.2,0.2,0.3,1.2,1.0,Main
453,Treyton Welch,TE,NO,LV,0.3,0.2,0.3,0.2,0.2,0.3,1.0,0.8,Main
454,Britain Covey,WR,PHI,@CHI,0.3,0.2,0.3,0.2,0.2,0.3,1.2,0.9,Monday
455,Riley Nowakowski,RB,PIT,CIN,0.3,0.2,0.3,0.2,0.2,0.3,1.2,0.9,Main
456,Ben Skowronek,WR,PIT,CIN,0.3,0.3,0.3,0.2,0.3,0.3,1.3,1.1,Main
457,Robert Tonyan,TE,PIT,CIN,0.3,0.2,0.3,0.2,0.2,0.3,1.1,0.9,Main
458,Bauer Sharp,TE,TB,MIN,0.3,0.2,0.3,0.2,0.2,0.3,1.0,0.8,Main
459,Nick Muse,TE,ATL,@GB,0.2,0.2,0.3,0.1,0.2,0.2,0.9,0.7,Thursday
460,Michael Burton,RB,CLE,CAR,0.2,0.1,0.2,0.1,0.1,0.2,0.8,0.6,Main
461,Carsen Ryan,TE,CLE,CAR,0.2,0.2,0.3,0.1,0.2,0.2,0.9,0.7,Main
462,Jacob Saylors,RB,DET,NYJ,0.2,0.2,0.2,0.2,0.2,0.2,0.6,0.6,Main
463,Josh Whyle,TE,GB,ATL,0.2,0.2,0.3,0.1,0.2,0.2,1.0,0.8,Thursday
464,Brashard Smith,RB,KC,@MIA,0.2,0.2,0.2,0.2,0.2,0.2,0.6,0.6,Main
465,Seydou Traore,TE,MIA,KC,0.2,0.2,0.2,0.1,0.2,0.2,0.9,0.7,Main
466,Max Bredeson,RB,MIN,@TB,0.2,0.2,0.2,0.1,0.2,0.2,0.9,0.7,Main
467,Gavin Bartholomew,TE,MIN,@TB,0.2,0.2,0.3,0.1,0.2,0.2,1.0,0.8,Main
468,Isaiah Davis,RB,NYJ,@DET,0.2,0.2,0.2,0.2,0.2,0.2,1.0,1.0,Main
469,Payne Durham,TE,TB,MIN,0.2,0.2,0.3,0.1,0.2,0.2,1.0,0.8,Main
470,David Martin-Robinson,TE,TEN,@NYG,0.2,0.2,0.3,0.1,0.2,0.2,0.9,0.7,Main
471,British Brooks,RB,HOU,@IND,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.5,Main
472,Barion Brown,WR,NO,LV,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.4,Main
473,Kameron Johnson,WR,TB,MIN,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.4,Main
474,Ko Kieft,TE,TB,MIN,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.3,Main
475,Mason Rudolph,QB,PIT,CIN,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,Main
