,Player,Pos,Team,Opp,DK Proj,FD Proj,FFPC Proj,Standard Proj,Half PPR Proj,Full PPR Proj,DK Ceiling,FD Ceiling,Slate
47,George Pickens,WR,DAL,BAL,15.9,13.4,15.2,10.2,12.7,15.1,29.4,25.6,Main
48,Jacoby Brissett,QB,ARI,@SF,15.8,15.6,17.0,14.6,14.6,14.6,24.5,24.4,Main
49,Geno Smith,QB,NYJ,@DET,15.8,15.5,16.9,14.4,14.4,14.4,25.0,24.9,Main
50,Drake London,WR,ATL,@GB,15.7,12.9,15.1,9.6,12.3,15.1,28.3,24.2,Thursday
51,Malik Willis,QB,MIA,KC,15.6,15.3,16.5,14.5,14.5,14.5,24.2,24.1,Main
52,Deshaun Watson,QB,CLE,CAR,15.2,14.9,16.3,14.1,14.1,14.1,24.5,24.4,Main
53,Aaron Rodgers,QB,PIT,CIN,15.2,15.0,16.5,14.0,14.0,14.0,24.1,24.0,Main
54,Omarion Hampton,RB,LAC,@BUF,15.0,13.9,14.4,12.3,13.3,14.4,26.8,25.5,Main
55,Aaron Jones,RB,MIN,@TB,14.8,13.4,14.4,11.6,12.9,14.2,26.6,24.8,Main
56,Jaylen Waddle,WR,DEN,LA,14.7,12.2,14.0,9.1,11.5,14.0,27.5,23.6,Sunday
57,Bucky Irving,RB,TB,MIN,14.7,13.0,14.3,11.0,12.6,14.2,26.0,23.8,Main
58,Daniel Jones,QB,IND,HOU,14.6,14.4,15.7,13.4,13.4,13.4,23.0,22.9,Main
59,Tetairoa McMillan,WR,CAR,@CLE,14.5,12.1,13.9,9.3,11.6,13.9,27.3,23.7,Main
60,Jameis Winston,QB,NYG,TEN,14.4,14.2,15.3,13.0,13.0,13.0,23.1,22.9,Main
61,Kyren Williams,RB,LA,@DEN,14.3,13.0,13.9,11.4,12.6,13.8,25.5,23.8,Sunday
62,Kirk Cousins,QB,LV,@NO,14.2,14.1,15.3,12.9,12.9,12.9,22.9,22.8,Main
63,Tee Higgins,WR,CIN,@PIT,14.1,11.9,13.6,9.1,11.3,13.5,26.8,23.4,Main
64,Matthew Golden,WR,GB,ATL,14.0,11.7,13.6,9.0,11.3,13.6,26.0,22.5,Thursday
65,Cam Skattebo,RB,NYG,TEN,13.9,12.7,13.3,11.1,12.2,13.2,25.0,23.6,Main
66,Michael Penix,QB,ATL,@GB,13.8,13.6,14.9,12.5,12.5,12.5,22.1,22.0,Thursday
67,DK Metcalf,WR,PIT,CIN,13.8,11.5,13.4,8.7,11.0,13.3,26.1,22.6,Main
68,Jadarian Price,RB,SEA,@WAS,13.8,12.9,13.3,11.4,12.3,13.2,25.2,24.0,Main
69,Quinshon Judkins,RB,CLE,CAR,13.6,12.3,13.1,10.6,11.8,13.1,24.9,23.3,Main
70,Brock Bowers,TE,LV,@NO,13.6,10.9,15.8,7.9,10.6,13.2,24.5,20.5,Main
71,Ladd McConkey,WR,LAC,@BUF,13.6,11.2,13.2,8.4,10.8,13.1,25.6,22.0,Main
72,Malik Nabers,WR,NYG,TEN,13.6,11.3,13.1,8.6,10.8,13.1,25.9,22.5,Main
73,Marcus Mariota,QB,WAS,SEA,13.6,13.4,14.4,12.3,12.3,12.3,21.8,21.6,Main
74,D'Andre Swift,RB,CHI,PHI,13.5,12.4,13.0,10.9,11.9,12.9,24.4,23.0,Monday
75,Rashod Bateman,WR,BAL,DAL,13.2,11.2,12.7,8.8,10.8,12.7,25.8,22.6,Main
76,Mark Andrews,TE,BAL,DAL,13.2,10.7,15.3,8.0,10.5,12.9,24.3,20.5,Main
77,George Kittle,TE,SF,ARI,13.2,11.0,15.0,8.5,10.7,12.8,25.1,21.7,Main
78,Dalton Kincaid,TE,BUF,LAC,12.9,10.8,14.7,8.3,10.4,12.5,24.6,21.2,Main
79,Cam Ward,QB,TEN,@NYG,12.9,12.7,14.0,11.9,11.9,11.9,21.3,21.1,Main
80,Case Keenum,QB,CHI,PHI,12.8,12.5,13.8,11.5,11.5,11.5,20.5,20.4,Monday
81,Josh Downs,WR,IND,HOU,12.7,10.2,12.4,7.5,9.9,12.4,23.5,19.8,Main
82,Travis Kelce,TE,KC,@MIA,12.7,10.4,14.6,7.9,10.2,12.4,24.1,20.6,Main
83,Rashee Rice,WR,KC,@MIA,12.6,10.5,12.4,8.0,10.2,12.3,24.1,20.8,Main
84,Jalen Coker,WR,CAR,@CLE,12.5,10.2,12.1,7.5,9.8,12.1,24.0,20.5,Main
85,David Montgomery,RB,HOU,@IND,12.5,11.5,12.2,10.3,11.2,12.1,23.1,21.8,Main
86,Jameson Williams,WR,DET,NYJ,12.3,10.5,11.9,8.3,10.1,11.9,24.6,21.7,Main
87,Mike Evans,WR,SF,ARI,12.3,10.4,12.0,8.2,10.1,12.0,24.3,21.2,Main
88,Emeka Egbuka,WR,TB,MIN,12.3,10.3,12.0,7.9,10.0,12.0,24.0,20.8,Main
89,Sam LaPorta,TE,DET,NYJ,12.2,9.8,14.4,7.2,9.6,12.0,22.7,19.0,Main
90,Dalton Schultz,TE,HOU,@IND,12.2,9.7,14.4,7.0,9.4,11.9,22.4,18.5,Main
91,Tyler Warren,TE,IND,HOU,12.2,9.7,14.5,7.1,9.5,12.0,21.9,18.1,Main
92,Deebo Samuel,WR,SF,ARI,12.2,10.0,11.9,7.6,9.8,11.9,23.1,19.8,Main
93,Terrance Ferguson,TE,LA,@DEN,12.0,9.8,13.9,7.3,9.5,11.7,22.6,19.1,Sunday
94,Bhayshul Tuten,RB,JAX,NE,11.9,10.9,11.6,9.6,10.6,11.5,22.4,21.2,Main
95,Travis Etienne,RB,NO,LV,11.9,10.7,11.7,9.3,10.5,11.7,21.9,20.2,Main
96,DJ Moore,WR,BUF,LAC,11.8,10.0,11.5,7.9,9.7,11.5,23.4,20.5,Main
97,Jeremiyah Love,RB,ARI,@SF,11.6,10.1,11.5,8.4,9.9,11.4,21.2,19.1,Main
98,Michael Wilson,WR,ARI,@SF,11.6,9.6,11.4,7.2,9.3,11.3,22.4,19.2,Main
99,Tucker Kraft,TE,GB,ATL,11.4,9.3,13.2,7.1,9.1,11.2,21.6,18.4,Thursday
100,Rhamondre Stevenson,RB,NE,@JAX,11.4,10.1,11.3,8.6,9.9,11.2,21.0,19.1,Main
101,Tony Pollard,RB,TEN,@NYG,11.1,10.2,10.7,9.1,9.9,10.6,21.2,20.1,Main
102,Khalil Shakir,WR,BUF,LAC,11.0,8.8,10.8,6.4,8.6,10.8,21.2,17.8,Main
103,Malik Washington,WR,MIA,KC,11.0,8.9,10.7,6.6,8.6,10.7,20.8,17.6,Main
104,Devaughn Vele,WR,NO,LV,10.8,8.8,10.6,6.6,8.6,10.6,21.0,17.8,Main
105,Xavier Worthy,WR,KC,@MIA,10.4,8.6,10.2,6.7,8.5,10.2,21.0,18.2,Main
106,Romeo Doubs,WR,NE,@JAX,10.4,8.7,10.1,6.8,8.5,10.1,21.1,18.3,Main
107,Hunter Henry,TE,NE,@JAX,10.4,8.4,12.2,6.4,8.3,10.3,20.1,17.0,Main
108,Luther Burden,WR,CHI,PHI,10.3,8.4,10.1,6.2,8.2,10.1,20.0,16.9,Monday
109,KC Concepcion,WR,CLE,CAR,10.3,8.3,10.1,6.2,8.2,10.1,19.6,16.7,Main
110,TreVeyon Henderson,RB,NE,@JAX,10.3,9.3,10.1,8.2,9.1,10.0,19.6,18.2,Main
111,Dontayvion Wicks,WR,PHI,@CHI,10.2,8.5,9.9,6.5,8.2,9.9,20.7,17.9,Monday
112,Jordan Addison,WR,MIN,@TB,10.0,8.4,9.8,6.5,8.1,9.8,20.2,17.6,Main
113,Carnell Tate,WR,TEN,@NYG,10.0,8.1,9.8,6.1,7.9,9.8,19.6,16.8,Main
114,Brian Thomas,WR,JAX,NE,9.8,8.2,9.6,6.5,8.0,9.6,20.0,17.4,Main
115,Denzel Boston,WR,CLE,CAR,9.7,8.0,9.5,6.1,7.8,9.5,19.3,16.6,Main
116,Courtland Sutton,WR,DEN,LA,9.7,8.0,9.5,6.1,7.8,9.5,19.7,16.9,Sunday
117,Colston Loveland,TE,CHI,PHI,9.6,7.7,11.3,5.7,7.6,9.4,18.5,15.4,Monday
118,Tre Tucker,WR,LV,@NO,9.6,8.0,9.4,6.1,7.7,9.4,19.8,17.1,Main
119,Terry McLaurin,WR,WAS,SEA,9.6,7.8,9.3,5.9,7.6,9.3,19.1,16.3,Main
120,Harold Fannin,TE,CLE,CAR,9.5,7.6,11.4,5.6,7.5,9.4,18.6,15.5,Main
121,Jakobi Meyers,WR,JAX,NE,9.5,7.8,9.4,5.9,7.7,9.4,19.2,16.4,Main
122,Isaiah Likely,TE,NYG,TEN,9.5,7.6,11.3,5.5,7.5,9.4,18.2,15.1,Main
123,Tyler Loop,K,BAL,DAL,9.5,9.5,10.2,9.2,9.2,9.2,15.6,15.6,Main
124,Eddy Pineiro,K,SF,ARI,9.5,9.5,10.2,9.2,9.2,9.2,15.5,15.5,Main
125,Quentin Johnston,WR,LAC,@BUF,9.4,7.8,9.2,6.1,7.6,9.2,19.1,16.6,Main
126,Brandon Aubrey,K,DAL,BAL,9.4,9.4,10.2,9.0,9.0,9.0,15.9,15.9,Main
127,RJ Harvey,RB,DEN,LA,9.3,7.7,9.3,6.1,7.7,9.2,18.0,15.6,Sunday
128,Jake Bates,K,DET,NYJ,9.3,9.3,10.0,9.0,9.0,9.0,15.4,15.4,Main
129,Pat Freiermuth,TE,PIT,CIN,9.2,7.3,10.9,5.4,7.2,9.1,17.6,14.7,Main
130,Chris Godwin,WR,TB,MIN,9.2,7.4,9.1,5.5,7.3,9.1,18.2,15.4,Main
131,Ka'imi Fairbairn,K,HOU,@IND,9.2,9.2,9.9,8.8,8.8,8.8,15.9,15.9,Main
132,Harrison Butker,K,KC,@MIA,9.2,9.2,9.9,8.9,8.9,8.9,15.2,15.2,Main
133,Jason Myers,K,SEA,@WAS,9.2,9.2,9.9,8.8,8.8,8.8,15.5,15.5,Main
134,Ryan Flournoy,WR,DAL,BAL,9.1,7.3,9.0,5.4,7.2,9.0,18.2,15.3,Main
135,TJ Hockenson,TE,MIN,@TB,9.1,7.2,11.0,5.2,7.1,9.0,17.7,14.6,Main
136,Mack Hollins,WR,NE,@JAX,9.1,7.6,8.9,5.9,7.4,8.9,18.8,16.3,Main
137,JK Dobbins,RB,DEN,LA,9.0,8.5,8.7,7.8,8.2,8.6,18.4,17.8,Sunday
138,Xavier Hutchinson,WR,HOU,@IND,9.0,7.4,8.9,5.7,7.3,8.9,18.2,15.6,Main
139,Juwan Johnson,TE,NO,LV,9.0,7.3,10.6,5.6,7.2,8.9,18.1,15.3,Main
140,Kenyon Sadiq,TE,NYJ,@DET,9.0,7.2,10.8,5.2,7.1,8.9,17.7,14.7,Main
141,Rashid Shaheed,WR,SEA,@WAS,9.0,7.6,8.8,6.0,7.4,8.8,18.7,16.4,Main
142,Stefon Diggs,WR,WAS,SEA,9.0,7.1,8.9,5.1,7.0,8.9,17.5,14.5,Main
143,SEA DST,DST,SEA,@WAS,9.0,9.0,10.0,9.0,9.0,9.0,16.9,16.9,Main
144,Blake Corum,RB,LA,@DEN,8.9,8.4,8.6,7.8,8.1,8.5,17.7,17.1,Sunday
145,Wan'Dale Robinson,WR,TEN,@NYG,8.9,7.1,8.8,5.1,7.0,8.8,17.7,14.7,Main
146,Tyler Bass,K,BUF,LAC,8.9,8.9,9.5,8.6,8.6,8.6,14.7,14.7,Main
147,Trey Smack,K,GB,ATL,8.9,8.9,9.6,8.6,8.6,8.6,15.1,15.1,Thursday
148,Spencer Shrader,K,IND,HOU,8.9,8.9,9.6,8.5,8.5,8.5,15.5,15.5,Main
149,Cam Little,K,JAX,NE,8.9,8.9,9.6,8.6,8.6,8.6,15.1,15.1,Main
150,Evan McPherson,K,CIN,@PIT,8.8,8.8,9.5,8.4,8.4,8.4,15.1,15.1,Main
151,Oronde Gadsden,TE,LAC,@BUF,8.7,7.0,10.3,5.3,6.9,8.6,17.4,14.6,Main
152,Ryan Fitzgerald,K,CAR,@CLE,8.7,8.7,9.4,8.3,8.3,8.3,14.9,14.9,Main
153,Jake Elliott,K,PHI,@CHI,8.7,8.7,9.4,8.4,8.4,8.4,14.9,14.9,Monday
154,Brenton Strange,TE,JAX,NE,8.6,6.8,10.2,5.1,6.8,8.5,17.3,14.5,Main
155,Alvin Kamara,RB,NO,LV,8.6,7.3,8.5,6.0,7.2,8.5,16.5,14.7,Main
156,Jacory Croskey-Merritt,RB,WAS,SEA,8.6,8.1,8.4,7.5,7.9,8.3,17.0,16.4,Main
157,Will Reichard,K,MIN,@TB,8.6,8.6,9.3,8.3,8.3,8.3,15.0,15.0,Main
158,Daniel Carlson,K,NO,LV,8.6,8.6,9.2,8.3,8.3,8.3,14.6,14.6,Main
159,Kyle Pitts,TE,ATL,@GB,8.5,6.8,10.1,5.1,6.7,8.4,16.9,14.1,Thursday
160,Tyjae Spears,RB,TEN,@NYG,8.5,7.2,8.4,5.9,7.2,8.4,16.5,14.6,Main
161,Wil Lutz,K,DEN,LA,8.5,8.5,9.3,8.2,8.2,8.2,14.9,14.9,Sunday
162,Chase McLaughlin,K,TB,MIN,8.5,8.5,9.2,8.2,8.2,8.2,14.9,14.9,Main
163,Kaleb Johnson,RB,GB,ATL,8.4,8.1,8.3,7.7,8.0,8.2,17.1,16.7,Thursday
164,Michael Pittman,WR,PIT,CIN,8.4,6.7,8.4,4.9,6.6,8.3,16.9,14.1,Main
165,KC DST,DST,KC,@MIA,8.4,8.4,9.4,8.4,8.4,8.4,16.1,16.1,Main
166,Harrison Mevis,K,LA,@DEN,8.4,8.4,9.1,8.2,8.2,8.2,14.3,14.3,Sunday
167,Cade Otton,TE,TB,MIN,8.3,6.6,10.1,4.7,6.5,8.3,16.5,13.6,Main
168,Jason Sanders,K,NYJ,@DET,8.3,8.3,9.0,8.0,8.0,8.0,14.7,14.7,Main
169,Woody Marks,RB,HOU,@IND,8.2,7.3,8.2,6.3,7.2,8.1,16.0,14.6,Main
170,Keenan Allen,WR,IND,HOU,8.2,6.5,8.1,4.8,6.5,8.1,16.6,13.9,Main
171,Isaiah Williams,WR,NYJ,@DET,8.2,6.3,8.1,4.4,6.2,8.1,16.1,13.1,Main
172,Cameron Dicker,K,LAC,@BUF,8.2,8.2,8.9,7.9,7.9,7.9,14.5,14.5,Main
173,Matt Gay,K,LV,@NO,8.2,8.2,8.9,7.9,7.9,7.9,14.6,14.6,Main
174,Kenny Gainwell,RB,TB,MIN,8.1,6.8,8.0,5.6,6.8,8.0,16.0,14.1,Main
175,Andre Szmyt,K,CLE,CAR,8.1,8.1,8.8,7.8,7.8,7.8,14.4,14.4,Main
176,Dominic Zvada,K,NYG,TEN,8.1,8.1,8.8,7.8,7.8,7.8,14.2,14.2,Main
177,Chris Boswell,K,PIT,CIN,8.1,8.1,8.8,7.8,7.8,7.8,14.2,14.2,Main
178,Jake Ferguson,TE,DAL,BAL,8.0,6.3,9.7,4.5,6.2,7.9,16.0,13.2,Main
179,DeMario Douglas,WR,NE,@JAX,8.0,6.5,7.9,4.9,6.4,7.9,16.6,14.1,Main
180,Makai Lemon,WR,PHI,@CHI,8.0,6.4,7.9,4.7,6.3,7.9,16.3,13.7,Monday
181,Rachaad White,RB,WAS,SEA,8.0,6.8,7.9,5.6,6.8,7.9,15.4,13.7,Main
182,NYG DST,DST,NYG,TEN,8.0,8.0,8.9,8.0,8.0,8.0,15.5,15.5,Main
183,Tyler Allgeier,RB,ARI,@SF,7.9,7.0,7.8,6.1,6.9,7.8,15.5,14.2,Main
184,Justice Hill,RB,BAL,DAL,7.9,6.7,7.9,5.4,6.6,7.8,16.8,14.8,Main
185,Kayshon Boutte,WR,HOU,@IND,7.9,6.7,7.8,5.3,6.5,7.8,17.1,14.9,Main
186,Andy Borregales,K,NE,@JAX,7.9,7.9,8.6,7.7,7.7,7.7,13.7,13.7,Main
187,Joey Slye,K,TEN,@NYG,7.9,7.9,8.6,7.6,7.6,7.6,14.2,14.2,Main
188,Kyle Monangai,RB,CHI,PHI,7.8,7.1,7.7,6.3,7.0,7.7,15.5,14.5,Monday
189,Tre' Harris,WR,LAC,@BUF,7.8,6.3,7.7,4.7,6.2,7.7,16.2,13.7,Main
190,CAR DST,DST,CAR,@CLE,7.8,7.8,8.6,7.8,7.8,7.8,15.4,15.4,Main
191,PHI DST,DST,PHI,@CHI,7.8,7.8,8.7,7.8,7.8,7.8,15.4,15.4,Monday
192,Chad Ryland,K,ARI,@SF,7.8,7.8,8.5,7.5,7.5,7.5,13.9,13.9,Main
193,Cairo Santos,K,CHI,PHI,7.8,7.8,8.4,7.4,7.4,7.4,14.1,14.1,Monday
194,Nick Folk,K,ATL,@GB,7.7,7.7,8.4,7.4,7.4,7.4,13.8,13.8,Thursday
195,Rome Odunze,WR,CHI,PHI,7.6,6.3,7.5,4.9,6.2,7.4,16.5,14.3,Monday
196,DET DST,DST,DET,NYJ,7.4,7.4,8.2,7.4,7.4,7.4,15.0,15.0,Main
197,TEN DST,DST,TEN,@NYG,7.4,7.4,8.2,7.4,7.4,7.4,14.8,14.8,Main
198,Kalif Raymond,WR,CHI,PHI,7.3,5.7,7.2,4.1,5.6,7.2,14.8,12.2,Monday
199,MIN DST,DST,MIN,@TB,7.3,7.3,8.1,7.3,7.3,7.3,14.9,14.9,Main
200,SF DST,DST,SF,ARI,7.3,7.3,8.2,7.3,7.3,7.3,14.8,14.8,Main
201,JAX DST,DST,JAX,NE,7.2,7.2,7.9,7.2,7.2,7.2,14.7,14.7,Main
202,Drew Stevens,K,WAS,SEA,7.2,7.2,7.9,6.9,6.9,6.9,13.4,13.4,Main
203,Jaylin Noel,WR,HOU,@IND,7.1,5.8,7.0,4.4,5.7,7.0,15.2,13.0,Main
204,BUF DST,DST,BUF,LAC,7.1,7.1,7.9,7.1,7.1,7.1,14.6,14.6,Main
205,GB DST,DST,GB,ATL,7.1,7.1,8.0,7.1,7.1,7.1,14.5,14.5,Thursday
206,NO DST,DST,NO,LV,7.1,7.1,7.9,7.1,7.1,7.1,14.5,14.5,Main
207,Riley Patterson,K,MIA,KC,7.1,7.1,7.7,6.8,6.8,6.8,13.0,13.0,Main
208,Roman Wilson,WR,PIT,CIN,7.0,5.7,6.9,4.3,5.6,6.9,15.1,12.9,Main
209,Marvin Harrison,WR,ARI,@SF,6.9,5.8,6.8,4.6,5.7,6.8,15.4,13.4,Main
210,Emmett Johnson,RB,KC,@MIA,6.9,6.1,6.9,5.3,6.0,6.8,14.5,13.3,Main
