,Player,Pos,Team,Opp,Game,Pass Att,Pass Yards,Int,Pass TD,Rush Att,Rush Yds,Rec,Rec Yds,Rush Rec TD,FPts,System
162,Mack Hollins,WR,NWE,JAX,NWE@JAX,0.0,0.0,0.0,0.0,0.0,0.0,3.05,33.46,0.26,7.9559999999999995,Sportsbooks
163,Drake Maye,QB,NWE,JAX,NWE@JAX,31.33,213.53,0.79,1.3,5.5,25.78,0.0,0.0,0.28,17.2092,Sportsbooks
164,Brian Thomas,WR,JAX,NWE,NWE@JAX,0.0,0.0,0.0,0.0,0.0,0.0,3.13,38.17,0.34,8.987,Sportsbooks
165,Parker Washington,WR,JAX,NWE,NWE@JAX,0.0,0.0,0.0,0.0,0.0,0.0,4.97,61.57,0.47,13.947,Sportsbooks
166,Rhamondre Stevenson,RB,NWE,JAX,NWE@JAX,0.0,0.0,0.0,0.0,8.5,37.68,2.5,14.09,0.53,10.857000000000001,Sportsbooks
167,Trevor Lawrence,QB,JAX,NWE,NWE@JAX,33.09,223.11,0.74,1.62,0.0,16.01,0.0,0.0,0.28,17.9454,Sportsbooks
168,Brenton Strange,TE,JAX,NWE,NWE@JAX,0.0,0.0,0.0,0.0,0.0,0.0,3.16,28.02,0.31,7.821999999999999,Sportsbooks
169,Bhayshul Tuten,RB,JAX,NWE,NWE@JAX,0.0,0.0,0.0,0.0,12.5,53.33,1.71,9.21,0.6,11.564,Sportsbooks
174,TreVeyon Henderson,RB,NWE,JAX,NWE@JAX,0.0,0.0,0.0,0.0,9.5,40.53,1.61,8.63,0.47,9.346,Sportsbooks
178,Jakobi Meyers,WR,JAX,NWE,NWE@JAX,0.0,0.0,0.0,0.0,0.0,0.0,3.54,34.52,0.32,8.912,Sportsbooks
179,Romeo Doubs,WR,NWE,JAX,NWE@JAX,0.0,0.0,0.0,0.0,0.0,0.0,3.3,42.07,0.28,9.187,Sportsbooks
269,Trey McBride,TE,ARZ,SFO,ARZ@SFO,0.0,0.0,0.0,0.0,0.0,0.0,7.39,67.46,0.44,16.776,Sportsbooks
275,Marvin Harrison Jr.,WR,ARZ,SFO,ARZ@SFO,0.0,0.0,0.0,0.0,0.0,0.0,4.91,23.58,0.26,8.828000000000001,Sportsbooks
278,Michael Wilson,WR,ARZ,SFO,ARZ@SFO,0.0,0.0,0.0,0.0,0.0,0.0,4.14,44.24,0.3,10.364,Sportsbooks
296,Chris Godwin,WR,TB,MIN,TB@MIN,0.0,0.0,0.0,0.0,0.0,0.0,3.28,34.64,0.27,8.364,Sportsbooks
297,Justin Jefferson,WR,MIN,TB,MIN@TB,0.0,0.0,0.0,0.0,0.0,0.0,5.8,69.0,0.52,15.82,Sportsbooks
298,Cade Otton,TE,TB,MIN,TB@MIN,0.0,0.0,0.0,0.0,0.0,0.0,3.15,28.05,0.31,7.8149999999999995,Sportsbooks
300,Jordan Addison,WR,MIN,TB,MIN@TB,0.0,0.0,0.0,0.0,0.0,0.0,2.96,32.56,0.29,7.9559999999999995,Sportsbooks
301,TJ Hockenson,TE,MIN,TB,MIN@TB,0.0,0.0,0.0,0.0,0.0,0.0,3.63,29.66,0.36,8.756,Sportsbooks
302,Baker Mayfield,QB,TB,MIN,TB@MIN,29.78,216.56,0.67,1.32,0.0,17.3,0.0,0.0,0.18,16.0824,Sportsbooks
