,Name,Salary,Pos,RW_Proj,ETRProj,Ceiling,Value,Value_adj,BaseMix,CeilAdj,PosBump,NewProj,ID,Name + ID,TeamAbbrev,Position,Game Info,Unnamed: 0,Team,OPP,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,DK_Base,Prob_DD,Prob_TD,DK_Bonus,ETR MP,Own,CeilZ,LastUpdate
10,Jimmy Butler,7600.0,F,35.97303075223573,37.8,45.2,1.4,1.41,37.617303075223575,-0.11489351074806196,0.13127201127944035,37.63,40600037.0,Jimmy Butler (40600037),GSW,SF,GSW@MIL 10/30/2025 08:00PM ET,18.0,GSW,MIL,32.0,17.86592,6.17474,4.71686,1.4759,0.31848,1.86716,5.70384,11.15257,51.1,0.90226,2.39417,37.7,5.55598,6.85332,81.1,2.01944,4.1553,35.765944999999995,0.13089610287047,0.0035805326433429093,0.20708575223573372,33.0,17.3%,-0.19148918458010328,2025-10-30 18:30:42
11,Miles Bridges,7700.0,F,36.86534340343207,37.6,45.4,0.8,0.65,37.52653434034321,-0.10315256804388069,0.12436295805420666,37.55,40600040.0,Miles Bridges (40600040),CHA,PF,ORL@CHA 10/30/2025 07:00PM ET,16.0,CHA,ORL,33.0,18.64479,8.10509,3.11369,0.9633,0.54113,1.86752,6.76388,13.62504,49.6,1.90028,5.1973,36.6,3.21676,4.05418,79.3,1.56405,6.54103,36.4719275,0.256978893735282,0.002649187609715496,0.3934159034320695,33.0,11.7%,-0.17192094673980116,2025-10-30 18:30:42
12,Franz Wagner,7500.0,F,34.12209253855488,37.4,44.7,1.4,1.52,37.07220925385549,-0.14424586750851576,0.11745390482897296,37.05,40600043.0,Franz Wagner (40600043),ORL,SF,ORL@CHA 10/30/2025 07:00PM ET,124.0,ORL,CHA,33.0,19.44755,5.67997,3.34102,1.14025,0.31943,2.4025,6.82881,14.11318,48.4,1.4321,4.53813,31.6,4.35783,5.24658,83.1,1.44857,4.23139,33.9932025,0.08405961868486461,0.0009335368425270189,0.12889003855487796,33.5,16.9%,-0.24040977918085962,2025-10-30 18:30:42
13,De'Aaron Fox,7200.0,G,6.181736613850029e-05,,,,,,0.0,,,40600046.0,De'Aaron Fox (40600046),SAS,PG,MIA@SAS 10/30/2025 08:30PM ET,38.0,SAS,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1193981709054106e-05,8.797858306379187e-09,6.181736613850029e-05,,,0.0,2025-10-30 18:30:42
14,Norman Powell,6900.0,G,6.181736613850029e-05,,,,,,0.0,,,40600049.0,Norman Powell (40600049),MIA,SG,MIA@SAS 10/30/2025 08:30PM ET,96.0,MIA,SAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1193981709054106e-05,8.797858306379187e-09,6.181736613850029e-05,,,0.0,2025-10-30 18:30:42
15,Stephon Castle,7000.0,G,32.28264908867887,34.9,43.5,0.9,0.91,34.63826490886788,-0.2146915237336051,-0.05642891405646024,34.37,40600052.0,Stephon Castle (40600052),SAS,SG,MIA@SAS 10/30/2025 08:30PM ET,24.0,SAS,MIA,31.0,14.24475,5.72936,5.27518,1.14253,0.55272,2.61773,5.22849,12.06323,43.3,1.42213,4.40135,32.3,2.36565,2.88666,82.0,1.26258,4.46678,32.111920000000005,0.10704526833904267,0.0033870620567682283,0.17072908867886868,32.0,16.4%,-0.35781920622267516,2025-10-30 18:30:42
16,Brandon Miller,6800.0,F,6.181736613850029e-05,,,,,,0.0,,,40600055.0,Brandon Miller (40600055),CHA,SF,ORL@CHA 10/30/2025 07:00PM ET,81.0,CHA,ORL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1193981709054106e-05,8.797858306379187e-09,6.181736613850029e-05,,,0.0,2025-10-30 18:30:42
17,Kyshawn George,6900.0,F,35.4504447601751,31.4,40.1,-2.2,-2.27,31.805044476017507,-0.41428754970469095,0.11054485160373924,31.5,40600058.0,Kyshawn George (40600058),WAS,SG/SF,WAS@OKC 10/30/2025 08:00PM ET,40.0,WAS,OKC,32.0,14.46721,8.87462,3.21891,1.27791,1.11429,2.0622,4.9238,11.10415,44.3,1.73785,4.7746,36.4,2.88175,3.89897,73.9,1.3571,7.51752,35.01107499999999,0.2864155834345203,0.003248795007775876,0.43936976017510804,28.5,11.2%,-0.6904792495078182,2025-10-30 18:30:42
18,Desmond Bane,6700.0,G,35.3991289633398,35.6,43.7,2.8,2.77,35.57991289633399,-0.2029505810294234,-0.06113132356116526,35.32,40600063.0,Desmond Bane (40600063),ORL,SG,ORL@CHA 10/30/2025 07:00PM ET,9.0,ORL,CHA,34.0,19.48194,5.4218,4.00809,0.99162,0.46373,2.5466,6.72911,14.73654,45.7,2.72382,7.10922,38.3,3.2999,3.84034,85.9,0.88075,4.54105,35.27063500000001,0.08292077312302677,0.0013709345517475434,0.1284939633397828,33.0,23.3%,-0.33825096838237234,2025-10-30 18:30:42
19,Isaiah Hartenstein,6700.0,C,40.63007932408271,33.9,41.8,1.1,1.13,34.57300793240827,-0.31448953671914825,0.0322848731761307,34.29,40600066.0,Isaiah Hartenstein (40600066),OKC,C,WAS@OKC 10/30/2025 08:00PM ET,48.0,OKC,WAS,30.0,14.45542,13.31901,3.47016,0.77076,1.32588,1.99645,5.99786,9.96439,60.2,0.11693,0.49361,23.7,2.34277,3.27898,71.4,4.1382,9.1808,39.5629425,0.6917248290792846,0.009849860154593746,1.0671368240827082,28.0,14.3%,-0.5241492278652471,2025-10-30 18:30:42
