,Player,DK ID,Pos,Team,Opp,Proj,Sal,Own,Floor,Ceiling,JA Proj,wProj1,Avg Proj,Avg Ceiling,Proj OA,Ceiling OA,wProj_ceil
259,Gunnar Helm,40236416,TE,TEN,ARI,3.5,2500,0.1,0.1,8.3,3.83,3.58,8.61,16.7,0.41,0.88,3.13
90,Raheem Mostert,40235820,RB,LV,IND,3.5,4200,0.0,0.4,9.2,2.7,3.3,14.98,26.52,0.23,0.84,2.76
141,Adonai Mitchell,40236076,WR,IND,LV,3.3,3600,0.0,0.0,9.1,3.42,3.33,12.11,23.11,0.27,0.85,2.82
91,Samaje Perine,40235826,RB,CIN,DET,3.2,4100,0.0,0.2,8.3,2.41,3.0,14.98,26.52,0.21,0.83,2.48
170,Brycen Tremayne,40236126,WR,CAR,MIA,3.1,3100,0.5,0.0,8.0,3.74,3.26,12.11,23.11,0.26,0.84,2.73
154,Jahan Dotson,40236098,WR,PHI,DEN,3.0,3400,0.0,0.0,8.2,3.0,3.0,12.11,23.11,0.25,0.84,2.51
235,Luke Schoonmaker,40236510,TE,DAL,NYJ,2.9,2500,0.0,0.0,7.6,2.46,2.79,8.61,16.7,0.34,0.86,2.41
80,DeAndre Hopkins,40236046,WR,BAL,HOU,2.8,4400,0.0,0.0,7.8,3.0,2.85,12.11,23.11,0.23,0.84,2.38
173,Ryan Flournoy,40236130,WR,DAL,NYJ,2.8,3100,0.0,0.0,7.7,3.01,2.85,12.11,23.11,0.23,0.83,2.37
133,Jayden Higgins,40236066,WR,HOU,BAL,2.6,3800,0.0,0.0,7.4,2.84,2.66,12.11,23.11,0.21,0.83,2.21
218,Mitchell Evans,40236404,TE,CAR,MIA,2.6,2700,0.0,0.0,7.0,4.38,3.04,8.61,16.7,0.3,0.86,2.6
214,Adam Trautman,40236398,TE,DEN,PHI,2.5,2800,0.0,0.0,6.7,2.27,2.44,8.61,16.7,0.29,0.85,2.08
