,Player,Week,FPts,xFP,Diff
1608,Jaxon Smith-Njigba,6,33.2,21.51,11.69
513,Chase Brown,8,25.5,13.84,11.66
3027,Tez Johnson,10,20.2,8.54,11.66
1541,James Cook,2,29.5,17.89,11.61
2207,Lamar Jackson,9,25.56,13.98,11.58
915,DeMario Douglas,9,23.0,11.44,11.56
827,Davante Adams,7,26.5,14.95,11.55
772,Daniel Jones,1,29.48,17.93,11.55
1026,Drake London,4,28.0,16.47,11.53
591,Christian Watson,11,20.6,9.26,11.34
246,Bijan Robinson,4,31.1,19.81,11.29
2075,Kenneth Gainwell,11,29.5,18.27,11.23
206,Baker Mayfield,5,29.66,18.48,11.18
1865,Josh Jacobs,6,32.0,20.83,11.17
706,DJ Moore,9,22.98,11.82,11.16
3234,Ty Johnson,11,15.0,3.85,11.15
2009,Kareem Hunt,5,18.7,7.66,11.04
2109,Khalil Shakir,8,20.8,9.8,11.0
2770,Rico Dowdle,9,31.1,20.1,11.0
2197,Ladd McConkey,6,26.0,15.09,10.91
2365,Marvin Mims,4,20.5,9.59,10.91
1843,Josh Allen,4,25.86,15.01,10.85
2402,Matthew Stafford,4,30.4,19.56,10.84
1810,Jordan Love,4,30.28,19.5,10.78
709,DJ Moore,12,23.4,12.66,10.74
2846,Sam LaPorta,5,20.2,9.48,10.72
736,Dallas Goedert,6,29.0,18.33,10.67
2767,Rico Dowdle,6,36.9,26.27,10.63
1459,Jake Ferguson,7,21.9,11.32,10.58
1649,Jaylen Waddle,5,26.0,15.5,10.5
809,Darnell Mooney,12,16.4,5.9,10.5
559,Chris Olave,10,24.4,13.95,10.45
2863,Saquon Barkley,5,17.8,7.43,10.37
1652,Jaylen Waddle,8,20.9,10.57,10.33
818,Darren Waller,4,17.7,7.38,10.32
2170,Kyle Williams,10,14.2,3.96,10.24
1033,Drake Maye,2,26.3,16.08,10.22
828,Davante Adams,9,23.0,12.8,10.2
3144,TreVeyon Henderson,11,32.3,22.1,10.2
1569,Jared Goff,5,21.12,10.93,10.19
767,Daniel Bellinger,7,17.8,7.63,10.17
1930,Justin Fields,1,29.52,19.35,10.17
1039,Drake Maye,8,27.28,17.12,10.16
1266,Hunter Henry,3,29.0,18.84,10.16
2705,Rashee Rice,8,25.5,15.38,10.12
1275,Hunter Henry,12,27.5,17.39,10.11
2106,Khalil Shakir,4,17.9,7.79,10.11
2595,Oronde Gadsden,8,18.7,8.61,10.09
898,DeAndre Hopkins,2,14.4,4.33,10.07
2205,Lamar Jackson,3,27.02,16.96,10.06
2156,Kyle Pitts,4,18.0,7.96,10.04
1605,Jaxon Smith-Njigba,3,20.6,10.63,9.97
3394,Woody Marks,4,27.9,17.95,9.95
1619,Jaxson Dart,7,29.42,19.48,9.94
2234,Luke McCaffrey,3,14.6,4.67,9.93
132,Amon-Ra St. Brown,12,32.9,22.99,9.91
1610,Jaxon Smith-Njigba,9,25.0,15.11,9.89
3342,Tyrell Shavers,11,19.0,9.13,9.87
2012,Kareem Hunt,8,17.2,7.37,9.83
1781,Jonathan Taylor,5,31.6,21.83,9.77
2667,Quinshon Judkins,7,26.4,16.63,9.77
2442,Michael Pittman Jr.,3,19.3,9.58,9.72
278,Bo Nix,8,24.78,15.11,9.67
2002,Kameron Johnson,6,16.4,6.8,9.6
2090,Keon Coleman,1,28.2,18.61,9.59
2857,Samaje Perine,8,17.0,7.45,9.55
3034,Theo Johnson,5,21.3,11.76,9.54
2375,Mason Rudolph,12,9.54,0.0,9.54
1457,Jake Ferguson,5,23.9,14.38,9.52
2060,Kendrick Bourne,5,27.2,17.69,9.51
2022,Kayshon Boutte,7,13.5,4.1,9.4
3181,Trey McBride,10,30.7,21.3,9.4
274,Bo Nix,4,29.74,20.34,9.4
746,Dalton Kincaid,5,19.8,10.42,9.38
731,Dak Prescott,12,31.06,21.68,9.38
1037,Drake Maye,6,27.24,17.88,9.36
1949,Justin Herbert,8,26.28,16.94,9.34
1611,Jaxon Smith-Njigba,10,20.3,11.0,9.3
912,DeMario Douglas,6,16.1,6.81,9.29
1842,Josh Allen,3,23.02,13.75,9.27
1622,Jaxson Dart,10,27.28,18.01,9.27
2334,Mark Andrews,9,16.6,7.35,9.25
2,A.J. Brown,3,25.9,16.67,9.23
2043,Keenan Allen,7,31.9,22.71,9.19
3013,Tetairoa McMillan,6,17.9,8.71,9.19
534,Chimere Dike,7,16.9,7.74,9.16
1864,Josh Jacobs,4,31.7,22.57,9.13
1499,Jalen Hurts,12,30.86,21.77,9.09
1521,Jalen Tolbert,8,12.7,3.62,9.08
3374,Wan'Dale Robinson,6,20.4,11.35,9.05
831,Davante Adams,12,23.2,14.16,9.04
668,Courtland Sutton,4,19.1,10.07,9.03
2447,Michael Pittman Jr.,8,23.5,14.48,9.02
3318,Tyler Warren,7,16.9,7.88,9.02
3108,Travis Kelce,8,21.9,12.88,9.02
779,Daniel Jones,8,23.18,14.17,9.01
584,Christian McCaffrey,9,37.3,28.3,9.0
2374,Mason Rudolph,11,8.98,0.0,8.98
819,Darren Waller,5,18.8,9.85,8.95
3085,Travis Etienne,4,22.5,13.56,8.94
3198,Tua Tagovailoa,2,22.6,13.7,8.9
1077,Dylan Sampson,12,16.2,7.35,8.85
2915,Stefon Diggs,5,27.6,18.84,8.76
1227,Greg Dortch,11,18.6,9.87,8.73
3160,Trevor Lawrence,5,28.24,19.51,8.73
3216,Tucker Kraft,6,12.3,3.68,8.62
1198,George Kittle,10,23.4,14.78,8.62
2405,Matthew Stafford,7,27.38,18.77,8.61
3380,Wan'Dale Robinson,12,33.6,25.02,8.58
243,Bijan Robinson,1,27.4,18.85,8.55
1491,Jalen Hurts,3,30.04,21.52,8.52
2434,Michael Penix Jr.,4,22.72,14.23,8.49
2648,Puka Nacua,9,22.8,14.32,8.48
1840,Josh Allen,1,41.76,33.3,8.46
2635,Patrick Mahomes,8,24.96,16.52,8.44
3187,Troy Franklin,2,24.0,15.56,8.44
1267,Hunter Henry,4,11.9,3.53,8.37
2634,Patrick Mahomes,7,26.24,17.88,8.36
1291,Hunter Renfrow,2,23.8,15.48,8.32
2237,Luke McCaffrey,6,10.3,1.99,8.31
2783,Roman Wilson,8,17.4,9.1,8.3
2953,Tank Bigsby,8,13.4,5.11,8.29
3257,Tyler Allgeier,10,17.7,9.41,8.29
2681,RJ Harvey,9,16.6,8.32,8.28
2849,Sam LaPorta,9,21.7,13.46,8.24
2649,Puka Nacua,10,17.4,9.17,8.23
1767,John Metchie,12,18.5,10.33,8.17
2708,Rashee Rice,12,27.1,18.95,8.15
2632,Patrick Mahomes,5,30.72,22.57,8.15
1027,Drake London,6,34.8,26.66,8.14
1766,John Metchie,11,13.5,5.37,8.13
1172,Garrett Wilson,1,22.5,14.38,8.12
2105,Khalil Shakir,3,14.5,6.48,8.02
939,Deebo Samuel,4,20.1,12.09,8.01
742,Dalton Kincaid,1,14.8,6.85,7.95
2353,Marvin Harrison Jr.,1,18.1,10.18,7.92
1038,Drake Maye,7,23.08,15.2,7.88
1186,Geno Smith,9,27.26,19.39,7.87
2548,Noah Fant,7,14.4,6.54,7.86
1745,Joe Flacco,8,24.32,16.47,7.85
1978,KaVontae Turpin,2,15.3,7.46,7.84
3410,Xavier Hutchinson,8,17.9,10.06,7.84
2406,Matthew Stafford,9,26.84,19.03,7.81
897,DeAndre Hopkins,1,11.5,3.73,7.77
3333,Tyreek Hill,2,19.9,12.14,7.76
2321,Marcus Mariota,3,21.28,13.54,7.74
2833,Sam Darnold,3,16.72,9.0,7.72
1410,Jacoby Brissett,9,24.84,17.13,7.71
3123,Tre Tucker,1,13.4,5.69,7.71
2276,Mac Jones,10,27.06,19.35,7.71
2440,Michael Pittman Jr.,1,20.0,12.31,7.69
3047,Tim Patrick,6,9.6,1.92,7.68
1110,Elijah Moore,2,10.7,3.05,7.65
621,Colby Parkinson,12,14.1,6.49,7.61
2671,Quinshon Judkins,12,16.7,9.12,7.58
744,Dalton Kincaid,3,17.6,10.05,7.55
2532,Nico Collins,3,26.4,18.85,7.55
233,Bhayshul Tuten,2,15.4,7.86,7.54
687,D'Andre Swift,7,23.8,16.28,7.52
3447,Zach Charbonnet,7,19.5,11.98,7.52
207,Baker Mayfield,6,19.64,12.13,7.51
226,Ben Skowronek,1,9.2,1.73,7.47
2407,Matthew Stafford,10,26.9,19.48,7.42
1415,Jacory Croskey-Merritt,1,14.2,6.83,7.37
1559,Jameson Williams,6,18.6,11.24,7.36
3316,Tyler Warren,5,14.4,7.04,7.36
853,David Njoku,10,10.1,2.74,7.36
3179,Trey McBride,7,29.4,22.04,7.36
3243,Tylan Wallace,2,10.5,3.15,7.35
2538,Nico Collins,11,24.2,16.85,7.35
2704,Rashee Rice,7,23.2,15.86,7.34
1243,Gunner Olszewski,9,9.4,2.06,7.34
1632,Jayden Higgins,4,9.4,2.07,7.33
38,Aaron Rodgers,7,24.56,17.23,7.33
1857,Josh Downs,8,12.9,5.58,7.32
13,AJ Barner,4,12.2,4.92,7.28
341,Brian Robinson,9,11.3,4.07,7.23
2069,Kenneth Gainwell,4,31.4,24.2,7.2
2642,Puka Nacua,1,26.1,18.91,7.19
1095,Elijah Arroyo,9,10.9,3.73,7.17
945,Deebo Samuel,11,20.7,13.58,7.12
2989,Tee Higgins,8,11.4,4.29,7.11
1621,Jaxson Dart,9,27.24,20.15,7.09
923,DeVonta Smith,5,22.4,15.31,7.09
2748,Rhamondre Stevenson,2,21.2,14.12,7.08
1431,Jahan Dotson,8,11.0,3.92,7.08
2505,Nate Adkins,6,10.3,3.22,7.08
1646,Jaylen Waddle,2,17.8,10.73,7.07
642,Colston Loveland,12,14.9,7.87,7.03
678,Curtis Samuel,5,10.6,3.57,7.03
1950,Justin Herbert,9,28.7,21.67,7.03
2847,Sam LaPorta,6,16.5,9.5,7.0
2828,Ryan Miller,2,9.0,2.0,7.0
3282,Tyler Higbee,6,14.0,7.01,6.99
2023,Kayshon Boutte,8,16.5,9.52,6.98
1866,Josh Jacobs,7,18.8,11.82,6.98
2363,Marvin Mims,2,10.4,3.43,6.97
2336,Mark Andrews,11,15.7,8.74,6.96
1827,Jordan Mason,11,10.5,3.58,6.92
368,Brock Wright,2,11.8,4.89,6.91
3007,Terry McLaurin,8,14.4,7.49,6.91
1458,Jake Ferguson,6,12.3,5.41,6.89
124,Amon-Ra St. Brown,3,20.7,13.81,6.89
727,Dak Prescott,7,23.26,16.38,6.88
381,Bryce Young,6,19.46,12.58,6.88
3105,Travis Kelce,5,19.1,12.24,6.86
1175,Garrett Wilson,4,20.2,13.34,6.86
2534,Nico Collins,5,16.0,9.19,6.81
1563,Jameson Williams,11,19.7,12.92,6.78
777,Daniel Jones,6,23.48,16.7,6.78
1956,Justin Jefferson,4,25.6,18.84,6.76
499,Charlie Kolar,9,10.3,3.55,6.75
3082,Travis Etienne,1,21.6,14.88,6.72
1127,Emanuel Wilson,12,29.5,22.78,6.72
126,Amon-Ra St. Brown,5,21.0,14.33,6.67
2737,Ray Davis,6,9.9,3.24,6.66
2785,Roman Wilson,10,11.5,4.85,6.65
2712,Rashid Shaheed,2,15.2,8.58,6.62
886,De'Von Achane,1,16.5,9.9,6.6
2017,Kayshon Boutte,2,8.6,2.01,6.59
