,Player,Week,FPts,xFP,Diff
2658,Quentin Johnston,9,15.3,10.6,4.7
2725,Rashod Bateman,3,17.3,12.61,4.69
3258,Tyler Allgeier,11,9.6,4.93,4.67
860,David Sills,12,9.6,4.94,4.66
2629,Patrick Mahomes,2,23.08,18.43,4.65
159,Antonio Gibson,4,8.7,4.06,4.64
2345,Marquise Brown,4,12.8,8.17,4.63
2646,Puka Nacua,5,24.5,19.91,4.59
2581,Ollie Gordon,8,13.6,9.02,4.58
2079,Kenneth Walker,3,18.0,13.42,4.58
564,Chris Rodriguez,7,7.2,2.62,4.58
1627,Jayden Daniels,7,18.74,14.2,4.54
70,Adonai Mitchell,4,11.6,7.1,4.5
2357,Marvin Harrison Jr.,5,13.8,9.3,4.5
202,Baker Mayfield,1,22.58,18.08,4.5
1133,Emari Demercado,10,13.4,8.9,4.5
969,Derrick Henry,12,22.8,18.34,4.46
2437,Michael Penix Jr.,9,22.74,18.28,4.46
1538,James Conner,2,12.2,7.78,4.42
3422,Xavier Legette,11,18.3,13.88,4.42
1487,Jalen Coker,11,11.2,6.78,4.42
2452,Michael Wilson,2,8.1,3.69,4.41
1604,Jaxon Smith-Njigba,2,21.3,16.9,4.4
1578,Jaret Patterson,9,4.4,0.0,4.4
2904,Spencer Rattler,2,21.68,17.28,4.4
2448,Michael Pittman Jr.,9,23.5,19.11,4.39
2284,Mack Hollins,8,15.9,11.51,4.39
2706,Rashee Rice,9,18.6,14.21,4.39
3326,Tyquan Thornton,4,8.1,3.71,4.39
820,Darren Waller,6,9.2,4.81,4.39
2886,Sean Tucker,6,8.5,4.11,4.39
37,Aaron Rodgers,6,17.5,13.12,4.38
1226,Greg Dortch,10,6.2,1.82,4.38
2279,Mack Hollins,2,7.8,3.42,4.38
1598,Javonte Williams,7,21.8,17.42,4.38
2600,Parker Washington,2,12.6,8.24,4.36
1750,Joe Milton,8,6.32,2.0,4.32
1351,J.K. Dobbins,4,14.5,10.19,4.31
428,Caleb Williams,12,22.66,18.36,4.3
2841,Sam Darnold,12,17.66,13.36,4.3
3109,Travis Kelce,9,12.6,8.31,4.29
716,DK Metcalf,8,16.5,12.22,4.28
2511,Nick Chubb,2,15.2,10.93,4.27
1903,JuJu Smith-Schuster,6,8.7,4.43,4.27
97,Allen Lazard,3,9.3,5.04,4.26
2941,TJ Hockenson,9,9.1,4.84,4.26
861,Davis Allen,1,8.3,4.05,4.25
115,Ameer Abdullah,5,6.6,2.35,4.25
1593,Javonte Williams,2,25.0,20.76,4.24
3449,Zach Charbonnet,10,14.3,10.08,4.22
1540,James Cook,1,21.2,17.01,4.19
369,Brock Wright,5,8.9,4.71,4.19
174,Ashton Dulin,12,5.8,1.61,4.19
1929,Justice Hill,10,8.3,4.12,4.18
210,Baker Mayfield,10,22.92,18.75,4.17
3480,Zay Flowers,5,12.2,8.03,4.17
2322,Marcus Mariota,4,17.24,13.08,4.16
3351,Tyrone Tracy,7,10.6,6.44,4.16
182,Ashton Jeanty,9,19.9,15.77,4.13
3128,Tre Tucker,6,12.0,7.88,4.12
1640,Jayden Reed,1,13.5,9.4,4.1
2086,Kenneth Walker,11,20.1,16.04,4.06
431,Calvin Austin,3,12.4,8.35,4.05
2695,Raheem Mostert,4,8.3,4.26,4.04
1683,Jaylin Noel,5,9.8,5.76,4.04
3166,Trevor Lawrence,12,21.14,17.11,4.03
3049,Tim Patrick,11,11.0,6.97,4.03
3098,Travis Hunter,5,9.4,5.39,4.01
944,Deebo Samuel,10,12.9,8.9,4.0
3029,Tez Johnson,12,12.3,8.31,3.99
755,Dalton Schultz,7,18.8,14.81,3.99
3006,Terry McLaurin,3,10.4,6.42,3.98
2834,Sam Darnold,4,16.08,12.11,3.97
1894,Joshua Palmer,6,8.0,4.05,3.95
2037,Keenan Allen,1,19.8,15.86,3.94
1317,Isaiah Bond,12,7.8,3.86,3.94
2794,Rome Odunze,8,21.4,17.47,3.93
577,Christian McCaffrey,2,22.7,18.79,3.91
2587,Omarion Hampton,3,24.9,20.99,3.91
467,Carson Wentz,3,15.32,11.42,3.9
365,Brock Purdy,4,23.66,19.77,3.89
3107,Travis Kelce,7,8.4,4.51,3.89
400,C.J. Stroud,4,18.42,14.54,3.88
2921,Stefon Diggs,11,22.5,18.62,3.88
2319,Malik Willis,11,5.84,1.97,3.87
1462,Jake Ferguson,11,11.6,7.75,3.85
1143,Emeka Egbuka,10,26.5,22.67,3.83
1426,Jahan Dotson,1,8.9,5.08,3.82
2473,Miles Sanders,2,9.9,6.08,3.82
3335,Tyreek Hill,4,12.7,8.88,3.82
1068,Dylan Sampson,2,10.9,7.11,3.79
29,Aaron Jones,9,11.8,8.02,3.78
3284,Tyler Higbee,9,10.3,6.53,3.77
143,Andrew Beck,5,7.1,3.33,3.77
2653,Quentin Johnston,2,15.9,12.13,3.77
3293,Tyler Johnson,7,9.0,5.24,3.76
17,AJ Barner,9,11.5,7.74,3.76
1370,Ja'Marr Chase,7,41.1,37.35,3.75
1620,Jaxson Dart,8,19.42,15.68,3.74
2596,Oronde Gadsden,9,11.8,8.06,3.74
1616,Jaxson Dart,4,19.84,16.16,3.68
2368,Marvin Mims,7,15.8,12.12,3.68
2199,Ladd McConkey,8,20.8,17.13,3.67
409,Cade Otton,5,12.1,8.43,3.67
3206,Tua Tagovailoa,10,12.82,9.18,3.64
2673,RJ Harvey,1,7.9,4.26,3.64
2317,Malik Washington,10,9.3,5.66,3.64
253,Bijan Robinson,12,14.7,11.06,3.64
2790,Rome Odunze,3,15.2,11.56,3.64
2664,Quinshon Judkins,4,21.5,17.87,3.63
150,Andy Dalton,4,6.32,2.7,3.62
2995,Terrance Ferguson,7,10.1,6.49,3.61
571,Christian Kirk,5,10.4,6.8,3.6
2117,Kimani Vidal,8,22.7,19.11,3.59
3068,Tony Pollard,5,15.8,12.21,3.59
1355,J.K. Dobbins,8,17.1,13.52,3.58
2925,Sterling Shepard,3,12.0,8.42,3.58
1900,JuJu Smith-Schuster,3,9.5,5.93,3.57
2988,Tee Higgins,7,21.6,18.03,3.57
442,Calvin Ridley,5,21.1,17.55,3.55
3324,Tyquan Thornton,2,13.9,10.36,3.54
3310,Tyler Shough,10,18.98,15.44,3.54
2196,Ladd McConkey,5,14.9,11.37,3.53
714,DK Metcalf,6,19.5,15.97,3.53
1848,Josh Allen,10,24.34,20.82,3.52
3110,Travis Kelce,11,24.1,20.59,3.51
1612,Jaxon Smith-Njigba,11,23.6,20.09,3.51
538,Chimere Dike,12,15.4,11.89,3.51
1174,Garrett Wilson,3,24.4,20.9,3.5
3063,Tommy Tremble,11,6.4,2.92,3.48
2617,Pat Bryant,11,13.2,9.73,3.47
1788,Jonnu Smith,1,12.5,9.06,3.44
1801,Jordan Addison,7,24.8,21.37,3.43
566,Chris Rodriguez,9,12.5,9.08,3.42
773,Daniel Jones,2,25.84,22.43,3.41
3075,Tory Horton,2,11.2,7.79,3.41
3185,Treylon Burks,10,8.8,5.41,3.39
2539,Nico Collins,12,8.5,5.11,3.39
42,Aaron Rodgers,11,9.44,6.05,3.39
3165,Trevor Lawrence,11,16.02,12.64,3.38
1606,Jaxon Smith-Njigba,4,13.0,9.62,3.38
918,DeMario Douglas,12,6.1,2.72,3.38
1572,Jared Goff,9,19.36,15.98,3.38
2676,RJ Harvey,4,19.8,16.45,3.35
130,Amon-Ra St. Brown,10,16.8,13.45,3.35
3452,Zach Ertz,1,11.6,8.25,3.35
2053,Kendre Miller,4,12.5,9.16,3.34
2917,Stefon Diggs,7,13.9,10.56,3.34
998,Dillon Gabriel,2,4.76,1.45,3.31
1599,Javonte Williams,8,17.9,14.6,3.3
816,Darnell Washington,11,10.7,7.41,3.29
778,Daniel Jones,7,21.92,18.65,3.27
526,Chig Okonkwo,11,8.6,5.34,3.26
2703,Raheim Sanders,1,6.3,3.05,3.25
688,D'Andre Swift,8,15.1,11.86,3.24
2275,Mac Jones,9,16.8,13.56,3.24
1591,Jauan Jennings,12,15.1,11.87,3.23
1150,Evan Engram,5,13.3,10.07,3.23
3483,Zay Flowers,9,11.4,8.17,3.23
850,David Njoku,5,18.7,15.47,3.23
2927,Sterling Shepard,5,11.9,8.68,3.22
1662,Jaylen Warren,9,16.9,13.68,3.22
2147,Kyle Monangai,7,17.4,14.19,3.21
321,Brenton Strange,1,9.9,6.7,3.2
3392,Woody Marks,2,6.1,2.9,3.2
2325,Marcus Mariota,10,18.72,15.53,3.19
422,Caleb Williams,6,19.88,16.72,3.16
722,Dak Prescott,2,26.14,23.0,3.14
602,Chuba Hubbard,2,18.7,15.56,3.14
1948,Justin Herbert,7,32.9,29.8,3.1
3317,Tyler Warren,6,18.3,15.2,3.1
1589,Jauan Jennings,10,18.1,15.03,3.07
2964,Tanner Hudson,6,11.0,7.93,3.07
1583,Jauan Jennings,2,19.9,16.84,3.06
901,DeAndre Hopkins,5,6.6,3.57,3.03
3106,Travis Kelce,6,13.8,10.78,3.02
3215,Tucker Kraft,4,10.6,7.59,3.01
1744,Joe Flacco,7,28.98,25.98,3.0
1577,Jaret Patterson,8,3.0,0.0,3.0
1637,Jayden Higgins,10,15.2,12.2,3.0
2655,Quentin Johnston,4,23.8,20.8,3.0
3023,Tez Johnson,5,9.9,6.92,2.98
822,Davante Adams,2,25.6,22.63,2.97
2233,Luke McCaffrey,2,4.9,1.93,2.97
1192,George Holani,10,9.1,6.13,2.97
1901,JuJu Smith-Schuster,4,13.6,10.63,2.97
1451,Jake Browning,5,22.14,19.18,2.96
2394,Matthew Golden,6,13.2,10.25,2.95
1343,Isiah Pacheco,4,12.8,9.87,2.93
1433,Jahan Dotson,11,6.3,3.38,2.92
1999,Kalif Raymond,10,9.9,6.98,2.92
3200,Tua Tagovailoa,4,15.68,12.76,2.92
3436,Xavier Worthy,6,10.6,7.69,2.91
3255,Tyler Allgeier,8,9.4,6.5,2.9
30,Aaron Jones,10,15.9,13.02,2.88
403,C.J. Stroud,8,25.72,22.87,2.85
2431,Michael Penix Jr.,1,24.02,21.17,2.85
2263,Luther Burden,6,9.1,6.26,2.84
2076,Kenneth Gainwell,12,18.2,15.36,2.84
2283,Mack Hollins,7,7.3,4.47,2.83
2274,Mac Jones,8,19.02,16.19,2.83
567,Chris Rodriguez,10,7.6,4.8,2.8
1678,Jaylin Lane,10,5.1,2.31,2.79
1493,Jalen Hurts,5,19.5,16.72,2.78
640,Colston Loveland,10,9.5,6.72,2.78
1182,Geno Smith,4,12.78,10.0,2.78
701,DJ Moore,3,12.8,10.03,2.77
793,Darius Slayton,2,8.1,5.33,2.77
1957,Justin Jefferson,5,22.3,19.53,2.77
2836,Sam Darnold,6,20.0,17.24,2.76
2893,Shedeur Sanders,12,11.26,8.52,2.74
2266,Luther Burden,10,8.1,5.37,2.73
1858,Josh Downs,9,17.0,14.28,2.72
535,Chimere Dike,8,16.4,13.68,2.72
2392,Matthew Golden,3,10.1,7.41,2.69
1492,Jalen Hurts,4,19.4,16.72,2.68
3269,Tyler Conklin,1,7.2,4.52,2.68
617,Colby Parkinson,7,7.7,5.03,2.67
2299,Malik Heath,2,4.7,2.05,2.65
2832,Sam Darnold,2,17.8,15.16,2.64
3175,Trey McBride,3,15.3,12.66,2.64
2966,Tanner Hudson,9,6.2,3.56,2.64
993,Devin Singletary,11,17.7,15.06,2.64
2758,Ricky Pearsall,3,22.7,20.07,2.63
1898,JuJu Smith-Schuster,1,10.5,7.88,2.62
478,Cedric Tillman,1,16.2,13.58,2.62
2150,Kyle Monangai,10,8.8,6.19,2.61
3083,Travis Etienne,2,16.9,14.29,2.61
3330,Tyquan Thornton,11,7.1,4.5,2.6
2271,Mac Jones,5,25.18,22.59,2.59
205,Baker Mayfield,4,19.86,17.28,2.58
1360,JJ McCarthy,9,19.92,17.34,2.58
1732,Jimmy Horn,6,6.7,4.12,2.58
3009,Tetairoa McMillan,2,19.0,16.43,2.57
2730,Rashod Bateman,9,9.3,6.74,2.56
838,David Montgomery,6,8.1,5.55,2.55
2318,Malik Washington,11,7.2,4.66,2.54
782,Daniel Jones,12,16.84,14.31,2.53
1696,Jeremy McNichols,8,11.8,9.28,2.52
3484,Zay Flowers,10,12.1,9.59,2.51
766,Daniel Bellinger,5,9.2,6.69,2.51
1808,Jordan Love,2,20.88,18.38,2.5
2928,Sterling Shepard,6,7.1,4.61,2.49
3174,Trey McBride,2,13.8,11.32,2.48
834,David Montgomery,2,13.1,10.62,2.48
2291,Malachi Corley,8,3.1,0.63,2.47
790,Dareke Young,5,4.6,2.13,2.47
1203,George Pickens,3,17.8,15.35,2.45
2286,Mack Hollins,10,19.6,17.16,2.44
426,Caleb Williams,10,25.1,22.66,2.44
2650,Puka Nacua,11,15.3,12.87,2.43
543,Chris Moore,1,4.4,1.97,2.43
3397,Woody Marks,8,15.1,12.67,2.43
2791,Rome Odunze,4,16.9,14.47,2.43
2014,Kareem Hunt,11,13.2,10.78,2.42
342,Brian Robinson,10,11.5,9.08,2.42
3445,Zach Charbonnet,5,11.8,9.39,2.41
3212,Tucker Kraft,1,9.9,7.49,2.41
3425,Xavier Smith,1,4.6,2.19,2.41
1473,Jakobi Meyers,3,9.3,6.9,2.4
1417,Jacory Croskey-Merritt,3,10.1,7.71,2.39
1506,Jalen Nailor,4,9.2,6.82,2.38
103,Alvin Kamara,1,13.7,11.32,2.38
211,Baker Mayfield,11,18.82,16.45,2.37
3059,Tommy Tremble,6,7.9,5.54,2.36
665,Courtland Sutton,1,18.1,15.75,2.35
2348,Marquise Brown,7,9.4,7.05,2.35
2549,Noah Fant,8,7.1,4.75,2.35
1960,Justin Jefferson,9,16.7,14.35,2.35
3183,Trey McBride,12,16.9,14.56,2.34
2800,Romeo Doubs,2,11.8,9.5,2.3
194,Austin Hooper,8,5.8,3.5,2.3
1537,James Conner,1,14.4,12.11,2.29
3460,Zach Ertz,9,8.6,6.31,2.29
2176,Kyler Murray,1,18.32,16.03,2.29
2918,Stefon Diggs,8,10.4,8.12,2.28
2584,Ollie Gordon,11,10.5,8.22,2.28
86,Alec Pierce,2,10.8,8.53,2.27
3057,Tommy Tremble,4,15.2,12.93,2.27
1478,Jakobi Meyers,10,7.1,4.83,2.27
1103,Elijah Higgins,6,5.4,3.15,2.25
2663,Quinshon Judkins,3,16.5,14.25,2.25
3321,Tyler Warren,10,17.9,15.65,2.25
2020,Kayshon Boutte,5,7.3,5.06,2.24
996,Devontez Walker,3,4.4,2.16,2.24
35,Aaron Rodgers,3,12.66,10.42,2.24
519,Chig Okonkwo,3,11.6,9.37,2.23
2850,Sam LaPorta,10,10.3,8.07,2.23
2878,Savion Williams,11,4.3,2.07,2.23
1630,Jayden Higgins,2,3.8,1.57,2.23
1832,Jordan Whittington,2,6.2,3.98,2.22
2616,Pat Bryant,10,5.3,3.08,2.22
3167,Trey Benson,1,8.5,6.28,2.22
2351,Marquise Brown,11,8.0,5.79,2.21
776,Daniel Jones,5,16.68,14.47,2.21
3100,Travis Hunter,7,27.1,24.91,2.19
914,DeMario Douglas,8,5.7,3.51,2.19
3178,Trey McBride,6,21.2,19.01,2.19
2860,Saquon Barkley,2,17.4,15.21,2.19
1657,Jaylen Warren,2,17.4,15.21,2.19
933,Dee Eskridge,7,5.5,3.32,2.18
781,Daniel Jones,10,17.5,15.33,2.17
3250,Tyler Allgeier,2,15.0,12.84,2.16
3472,Zavier Scott,4,16.4,14.24,2.16
191,Austin Hooper,4,3.4,1.25,2.15
1202,George Pickens,2,17.8,15.66,2.14
2335,Mark Andrews,10,10.4,8.26,2.14
3104,Travis Kelce,4,9.8,7.66,2.14
522,Chig Okonkwo,6,10.6,8.46,2.14
1482,Jaleel McLaughlin,11,8.4,6.27,2.13
1893,Joshua Palmer,5,5.6,3.47,2.13
1414,Jacoby Jones,11,3.5,1.39,2.11
2458,Michael Wilson,9,9.1,7.0,2.1
2558,Noah Gray,7,3.8,1.71,2.09
3253,Tyler Allgeier,6,10.8,8.72,2.08
1329,Isaiah Hodgins,12,12.2,10.12,2.08
1656,Jaylen Warren,1,13.9,11.84,2.06
1809,Jordan Love,3,12.12,10.06,2.06
2514,Nick Chubb,5,12.1,10.05,2.05
2920,Stefon Diggs,10,15.6,13.55,2.05
1444,Jahmyr Gibbs,11,22.6,20.57,2.03
2796,Rome Odunze,10,20.6,18.59,2.01
1247,Harold Fannin,2,9.8,7.8,2.0
1908,Julian Hill,1,2.0,0.0,2.0
1229,Greg Dulcich,9,9.9,7.91,1.99
2000,Kalif Raymond,12,5.7,3.71,1.99
1953,Justin Jefferson,1,14.8,12.82,1.98
2269,Mac Jones,2,22.76,20.78,1.98
2193,Ladd McConkey,2,9.8,7.82,1.98
203,Baker Mayfield,2,19.9,17.93,1.97
358,Brock Bowers,3,9.8,7.84,1.96
997,Devontez Walker,12,4.0,2.04,1.96
3454,Zach Ertz,3,6.8,4.85,1.95
2358,Marvin Harrison Jr.,6,5.2,3.25,1.95
1964,Justin Watson,1,4.7,2.76,1.94
2679,RJ Harvey,7,7.2,5.26,1.94
1979,KaVontae Turpin,3,8.8,6.87,1.93
882,Dawson Knox,9,4.0,2.08,1.92
234,Bhayshul Tuten,3,8.1,6.18,1.92
283,Braelon Allen,1,6.9,4.99,1.91
1923,Justice Hill,3,7.5,5.59,1.91
1943,Justin Herbert,2,19.78,17.87,1.91
1337,Isaiah Williams,8,8.6,6.69,1.91
454,Cam Skattebo,7,18.4,16.49,1.91
1905,JuJu Smith-Schuster,8,4.9,3.01,1.89
2775,Robbie Anderson,7,7.6,5.72,1.88
2316,Malik Washington,9,8.1,6.22,1.88
2356,Marvin Harrison Jr.,4,18.6,16.73,1.87
2996,Terrance Ferguson,9,7.4,5.53,1.87
3033,Theo Johnson,4,10.7,8.83,1.87
2773,Rico Dowdle,12,11.4,9.54,1.86
3341,Tyrell Shavers,10,3.4,1.54,1.86
3364,Van Jefferson,7,8.1,6.24,1.86
2606,Parker Washington,9,17.0,15.16,1.84
2131,Kyle Juszczyk,1,5.2,3.37,1.83
1302,Isaac TeSlaa,2,3.9,2.07,1.83
483,Cedric Tillman,11,8.2,6.37,1.83
1664,Jaylen Warren,11,8.7,6.87,1.83
2159,Kyle Pitts,8,14.9,13.08,1.82
3180,Trey McBride,9,16.5,14.68,1.82
3327,Tyquan Thornton,5,12.0,10.18,1.82
774,Daniel Jones,3,15.82,14.0,1.82
1705,Jeremy Ruckert,8,3.4,1.58,1.82
39,Aaron Rodgers,8,16.76,14.94,1.82
1807,Jordan Love,1,15.92,14.11,1.81
224,Ben Sinnott,8,3.2,1.39,1.81
630,Cole Kmet,11,9.5,7.69,1.81
1471,Jakobi Meyers,1,17.7,15.89,1.81
710,DK Metcalf,1,12.3,10.5,1.8
3001,Terrell Jennings,9,11.4,9.6,1.8
3305,Tyler Lockett,11,6.3,4.5,1.8
189,Austin Hooper,2,6.8,5.0,1.8
1967,Juwan Johnson,2,15.9,14.11,1.79
325,Brenton Strange,5,3.2,1.41,1.79
3485,Zay Flowers,11,11.3,9.52,1.78
204,Baker Mayfield,3,17.72,15.94,1.78
2839,Sam Darnold,10,7.92,6.15,1.77
512,Chase Brown,7,15.0,13.23,1.77
1115,Elijah Moore,9,3.8,2.04,1.76
516,Chase Brown,12,16.3,14.54,1.76
1384,Jack Bech,1,3.3,1.55,1.75
2064,Kendrick Bourne,9,5.4,3.66,1.74
3038,Theo Johnson,9,11.7,9.96,1.74
1955,Justin Jefferson,3,12.5,10.77,1.73
2533,Nico Collins,4,11.9,10.17,1.73
3404,Xavier Hutchinson,1,5.5,3.77,1.73
558,Chris Olave,9,8.7,6.97,1.73
669,Courtland Sutton,5,17.9,16.17,1.73
36,Aaron Rodgers,4,12.8,11.08,1.72
2395,Matthew Golden,7,7.7,5.98,1.72
1553,James Proche,12,7.2,5.48,1.72
3306,Tyler Lockett,12,10.2,8.48,1.72
398,C.J. Stroud,2,14.98,13.27,1.71
2753,Rhamondre Stevenson,7,16.8,15.09,1.71
1628,Jayden Daniels,9,16.22,14.51,1.71
3343,Tyrod Taylor,2,8.34,6.64,1.7
1333,Isaiah Likely,9,9.0,7.31,1.69
1753,John Bates,8,3.2,1.52,1.68
135,Andrei Iosivas,4,3.7,2.03,1.67
3285,Tyler Higbee,10,6.3,4.63,1.67
1946,Justin Herbert,5,15.64,13.97,1.67
1618,Jaxson Dart,6,23.6,21.94,1.66
2350,Marquise Brown,9,9.3,7.65,1.65
3279,Tyler Higbee,2,7.7,6.06,1.64
477,Casey Washington,8,3.5,1.86,1.64
2625,Pat Freiermuth,10,6.3,4.66,1.64
466,Cam Ward,12,23.94,22.31,1.63
1650,Jaylen Waddle,6,15.82,14.19,1.63
2576,Ollie Gordon,3,9.8,8.17,1.63
3235,Ty Johnson,12,8.2,6.57,1.63
623,Cole Kmet,2,4.9,3.28,1.62
1437,Jahmyr Gibbs,3,26.9,25.28,1.62
916,DeMario Douglas,10,5.4,3.79,1.61
245,Bijan Robinson,3,16.1,14.5,1.6
2236,Luke McCaffrey,5,6.0,4.4,1.6
1300,Ian Thomas,12,7.6,6.01,1.59
1397,Jackson Hawes,1,3.9,2.32,1.58
241,Bhayshul Tuten,11,13.4,11.82,1.58
2626,Pat Freiermuth,11,2.9,1.32,1.58
2241,Luke Musgrave,2,5.2,3.63,1.57
1479,Jakobi Meyers,11,11.4,9.83,1.57
2030,Keaton Mitchell,8,4.3,2.73,1.57
1404,Jackson Hawes,12,4.6,3.04,1.56
3233,Ty Johnson,10,4.6,3.04,1.56
1530,Jamari Thrash,5,3.2,1.65,1.55
3041,Theo Johnson,12,10.7,9.15,1.55
1738,Joe Burrow,2,7.04,5.5,1.54
1176,Garrett Wilson,5,19.1,17.57,1.53
1665,Jaylen Warren,12,12.8,11.27,1.53
1105,Elijah Higgins,9,6.0,4.47,1.53
2557,Noah Gray,6,4.5,2.97,1.53
711,DK Metcalf,2,11.0,9.47,1.53
2188,Kyren Williams,9,20.4,18.87,1.53
64,Adam Trautman,9,4.5,2.98,1.52
1014,Dontayvion Wicks,1,5.0,3.48,1.52
2141,Kyle Juszczyk,11,4.6,3.08,1.52
1822,Jordan Mason,5,13.6,12.08,1.52
1207,George Pickens,7,12.2,10.68,1.52
2422,Michael Mayer,1,7.8,6.29,1.51
288,Brandin Cooks,2,4.6,3.09,1.51
2801,Romeo Doubs,3,4.5,3.0,1.5
1695,Jeremy McNichols,7,6.5,5.0,1.5
2689,Rachaad White,6,17.6,16.11,1.49
2764,Rico Dowdle,3,10.8,9.31,1.49
1390,Jack Bech,11,2.9,1.42,1.48
1000,Dillon Gabriel,5,16.1,14.63,1.47
2955,Tank Bigsby,11,3.4,1.94,1.46
2408,Matthew Stafford,11,13.2,11.74,1.46
3289,Tyler Johnson,1,5.1,3.65,1.45
965,Derrick Henry,8,19.1,17.66,1.44
323,Brenton Strange,3,12.1,10.69,1.41
1625,Jayden Daniels,5,17.14,15.73,1.41
2486,Mitchell Evans,11,4.8,3.39,1.41
2493,Mo Alie-Cox,1,3.0,1.6,1.4
632,Colson Yankoff,11,1.4,0.0,1.4
309,Breece Hall,1,19.5,18.1,1.4
2618,Pat Freiermuth,1,5.8,4.42,1.38
1904,JuJu Smith-Schuster,7,6.5,5.13,1.37
2333,Mark Andrews,8,6.4,5.03,1.37
3381,Will Dissly,1,2.8,1.43,1.37
1969,Juwan Johnson,4,5.8,4.45,1.35
1288,Hunter Luepke,11,7.1,5.75,1.35
1922,Justice Hill,2,5.5,4.15,1.35
544,Chris Moore,3,4.5,3.17,1.33
1348,J.K. Dobbins,1,14.8,13.47,1.33
173,Ashton Dulin,10,2.2,0.87,1.33
166,Arian Smith,8,3.3,1.97,1.33
3434,Xavier Worthy,4,17.1,15.78,1.32
2245,Luke Musgrave,9,6.4,5.08,1.32
598,Christopher Brooks,9,4.4,3.08,1.32
3458,Zach Ertz,7,12.7,11.38,1.32
2993,Terrance Ferguson,5,3.1,1.79,1.31
2540,Nikko Remigio,2,3.1,1.79,1.31
12,AJ Barner,3,3.3,1.99,1.31
1100,Elijah Higgins,2,6.5,5.19,1.31
87,Alec Pierce,3,10.7,9.39,1.31
1476,Jakobi Meyers,6,7.9,6.6,1.3
2788,Rome Odunze,1,15.7,14.4,1.3
2146,Kyle Monangai,6,5.4,4.11,1.29
1685,Jaylin Noel,8,11.3,10.01,1.29
817,Darnell Washington,12,4.2,2.91,1.29
443,Calvin Ridley,6,2.8,1.51,1.29
2206,Lamar Jackson,4,12.68,11.39,1.29
1674,Jaylin Lane,6,5.4,4.12,1.28
3217,Tucker Kraft,7,16.8,15.53,1.27
2938,TJ Hockenson,5,9.8,8.53,1.27
3048,Tim Patrick,7,3.2,1.93,1.27
1981,KaVontae Turpin,7,2.7,1.43,1.27
2871,Savion Williams,2,2.4,1.13,1.27
1845,Josh Allen,6,17.4,16.13,1.27
349,Brian Thomas,5,12.0,10.74,1.26
2172,Kyle Williams,12,2.8,1.54,1.26
229,Ben Skowronek,12,3.1,1.85,1.25
1349,J.K. Dobbins,2,15.5,14.25,1.25
3171,Trey Lance,5,2.86,1.62,1.24
922,DeVonta Smith,4,4.9,3.66,1.24
754,Dalton Schultz,5,11.0,9.76,1.24
1890,Joshua Palmer,2,6.7,5.47,1.23
521,Chig Okonkwo,5,8.8,7.57,1.23
2900,Skyy Moore,9,3.1,1.87,1.23
2151,Kyle Monangai,11,10.7,9.47,1.23
2924,Sterling Shepard,2,7.4,6.18,1.22
3039,Theo Johnson,10,14.5,13.28,1.22
610,Chuba Hubbard,12,8.3,7.08,1.22
1793,Jonnu Smith,7,11.8,10.58,1.22
2700,Raheem Mostert,10,2.5,1.28,1.22
3442,Zach Charbonnet,1,10.7,9.48,1.22
1881,Josh Reynolds,5,7.9,6.69,1.21
3319,Tyler Warren,8,9.3,8.1,1.2
2483,Mitchell Evans,6,3.1,1.9,1.2
2134,Kyle Juszczyk,4,6.2,5.0,1.2
768,Daniel Bellinger,8,3.1,1.9,1.2
2057,Kendrick Bourne,2,6.2,5.0,1.2
410,Cade Otton,6,10.1,8.9,1.2
889,De'Von Achane,4,17.1,15.92,1.18
680,Curtis Samuel,10,3.1,1.92,1.18
299,Brashard Smith,5,6.6,5.42,1.18
3479,Zay Flowers,4,14.4,13.22,1.18
1947,Justin Herbert,6,18.76,17.59,1.17
2983,Tee Higgins,2,14.6,13.43,1.17
1269,Hunter Henry,6,5.7,4.53,1.17
757,Dalton Schultz,9,13.7,12.54,1.16
3264,Tyler Badie,7,3.9,2.74,1.16
3135,TreVeyon Henderson,2,6.0,4.85,1.15
3337,Tyrell Shavers,3,4.4,3.25,1.15
3044,Tim Patrick,3,2.6,1.45,1.15
2911,Stefon Diggs,1,11.7,10.55,1.15
2932,Sterling Shepard,11,10.1,8.95,1.15
394,Bucky Irving,2,18.1,16.96,1.14
2301,Malik Heath,8,5.9,4.76,1.14
1234,Gunnar Heim,3,5.7,4.57,1.13
419,Caleb Williams,2,17.98,16.86,1.12
2518,Nick Chubb,10,6.2,5.08,1.12
195,Austin Hooper,9,3.0,1.89,1.11
587,Christian McCaffrey,12,27.2,26.09,1.11
1153,Evan Engram,8,7.6,6.49,1.11
244,Bijan Robinson,2,22.8,21.69,1.11
3325,Tyquan Thornton,3,18.1,17.0,1.1
2416,Michael Carter,5,18.3,17.2,1.1
270,Bo Melton,11,1.7,0.6,1.1
292,Brandin Cooks,6,3.1,2.0,1.1
480,Cedric Tillman,3,5.6,4.5,1.1
2898,Skyy Moore,7,2.5,1.41,1.09
812,Darnell Washington,6,9.2,8.11,1.09
2385,Mason Taylor,11,7.0,5.91,1.09
1972,Juwan Johnson,7,12.9,11.81,1.09
3261,Tyler Badie,2,4.2,3.12,1.08
1024,Drake London,2,6.9,5.83,1.07
2414,Michael Bandy,9,2.6,1.53,1.07
136,Andrei Iosivas,5,13.2,12.13,1.07
