,player_id,team,opp,pos,name,fpts,proj_own,smash,opto_pct,value_percent,ceil,floor,min_exposure,max_exposure,rg_value,salary,custom,rg_id,partner_id
439,348,NE,PIT,DST,Patriots,6.21,1.92,,,,12.2,1.5,0,0,0.01,2600,,18432,348
440,1112338,DAL,CHI,QB,Joe Milton III,,0.0,,,,,,0,0,-13.75,4000,,-1112338,1112338
441,1169329,MIN,CIN,QB,Max Brosmer,,0.0,,,,,,0,0,-13.75,4000,,8244817,1169329
442,359,SF,ARI,DST,49ers,6.1,1.68,,,,12.1,1.1,0,0,-1.1,3100,,18440,359
443,920482,DEN,LAC,WR,Michael Bandy,,0.0,,,,,,0,0,-8.75,3000,,2946514,920482
444,1191186,WAS,LV,RB,Jacory Croskey-Merritt,9.75,1.45,,,,18.0,3.0,0,0,-4.0,5500,,8229072,1191186
445,1164940,JAX,HOU,TE,Brenton Strange,8.12,2.73,,,,13.8,3.8,0,0,-1.63,3500,,4687831,1164940
446,823220,PIT,NE,QB,Mason Rudolph,,0.0,,,,,,0,0,-13.75,4000,,328181,823220
447,1382993,NYJ,TB,WR,Jamaal Pritchett,,0.0,,,,,,0,0,-8.75,3000,,8251070,1382993
448,1164951,HOU,JAX,QB,Graham Mertz,,0.0,,,,,,0,0,-13.75,4000,,8228595,1164951
449,1174752,NO,SEA,QB,Spencer Rattler,15.01,1.67,,,,24.3,7.3,0,0,-0.54,4900,,6228357,1174752
450,922451,CHI,DAL,RB,Brittain Brown,,0.0,,,,,,0,0,-10.75,4000,,3492104,922451
451,946541,SF,ARI,TE,Luke Farrell,2.87,0.89,,,,7.3,0.3,0,0,-6.48,3300,,2861936,946541
452,1394752,CLE,GB,TE,Harold Fannin Jr.,8.0,2.04,,,,13.6,3.9,0,0,-1.95,3600,,8222999,1394752
453,922484,CHI,DAL,RB,Travis Homer,,0.0,,,,,,0,0,-10.75,4000,,982875,922484
454,1172024,TEN,IND,WR,Treylon Burks,,0.0,,,,,,0,0,-8.75,3000,,3491779,1172024
455,1164533,CIN,MIN,TE,Erick All Jr.,,0.0,,,,,,0,0,-7.75,2500,,6227839,1164533
456,1068822,ARI,SF,TE,Travis Vokolek,0.06,0.0,,,,3.7,,0,0,-7.69,2500,,4744209,1068822
457,1066765,CHI,DAL,TE,Cole Kmet,5.42,1.19,,,,10.4,1.7,0,0,-3.33,3000,,1844217,1066765
458,1056865,NYJ,TB,TE,Stone Smartt,,0.0,,,,3.7,,0,0,-7.75,2500,,3492135,1056865
459,1066424,DAL,CHI,WR,Jalen Tolbert,4.16,1.16,,,,9.8,0.6,0,0,-4.99,3200,,3491808,1066424
460,727279,SF,ARI,WR,Demarcus Robinson,,0.0,,,,,,0,0,-8.75,3000,,35615,727279
461,1121887,LV,WAS,WR,Justin Shorter,0.06,0.0,,,,3.7,,0,0,-8.69,3000,,4687559,1121887
462,1332922,LAC,DEN,RB,Amar Johnson,,0.0,,,,,,0,0,-10.75,4000,,8250714,1332922
