"RK","Name","POS","Team","Bye","POS","ADP","FPTS","G","FPTS/G","TIER","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","TGT","REC","YDS","TD","UP","DOWN","MOVE","TARGET","WIN"
"156","Josh Palmer","WR","BUF","7","WR70","199.6","122.5","15","8.17","11","0","0","0","0","0","-","-","-","64.0","40.6","568.2","4.2","-","-","-","-","-"
"157","Calvin Austin III","WR","PIT","5","WR79","236.1","122.0","15","8.14","11","0","0","0","0","0","-","-","-","66.6","42.6","577.7","3.6","-","-","-","-","-"
"158","Tyler Lockett","WR","TEN","10","WR76","228.9","121.9","15","8.12","11","0","0","0","0","0","-","-","-","67.4","45.8","556.4","3.4","-","-","-","-","-"
"159","Michael Wilson","WR","ARZ","8","WR83","247.6","121.1","15","8.08","11","0","0","0","0","0","2.2","14.7","0.1","67.4","43.8","542.8","3.6","-","-","-","-","-"
"160","Kyle Pitts","TE","ATL","5","TE15","118.0","120.4","15","8.03","6","0","0","0","0","0","-","-","-","65.5","43.5","555.9","3.6","-","-","-","-","-"
"161","Jordan Mason","RB","MIN","6","RB36","107.7","119.9","14","8.56","11","0","0","0","0","0","125.9","624.3","4.0","21.3","17.4","131.9","0.6","-","-","-","-","-"
"162","Rashod Bateman","WR","BLT","7","WR60","164.8","119.6","15","7.97","11","0","0","0","0","0","-","-","-","57.3","36.9","623.9","3.4","-","-","-","-","-"
"163","Christian Kirk","WR","HST","6","WR58","161.2","119.0","15","7.93","11","0","0","0","0","0","-","-","-","69.2","44.4","551.7","3.3","-","-","-","-","-"
"164","Tyler Warren","TE","IND","11","TE10","93.2","117.9","15","7.86","6","0","0","0","0","0","-","-","-","70.6","47.7","534.4","2.8","-","-","-","-","-"
"165","Cade Otton","TE","TB","9","TE26","206.6","117.0","15","7.80","6","0","0","0","0","0","-","-","-","67.0","47.4","470.7","3.8","-","-","-","-","-"
"166","Dalton Schultz","TE","HST","6","TE29","229.3","116.1","15","7.74","6","0","0","0","0","0","-","-","-","68.9","49.0","494.0","3.0","-","-","-","-","-"
"167","Tank Bigsby","RB","JAX","8","RB45","148.7","114.4","15","7.63","11","0","0","0","0","0","138.7","612.7","4.5","20.1","15.3","103.1","0.3","-","-","-","-","-"
"168","Trey Benson","RB","ARZ","8","RB48","168.3","114.3","15","7.62","11","0","0","0","0","0","123.9","600.9","3.2","22.0","18.8","150.1","0.4","-","-","-","-","-"
"169","Juwan Johnson","TE","NO","11","TE33","269.9","114.0","15","7.60","6","0","0","0","0","0","-","-","-","67.8","47.7","483.2","3.0","-","-","-","-","-"
"170","Darius Slayton","WR","NYG","14","WR88","266.4","112.7","15","7.51","12","0","0","0","0","0","-","-","-","65.3","40.4","546.8","3.0","-","-","-","-","-"
"171","Quentin Johnston","WR","LAC","12","WR73","205.9","110.6","15","7.37","12","0","0","0","0","0","1.0","4.2","0.0","63.8","39.4","497.1","3.5","-","-","-","-","-"
"172","Javonte Williams","RB","DAL","10","RB35","106.5","110.5","14","7.90","11","0","0","0","0","0","91.2","341.1","2.5","40.5","33.3","211.5","1.3","-","-","-","-","-"
"173","Woody Marks","RB","HST","6","RB61","224.6","110.4","15","7.36","11","0","0","0","0","0","101.0","424.2","2.7","33.4","26.6","201.4","1.0","-","-","-","-","-"
"174","DeMario Douglas","WR","NE","14","WR72","201.2","108.1","15","7.21","12","0","0","0","0","0","1.5","8.9","0.0","62.1","45.7","471.5","2.4","-","-","-","-","-"
"175","Justice Hill","RB","BLT","7","RB62","226.5","107.7","15","7.18","12","0","0","0","0","0","52.3","253.2","1.0","43.6","36.3","319.1","1.5","-","-","-","-","-"
"176","Chig Okonkwo","TE","TEN","10","TE28","227.6","107.7","15","7.18","6","0","0","0","0","0","-","-","-","61.7","46.2","462.3","2.6","-","-","-","-","-"
"177","Pat Freiermuth","TE","PIT","5","TE24","203.3","106.9","15","7.13","6","0","0","0","0","0","-","-","-","58.5","42.8","454.7","3.2","-","-","-","-","-"
"178","Dont'e Thornton Jr.","WR","LV","8","WR63","183.9","106.9","15","7.13","12","0","0","0","0","0","-","-","-","62.3","39.8","509.4","2.7","-","-","-","-","-"
"179","Marquise Brown","WR","KC","10","WR64","185.0","106.3","13","8.17","12","0","0","0","0","0","-","-","-","65.1","40.2","477.7","3.1","-","-","-","-","-"
"180","Joe Flacco","QB","CLV","9","QB35","278.0","105.7","7","15.10","10","259","170","1791","10.0","6","7.4","19.6","0.1","-","-","-","-","-","-","-","-","-"
"181","Ty Johnson","RB","BUF","7","RB167","696.2","104.7","15","6.98","12","0","0","0","0","0","78.4","369.1","2.1","31.2","25.1","227.4","1.3","-","-","-","-","-"
"182","Miles Sanders","RB","DAL","10","RB65","233.6","104.6","14","7.47","12","0","0","0","0","0","125.7","478.8","3.9","22.8","19.0","111.9","0.6","-","-","-","-","-"
"183","Rhamondre Stevenson","RB","NE","14","RB40","119.2","103.6","14","7.40","12","0","0","0","0","0","127.7","497.0","3.9","21.6","17.3","109.4","0.5","-","-","-","-","-"
"184","Luther Burden III","WR","CHI","5","WR57","150.8","102.4","15","6.82","12","0","0","0","0","0","3.6","21.8","0.1","59.5","41.0","427.0","2.7","-","-","-","-","-"
"185","Jalen Coker","WR","CAR","14","WR82","245.6","100.5","15","6.70","12","0","0","0","0","0","-","-","-","60.5","39.0","456.5","2.7","-","-","-","-","-"
"186","Jalen Nailor","WR","MIN","6","WR226","682.3","100.0","14","7.15","12","0","0","0","0","0","0.9","3.0","0.0","56.1","37.3","446.7","3.0","-","-","-","-","-"
"187","Dylan Sampson","RB","CLV","9","RB51","175.0","99.1","15","6.61","12","0","0","0","0","0","109.4","470.9","2.7","23.6","19.3","137.7","0.6","-","-","-","-","-"
"188","Jaydon Blue","RB","DAL","10","RB42","141.2","98.5","15","6.56","12","0","0","0","0","0","119.4","526.1","3.5","15.4","13.1","92.7","0.6","-","-","-","-","-"
"189","Jack Bech","WR","LV","8","WR62","174.2","98.3","15","6.55","12","0","0","0","0","0","-","-","-","57.6","38.6","448.1","2.5","-","-","-","-","-"
"190","Alec Pierce","WR","IND","11","WR77","231.8","97.9","15","6.53","12","0","0","0","0","0","-","-","-","62.7","33.7","492.4","2.5","-","-","-","-","-"
"191","Isaiah Likely","TE","BLT","7","TE19","166.7","97.8","13","7.52","7","0","0","0","0","0","-","-","-","48.6","35.2","437.5","3.2","-","-","-","-","-"
"192","Kyle Williams","WR","NE","14","WR59","163.9","97.8","15","6.52","12","0","0","0","0","0","-","-","-","55.1","36.9","444.4","2.8","-","-","-","-","-"
"193","AJ Barner","TE","SEA","8","TE66","586.4","97.0","15","6.47","7","0","0","0","0","0","-","-","-","54.9","41.5","395.1","2.7","-","-","-","-","-"
"194","Diontae Johnson","WR","CLV","9","WR95","280.5","96.6","13","7.43","13","0","0","0","0","0","0.8","4.4","0.0","59.4","38.7","435.7","2.3","-","-","-","-","-"
"195","Xavier Legette","WR","CAR","14","WR67","190.4","95.6","15","6.37","13","0","0","0","0","0","3.3","13.6","0.1","58.8","35.6","407.5","2.9","-","-","-","-","-"
"196","Josh Reynolds","WR","NYJ","9","WR315","700.2","94.5","14","6.75","13","0","0","0","0","0","-","-","-","55.8","36.1","451.7","2.2","-","-","-","-","-"
"197","Ja'Tavion Sanders","TE","CAR","14","TE31","244.9","93.8","15","6.25","7","0","0","0","0","0","-","-","-","52.2","39.9","390.9","2.5","-","-","-","-","-"
"198","Tyler Allgeier","RB","ATL","5","RB53","177.3","93.7","15","6.25","12","0","0","0","0","0","124.0","548.4","3.1","12.9","10.9","83.7","0.3","-","-","-","-","-"
"199","Jalen McMillan","WR","TB","9","WR68","191.0","93.7","15","6.25","13","0","0","0","0","0","-","-","-","54.1","34.6","432.6","2.7","-","-","-","-","-"
"200","Brandon Aiyuk","WR","SF","14","WR49","109.5","93.2","8.5","10.96","13","0","0","0","0","0","-","-","-","50.1","33.2","449.8","2.5","-","-","-","-","-"
"201","Dontayvion Wicks","WR","GB","5","WR92","278.3","92.8","15","6.18","13","0","0","0","0","0","-","-","-","56.5","31.9","404.5","3.5","-","-","-","-","-"
"202","Tyler Higbee","TE","LA","8","TE39","283.8","91.7","14","6.55","7","0","0","0","0","0","-","-","-","51.4","39.6","349.7","2.9","-","-","-","-","-"
"203","Travis Etienne","RB","JAX","8","RB32","92.4","91.4","15","6.10","13","0","0","0","0","0","92.0","340.7","2.1","30.7","24.9","175.0","0.5","-","-","-","-","-"
"204","Jaylen Wright","RB","MIA","12","RB57","202.1","90.7","15","6.04","13","0","0","0","0","0","94.1","372.3","2.4","26.4","21.4","139.0","0.7","-","-","-","-","-"
"205","Russell Wilson","QB","NYG","14","QB32","263.0","89.5","6","14.92","11","196","125","1319","7.4","4","21.6","95.5","0.4","-","-","-","-","-","-","-","-","-"
"206","Brandin Cooks","WR","NO","11","WR103","303.3","87.4","14","6.25","13","0","0","0","0","0","-","-","-","60.4","34.8","382.5","2.4","-","-","-","-","-"
"207","DeAndre Hopkins","WR","BLT","7","WR71","200.9","87.1","15","5.80","13","0","0","0","0","0","-","-","-","48.7","32.4","381.4","2.8","-","-","-","-","-"
"208","Roschon Johnson","RB","CHI","5","RB58","206.3","87.0","13","6.69","13","0","0","0","0","0","102.9","405.2","4.8","12.0","10.0","69.8","0.3","-","-","-","-","-"
"209","MarShawn Lloyd","RB","GB","5","RB70","248.3","86.9","14","6.21","13","0","0","0","0","0","82.6","352.9","2.8","21.3","18.4","129.9","0.6","-","-","-","-","-"
"210","Mason Taylor","TE","NYJ","9","TE25","204.8","86.3","13","6.64","7","0","0","0","0","0","-","-","-","50.6","36.7","375.7","2.0","-","-","-","-","-"
"211","Dillon Gabriel","QB","CLV","9","QB116","698.5","86.2","6","14.37","11","209","133","1361","6.8","5","19.2","88.0","0.3","-","-","-","-","-","-","-","-","-"
"212","Jaylin Noel","WR","HST","6","WR80","238.2","86.1","15","5.74","13","0","0","0","0","0","-","-","-","50.1","32.0","403.5","2.3","-","-","-","-","-"
"213","Elijah Arroyo","TE","SEA","8","TE22","193.9","84.6","15","5.64","7","0","0","0","0","0","-","-","-","46.3","34.1","366.9","2.3","-","-","-","-","-"
"214","Najee Harris","RB","LAC","12","RB37","111.8","84.4","13","6.49","13","0","0","0","0","0","96.1","373.4","3.0","19.7","15.7","115.0","0.4","-","-","-","-","-"
"215","Noah Fant","TE","CIN","10","TE45","298.9","84.2","15","5.61","7","0","0","0","0","0","-","-","-","45.1","33.0","371.9","2.4","-","-","-","-","-"
"216","Rico Dowdle","RB","CAR","14","RB55","192.5","83.9","15","5.59","13","0","0","0","0","0","88.4","387.8","1.9","23.6","19.3","118.6","0.6","-","-","-","-","-"
"217","Braelon Allen","RB","NYJ","9","RB54","188.6","80.7","15","5.38","13","0","0","0","0","0","96.8","381.7","2.6","18.7","14.6","102.4","0.4","-","-","-","-","-"
"218","Will Shipley","RB","PHI","9","RB63","230.3","80.2","15","5.35","13","0","0","0","0","0","86.5","429.1","2.5","14.4","12.1","87.6","0.4","-","-","-","-","-"
"219","Devaughn Vele","WR","DEN","12","WR214","678.0","80.0","15","5.33","14","0","0","0","0","0","-","-","-","44.9","31.4","362.2","2.1","-","-","-","-","-"
"220","Nick Westbrook-Ikhine","WR","MIA","12","WR217","678.8","79.9","15","5.33","14","0","0","0","0","0","-","-","-","48.4","29.5","384.1","2.0","-","-","-","-","-"
"221","Van Jefferson","WR","TEN","10","WR270","693.7","79.6","15","5.31","14","0","0","0","0","0","-","-","-","47.6","29.1","376.3","2.2","-","-","-","-","-"
"222","Spencer Rattler","QB","NO","11","QB111","696.7","78.0","6","13.00","11","192","116","1196","5.9","4","17.1","108.5","0.3","-","-","-","-","-","-","-","-","-"
"223","Darren Waller","TE","MIA","12","TE27","214.5","78.0","13","6.00","8","0","0","0","0","0","-","-","-","45.4","32.1","336.2","2.1","-","-","-","-","-"
"224","Malik Washington","WR","MIA","12","WR218","678.9","77.4","15","5.16","14","0","0","0","0","0","4.1","23.2","0.1","46.7","32.7","315.7","1.7","-","-","-","-","-"
"225","Elijah Moore","WR","BUF","7","WR230","685.0","76.6","15","5.11","14","0","0","0","0","0","-","-","-","47.5","29.9","319.8","2.5","-","-","-","-","-"
"226","Tim Patrick","WR","DET","8","WR174","651.5","75.7","15","5.04","14","0","0","0","0","0","-","-","-","41.7","28.7","347.3","2.0","-","-","-","-","-"
"227","Amari Cooper","WR","FA","","-","1330.0","75.5","14","5.39","14","0","0","0","0","0","-","-","-","46.9","28.1","342.5","2.2","-","-","-","-","-"
"228","Zay Jones","WR","ARZ","8","WR289","696.8","75.4","14","5.39","14","0","0","0","0","0","-","-","-","46.3","29.3","352.6","1.8","-","-","-","-","-"
"229","Ray Davis","RB","BUF","7","RB50","172.4","75.2","15","5.01","14","0","0","0","0","0","99.2","428.5","2.9","9.1","7.5","63.4","0.3","-","-","-","-","-"
"230","Kenneth Gainwell","RB","PIT","5","RB181","700.9","75.2","15","5.01","14","0","0","0","0","0","53.7","226.6","1.1","30.1","24.1","172.6","0.8","-","-","-","-","-"
"231","Terrance Ferguson","TE","LA","8","TE30","242.6","74.9","15","4.99","8","0","0","0","0","0","-","-","-","43.2","33.1","298.2","2.0","-","-","-","-","-"
"232","J.K. Dobbins","RB","DEN","12","RB39","114.9","74.2","10","7.42","14","0","0","0","0","0","80.9","361.8","2.4","17.4","14.3","73.7","0.4","-","-","-","-","-"
"233","Noah Brown","WR","WAS","12","WR300","698.8","73.9","13","5.68","14","0","0","0","0","0","-","-","-","44.3","29.1","343.9","1.7","-","-","-","-","-"
"234","Michael Mayer","TE","LV","8","TE46","299.4","72.4","14","5.17","8","0","0","0","0","0","-","-","-","42.4","32.1","304.2","1.7","-","-","-","-","-"
"235","Jamari Thrash","WR","CLV","9","WR296","697.8","72.2","14","5.16","14","0","0","0","0","0","-","-","-","48.0","30.6","313.8","1.7","-","-","-","-","-"
"236","Raheem Mostert","RB","LV","8","RB71","257.1","72.2","13","5.55","14","0","0","0","0","0","74.4","289.1","1.9","20.9","17.3","129.6","0.4","-","-","-","-","-"
"237","Gunnar Helm","TE","TEN","10","TE139","690.1","71.8","15","4.79","8","0","0","0","0","0","-","-","-","40.7","30.4","301.3","1.9","-","-","-","-","-"
"238","Samaje Perine","RB","CIN","10","RB142","685.9","70.5","15","4.70","14","0","0","0","0","0","37.9","165.5","0.9","28.3","23.5","199.4","0.9","-","-","-","-","-"
"239","Tre Tucker","WR","LV","8","WR250","689.8","70.2","15","4.68","14","0","0","0","0","0","3.4","20.1","0.1","41.0","26.5","306.9","1.8","-","-","-","-","-"
"240","Kyle Monangai","RB","CHI","5","RB68","241.7","69.9","15","4.66","14","0","0","0","0","0","54.4","238.1","1.7","22.9","18.9","140.1","0.6","-","-","-","-","-"
"241","Marquez Valdes-Scantling","WR","SEA","8","WR98","289.8","69.3","15","4.62","14","0","0","0","0","0","-","-","-","41.0","21.0","362.5","2.0","-","-","-","-","-"
"242","Tre Harris","WR","LAC","12","WR55","142.7","69.2","15","4.61","14","0","0","0","0","0","-","-","-","40.0","26.0","313.2","2.0","-","-","-","-","-"
"243","Harold Fannin Jr.","TE","CLV","9","TE34","273.6","67.9","15","4.52","8","0","0","0","0","0","-","-","-","39.4","28.2","291.6","1.8","-","-","-","-","-"
"244","Jalen Tolbert","WR","DAL","10","WR102","302.5","67.0","15","4.47","14","0","0","0","0","0","-","-","-","37.1","24.2","297.7","2.2","-","-","-","-","-"
"245","Isaac Guerendo","RB","SF","14","RB46","165.7","65.1","15","4.34","14","0","0","0","0","0","73.4","353.2","2.2","10.0","8.0","76.7","0.2","-","-","-","-","-"
"246","Adonai Mitchell","WR","IND","11","WR87","264.3","64.8","15","4.32","15","0","0","0","0","0","2.9","17.0","0.1","43.4","21.8","310.8","1.7","-","-","-","-","-"
"247","Kendre Miller","RB","NO","11","RB73","268.4","64.0","12","5.34","14","0","0","0","0","0","75.9","297.0","1.8","16.5","12.8","90.6","0.3","-","-","-","-","-"
"248","Blake Corum","RB","LA","8","RB59","210.7","64.0","15","4.26","14","0","0","0","0","0","81.9","319.8","2.5","10.8","9.9","59.6","0.3","-","-","-","-","-"
"249","Mack Hollins","WR","NE","14","WR229","683.8","63.8","15","4.26","15","0","0","0","0","0","-","-","-","36.6","22.9","294.3","1.9","-","-","-","-","-"
"250","Noah Gray","TE","KC","10","TE36","276.0","63.4","15","4.23","8","0","0","0","0","0","0.3","0.1","0.1","32.0","25.3","255.8","2.0","-","-","-","-","-"
"251","Nick Chubb","RB","HST","6","RB44","146.4","63.2","12","5.26","14","0","0","0","0","0","81.7","309.1","2.6","12.4","9.3","65.2","0.2","-","-","-","-","-"
"252","Elic Ayomanor","WR","TEN","10","WR78","233.9","62.9","10","6.29","15","0","0","0","0","0","-","-","-","36.8","23.9","287.8","1.7","-","-","-","-","-"
"253","Savion Williams","WR","GB","5","WR284","696.0","62.8","14","4.49","15","0","0","0","0","0","22.0","133.8","0.4","26.7","17.9","200.0","1.6","-","-","-","-","-"
"254","Luke McCaffrey","WR","WAS","12","WR105","308.9","62.6","15","4.17","15","0","0","0","0","0","-","-","-","37.0","25.9","266.8","1.7","-","-","-","-","-"
"255","Will Dissly","TE","LAC","12","TE127","687.3","60.7","15","4.05","9","0","0","0","0","0","-","-","-","33.2","26.6","250.3","1.5","-","-","-","-","-"
"256","Parker Washington","WR","JAX","8","WR256","690.7","60.1","15","4.01","15","0","0","0","0","0","-","-","-","36.3","23.7","280.5","1.4","-","-","-","-","-"
"257","Austin Hooper","TE","NE","14","TE146","692.4","59.6","15","3.98","9","0","0","0","0","0","-","-","-","34.4","24.9","259.5","1.5","-","-","-","-","-"
"258","Tory Horton","WR","SEA","8","WR85","260.8","59.3","15","3.95","15","0","0","0","0","0","-","-","-","34.4","21.4","279.5","1.7","-","-","-","-","-"
"259","Shedeur Sanders","QB","CLV","9","QB26","219.2","58.9","4","14.73","12","134","87","881","4.5","3","16.0","81.5","0.3","-","-","-","-","-","-","-","-","-"
"260","Olamide Zaccheaus","WR","CHI","5","WR188","665.1","58.9","15","3.93","15","0","0","0","0","0","-","-","-","33.6","23.4","264.2","1.5","-","-","-","-","-"
"261","Kareem Hunt","RB","KC","10","RB56","197.1","58.7","14","4.20","15","0","0","0","0","0","63.0","231.1","1.9","15.2","13.6","81.4","0.5","-","-","-","-","-"
"262","Trevor Etienne","RB","CAR","14","RB79","286.8","58.7","15","3.91","15","0","0","0","0","0","46.4","207.3","1.0","20.6","16.9","120.0","0.6","-","-","-","-","-"
"263","Tahj Brooks","RB","CIN","10","-","1510.0","58.1","15","3.87","15","0","0","0","0","0","76.7","336.5","2.2","8.0","5.9","46.5","0.2","-","-","-","-","-"
"264","Ollie Gordon II","RB","MIA","12","RB76","277.2","57.9","15","3.86","15","0","0","0","0","0","70.7","295.7","2.3","10.1","8.2","53.7","0.2","-","-","-","-","-"
"265","Foster Moreau","TE","NO","11","TE116","681.2","57.9","15","3.86","9","0","0","0","0","0","-","-","-","34.0","23.8","242.5","1.7","-","-","-","-","-"
"266","Roman Wilson","WR","PIT","5","WR90","271.9","56.8","14","4.06","15","0","0","0","0","0","-","-","-","35.0","21.0","252.5","1.8","-","-","-","-","-"
"267","Jacory Croskey-Merritt","RB","WAS","12","RB60","220.2","55.2","14","3.95","15","0","0","0","0","0","38.0","169.8","1.1","19.3","16.0","127.6","0.6","-","-","-","-","-"
"268","Cole Kmet","TE","CHI","5","TE35","275.9","54.8","15","3.65","9","0","0","0","0","0","-","-","-","28.7","22.2","231.0","1.6","-","-","-","-","-"
"269","Isaiah Davis","RB","NYJ","9","RB177","700.0","54.5","14","3.90","15","0","0","0","0","0","51.9","233.8","1.2","16.3","12.5","96.4","0.4","-","-","-","-","-"
"270","Jahan Dotson","WR","PHI","9","WR302","698.9","54.1","15","3.61","15","0","0","0","0","0","0.3","1.3","0.0","32.2","21.1","243.8","1.4","-","-","-","-","-"
"271","Chimere Dike","WR","TEN","10","WR314","700.1","54.1","15","3.60","15","0","0","0","0","0","-","-","-","31.6","19.7","256.7","1.5","-","-","-","-","-"
"272","Jalen Royals","WR","KC","10","WR81","239.1","54.0","15","3.60","15","0","0","0","0","0","-","-","-","31.1","20.2","251.9","1.4","-","-","-","-","-"
"273","Tyler Conklin","TE","LAC","12","TE40","289.2","53.9","15","3.59","9","0","0","0","0","0","-","-","-","30.8","23.6","217.4","1.4","-","-","-","-","-"
"274","Dawson Knox","TE","BUF","7","TE130","688.0","53.7","15","3.58","9","0","0","0","0","0","-","-","-","29.3","20.7","229.5","1.7","-","-","-","-","-"
"275","Pat Bryant","WR","DEN","12","-","1570.0","53.5","15","3.57","15","0","0","0","0","0","-","-","-","31.8","20.1","248.6","1.5","-","-","-","-","-"
"276","Emanuel Wilson","RB","GB","5","RB169","697.4","53.0","14","3.79","15","0","0","0","0","0","54.3","244.0","1.5","13.1","11.1","65.6","0.4","-","-","-","-","-"
"277","Isaac TeSlaa","WR","DET","8","WR84","259.7","51.5","15","3.43","15","0","0","0","0","0","-","-","-","30.5","20.5","225.9","1.4","-","-","-","-","-"
"278","Oronde Gadsden II","TE","LAC","12","TE38","279.8","50.7","14","3.62","9","0","0","0","0","0","-","-","-","29.0","21.1","214.0","1.4","-","-","-","-","-"
"279","KhaDarel Hodge","WR","ATL","5","WR239","687.7","49.7","15","3.31","16","0","0","0","0","0","-","-","-","26.9","17.3","249.1","1.3","-","-","-","-","-"
"280","Brashard Smith","RB","KC","10","RB67","240.8","48.8","14","3.49","15","0","0","0","0","0","31.2","130.0","0.7","20.1","16.4","116.9","0.6","-","-","-","-","-"
"281","Jordan James","RB","SF","14","RB74","269.4","47.5","15","3.17","15","0","0","0","0","0","56.4","263.5","1.8","7.2","5.8","41.9","0.2","-","-","-","-","-"
"282","Greg Dortch","WR","ARZ","8","WR299","698.5","47.4","14","3.39","16","0","0","0","0","0","3.4","22.2","0.1","27.0","19.5","190.5","1.0","-","-","-","-","-"
"283","DJ Giddens","RB","IND","11","RB66","237.3","47.1","15","3.14","15","0","0","0","0","0","48.7","217.8","1.3","12.5","9.3","72.6","0.2","-","-","-","-","-"
"284","Arian Smith","WR","NYJ","9","WR297","698.2","46.7","15","3.12","16","0","0","0","0","0","-","-","-","28.2","18.3","219.9","1.1","-","-","-","-","-"
"285","Jeremy Ruckert","TE","NYJ","9","TE159","697.9","46.4","15","3.09","9","0","0","0","0","0","-","-","-","28.2","20.9","191.4","1.1","-","-","-","-","-"
"286","Kayshon Boutte","WR","NE","14","WR100","295.2","46.4","14","3.31","16","0","0","0","0","0","-","-","-","26.5","16.5","216.6","1.4","-","-","-","-","-"
"287","Antonio Gibson","RB","NE","14","RB83","308.6","45.5","15","3.04","15","0","0","0","0","0","49.9","211.1","0.9","12.0","9.9","82.0","0.2","-","-","-","-","-"
"288","Elijah Higgins","TE","ARZ","8","TE78","628.1","45.3","15","3.02","10","0","0","0","0","0","-","-","-","25.0","20.1","188.7","1.1","-","-","-","-","-"
"289","Josh Oliver","TE","MIN","6","TE117","681.5","45.1","15","3.01","10","0","0","0","0","0","-","-","-","25.4","19.0","189.4","1.2","-","-","-","-","-"
"290","Taysom Hill","TE","NO","11","TE42","293.6","45.1","7","6.44","10","6","4","41","0.2","0","23.8","140.7","1.0","14.3","10.3","93.1","0.5","-","-","-","-","-"
"291","Troy Franklin","WR","DEN","12","WR93","279.0","45.1","15","3.01","16","0","0","0","0","0","0.7","2.8","0.0","26.5","16.9","197.5","1.4","-","-","-","-","-"
"292","Kalif Raymond","WR","DET","8","WR260","691.8","44.8","15","2.98","16","0","0","0","0","0","2.5","16.4","0.0","24.1","17.8","209.8","0.7","-","-","-","-","-"
"293","Jaleel McLaughlin","RB","DEN","12","RB77","281.6","44.7","15","2.98","15","0","0","0","0","0","49.3","214.6","0.9","12.2","10.4","55.2","0.3","-","-","-","-","-"
"294","Demarcus Robinson","WR","SF","14","WR257","691.7","43.9","13","3.38","16","0","0","0","0","0","-","-","-","25.4","15.3","217.8","1.2","-","-","-","-","-"
"295","Jimmy Garoppolo","QB","LA","8","QB78","682.1","42.7","3","14.25","13","96","66","686","4.1","2","5.1","10.1","0.1","-","-","-","-","-","-","-","-","-"
"296","Emari Demercado","RB","ARZ","8","RB173","699.1","42.6","14","3.04","16","0","0","0","0","0","24.3","132.8","0.4","18.8","14.7","100.2","0.4","-","-","-","-","-"
"297","Allen Lazard","WR","NYJ","9","WR275","695.1","42.4","10","4.24","16","0","0","0","0","0","-","-","-","26.1","16.3","204.4","1.0","-","-","-","-","-"
"298","Keaton Mitchell","RB","BLT","7","RB72","260.3","42.3","10","4.23","16","0","0","0","0","0","55.0","265.2","1.2","5.5","4.6","36.6","0.1","-","-","-","-","-"
"299","Curtis Samuel","WR","BUF","7","WR290","696.8","41.4","15","2.76","16","0","0","0","0","0","3.5","14.2","0.1","22.9","16.5","158.8","1.1","-","-","-","-","-"
"300","Lucky Jackson","WR","MIN","6","WR172","649.8","41.1","15","2.74","16","0","0","0","0","0","-","-","-","24.5","15.2","191.1","1.1","-","-","-","-","-"
"301","Sean Tucker","RB","TB","9","RB115","656.9","40.8","14","2.92","16","0","0","0","0","0","46.7","220.0","1.1","7.8","6.4","52.1","0.2","-","-","-","-","-"
"302","Jaylin Lane","WR","WAS","12","WR190","666.3","39.4","15","2.62","16","0","0","0","0","0","-","-","-","22.9","14.2","185.4","1.1","-","-","-","-","-"
"303","Devin Singletary","RB","NYG","14","RB81","303.2","38.7","15","2.58","16","0","0","0","0","0","48.2","185.9","1.1","9.6","8.0","47.9","0.2","-","-","-","-","-"
"304","Jermaine Burton","WR","CIN","10","WR101","299.5","38.5","14","2.75","16","0","0","0","0","0","-","-","-","22.8","12.2","178.3","1.4","-","-","-","-","-"
"305","Luke Schoonmaker","TE","DAL","10","TE152","694.1","38.1","15","2.54","10","0","0","0","0","0","-","-","-","21.7","16.0","151.1","1.2","-","-","-","-","-"
"306","Julian Hill","TE","MIA","12","TE74","619.1","37.7","15","2.51","10","0","0","0","0","0","-","-","-","22.8","16.8","148.7","1.0","-","-","-","-","-"
"307","Kyle Juszczyk","RB","SF","14","-","1730.0","37.6","15","2.51","16","0","0","0","0","0","5.6","25.4","0.6","19.2","14.7","131.7","0.6","-","-","-","-","-"
"308","Cade Stover","TE","HST","6","TE165","700.0","36.8","15","2.46","10","0","0","0","0","0","-","-","-","22.8","16.9","147.4","0.9","-","-","-","-","-"
"309","Sincere McCormick","RB","LV","8","RB146","688.5","36.8","14","2.63","16","0","0","0","0","0","40.0","177.7","0.9","9.3","8.0","49.6","0.2","-","-","-","-","-"
"310","Luke Musgrave","TE","GB","5","TE145","692.1","36.7","11","3.34","10","0","0","0","0","0","-","-","-","19.6","14.8","153.1","1.1","-","-","-","-","-"
"311","Jonathan Mingo","WR","DAL","10","WR273","694.1","35.8","15","2.39","16","0","0","0","0","0","-","-","-","22.2","13.9","153.1","1.1","-","-","-","-","-"
"312","Devin Neal","RB","NO","11","RB69","242.0","35.3","14","2.52","16","0","0","0","0","0","43.3","176.1","1.0","8.3","6.5","48.6","0.1","-","-","-","-","-"
"313","Marcus Mariota","QB","WAS","12","QB118","698.8","34.9","2","17.47","13","65","43","476","2.8","1","9.9","54.3","0.2","-","-","-","-","-","-","-","-","-"
"314","JuJu Smith-Schuster","WR","KC","10","WR303","699.0","34.3","13","2.64","17","0","0","0","0","0","-","-","-","20.2","13.9","151.5","0.9","-","-","-","-","-"
"315","Hunter Renfrow","WR","CAR","14","WR241","688.4","33.7","15","2.25","17","0","0","0","0","0","-","-","-","21.1","13.4","156.2","0.8","-","-","-","-","-"
"316","Jake Browning","QB","CIN","10","QB93","690.2","33.5","2","16.76","13","69","44","495","2.7","2","6.3","33.7","0.4","-","-","-","-","-","-","-","-","-"
