"RK","Name","POS","Team","Bye","POS","ADP","FPTS","G","FPTS/G","TIER","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","TGT","REC","YDS","TD","UP","DOWN","MOVE","TARGET","WIN"
"20","Jordan Love","QB","GB","5","QB16","125.7","274.3","15","18.29","3","489","318","3735","26.4","12","48.4","229.4","1.8","-","-","-","-","-","-","-","-","-"
"21","Baker Mayfield","QB","TB","9","QB7","67.8","274.2","15","18.28","3","502","338","3809","26.4","13","53.2","269.1","1.0","-","-","-","-","-","-","-","-","-"
"22","Kyler Murray","QB","ARZ","8","QB10","95.2","273.0","15","18.20","3","505","338","3590","21.6","10","63.5","443.3","2.1","-","-","-","-","-","-","-","-","-"
"23","Derrick Henry","RB","BLT","7","RB4","8.8","272.8","15","18.19","3","0","0","0","0","0","290.7","1590.5","13.2","20.0","16.6","155.9","0.7","-","-","-","-","-"
"24","Drake Maye","QB","NE","14","QB18","143.9","271.1","15","18.08","3","457","309","3351","20.3","11","94.8","584.7","2.3","-","-","-","-","-","-","-","","-"
"25","J.J. McCarthy","QB","MIN","6","QB19","149.6","270.5","15","18.03","3","536","355","3929","24.5","13","59.8","237.0","1.3","-","-","-","-","-","-","-","-",""
"26","Bo Nix","QB","DEN","12","QB8","73.7","267.4","15","17.82","4","489","323","3342","23.0","10","74.8","387.2","2.4","-","-","-","-","-","-","-","-","-"
"27","Trevor Lawrence","QB","JAX","8","QB21","173.4","266.4","15","17.76","4","519","345","3853","22.9","14","53.8","259.1","2.0","-","-","-","-","-","-","-","-","-"
"28","Caleb Williams","QB","CHI","5","QB15","123.4","264.9","15","17.66","4","500","325","3517","21.8","9","66.6","395.9","1.6","-","-","-","-","-","-","-","-","-"
"29","Brian Thomas Jr.","WR","JAX","8","WR8","14.8","263.2","15","17.55","3","0","0","0","0","0","5.9","42.1","0.0","134.7","89.8","1224.4","7.8","-","-","-","-","-"
"30","C.J. Stroud","QB","HST","6","QB14","121.4","260.5","15","17.37","4","499","321","3786","21.2","10","53.3","276.6","1.7","-","-","-","-","-","-","-","-","-"
"31","Nico Collins","WR","HST","6","WR7","12.5","259.0","15","17.27","3","0","0","0","0","0","-","-","-","123.0","84.1","1295.4","7.6","-","-","-","-","-"
"32","Justin Herbert","QB","LAC","12","QB11","103.6","258.7","15","17.25","4","486","319","3654","21.5","8","60.3","264.2","1.8","-","-","-","-","-","-","-","-","-"
"33","Jared Goff","QB","DET","8","QB9","89.4","257.5","15","17.17","4","512","352","4036","24.5","10","30.1","65.8","0.7","-","-","-","-","-","-","-","-","-"
"34","Bucky Irving","RB","TB","9","RB8","19.0","256.2","15","17.08","4","0","0","0","0","0","238.4","1181.1","8.1","51.8","44.3","363.1","1.7","-","-","-","-","-"
"35","Drake London","WR","ATL","5","WR9","17.6","255.9","15","17.06","3","0","0","0","0","0","1.9","3.1","0.1","139.5","92.2","1157.9","8.0","-","-","-","-","-"
"36","Tua Tagovailoa","QB","MIA","12","QB25","197.2","251.9","15","16.79","5","537","375","3929","24.2","11","29.8","83.4","0.7","-","-","-","-","-","-","-","-","-"
"37","Justin Fields","QB","NYJ","9","QB17","143.0","250.9","14","17.92","5","405","261","2751","13.9","10","117.1","698.7","5.1","-","-","-","-","-","-","-","-","-"
"38","Amon-Ra St. Brown","WR","DET","8","WR4","7.5","250.0","15","16.67","3","0","0","0","0","0","2.5","15.1","0.1","126.0","91.5","1124.6","7.4","-","-","-","-","-"
"39","Chase Brown","RB","CIN","10","RB12","29.8","248.9","15","16.59","4","0","0","0","0","0","230.2","996.2","8.3","58.5","49.9","354.1","2.6","-","-","-","-",""
"40","Tyreek Hill","WR","MIA","12","WR12","26.2","248.1","15","16.54","4","0","0","0","0","0","4.8","30.2","0.1","129.5","89.7","1116.2","7.3","-","-","-","-",""
"41","A.J. Brown","WR","PHI","9","WR10","18.0","245.4","15","16.36","4","0","0","0","0","0","-","-","-","121.2","80.1","1217.6","7.3","-","-","-","-","-"
"42","Ladd McConkey","WR","LAC","12","WR11","23.4","244.3","15","16.29","4","0","0","0","0","0","-","-","-","116.5","83.4","1235.1","6.4","-","-","-","-",""
"43","Jonathan Taylor","RB","IND","11","RB10","24.7","244.1","14","17.43","4","0","0","0","0","0","275.9","1291.6","10.6","36.7","28.1","201.1","0.8","-","-","-","-","-"
"44","Aaron Rodgers","QB","PIT","5","QB27","221.2","243.9","15","16.26","5","505","328","3625","25.0","10","21.2","91.6","0.3","-","-","-","-","-","-","-","-","-"
"45","Tee Higgins","WR","CIN","10","WR14","30.0","242.0","14","17.28","4","0","0","0","0","0","-","-","-","123.7","82.0","1078.7","8.8","-","-","-","-","-"
"46","Trey McBride","TE","ARZ","8","TE2","25.3","241.2","15","16.08","1","0","0","0","0","0","-","-","-","133.1","103.0","1050.6","5.6","-","-","-","-","-"
"47","Josh Jacobs","RB","GB","5","RB9","20.3","241.2","15","16.08","5","0","0","0","0","0","245.9","1072.0","10.6","40.8","34.5","311.3","1.0","-","-","-","-","-"
"48","Michael Penix Jr.","QB","ATL","5","QB22","182.8","240.6","15","16.04","5","483","311","3659","20.8","13","37.7","129.7","2.3","-","-","-","-","-","-","-","-","-"
"49","Bryce Young","QB","CAR","14","QB23","186.8","240.6","15","16.04","5","494","314","3218","20.7","10","55.9","334.8","1.7","-","-","-","-","-","-","-","-","-"
"50","Geno Smith","QB","LV","8","QB30","224.0","240.5","15","16.03","5","499","343","3641","20.1","11","46.5","208.4","1.3","-","-","-","-","-","-","-","-","-"
"51","Sam Darnold","QB","SEA","8","QB28","222.4","235.7","15","15.71","6","492","315","3554","20.3","11","51.4","215.2","1.1","-","-","-","-","-","-","-","-","-"
"52","Cameron Ward","QB","TEN","10","QB20","152.7","235.3","15","15.69","6","483","313","3460","20.1","11","49.0","241.5","1.1","-","-","-","-","-","-","-","-","-"
