,Player,Pos,Team,Week,Passing,Rushing,Receiving,xFP
88,De'Von Achane,RB,MIA,1,0.0,7.07,6.86,13.93
89,DeMario Douglas,WR,NWE,1,0.0,0.0,10.96,10.96
90,DeVonta Smith,WR,PHI,1,0.0,0.0,10.05,10.05
91,DeeJay Dallas,RB,MIN,1,0.0,0.0,1.41,1.41
92,Deebo Samuel,WR,SFO,1,0.0,0.21,10.89,11.100000000000001
93,Demarcus Robinson,WR,SFO,1,0.0,0.0,5.81,5.81
94,Denzel Boston,WR,CLE,1,0.0,0.0,8.06,8.06
95,Derius Davis,WR,LAC,1,0.0,0.0,2.36,2.36
96,Derrick Henry,RB,BAL,1,0.0,17.14,1.61,18.75
97,Deshaun Watson,QB,CLE,1,9.86,4.17,0.0,14.03
98,Devaughn Vele,WR,NOR,1,0.0,0.0,13.79,13.79
99,Devin Singletary,RB,NYG,1,0.0,4.14,6.1,10.239999999999998
100,Dohnte Meyers,WR,CIN,1,0.0,0.57,1.34,1.9100000000000001
101,Dontayvion Wicks,WR,PHI,1,0.0,0.0,7.29,7.29
102,Drake London,WR,ATL,1,0.0,0.82,6.23,7.050000000000001
103,Drake Maye,QB,NWE,1,12.82,3.65,0.0,16.47
104,Drew Lock,QB,SEA,1,9.13,1.12,0.0,10.25
105,Drew Sample,TE,CIN,1,0.0,0.0,4.65,4.65
106,Durham Smythe,TE,BAL,1,0.0,0.0,1.74,1.74
107,Dyami Brown,WR,WAS,1,0.0,0.0,3.94,3.94
108,Eli Raridon,TE,NWE,1,0.0,0.0,1.8,1.8
109,Elic Ayomanor,WR,TEN,1,0.0,0.0,5.4,5.4
110,Emanuel Wilson,RB,SEA,1,0.0,1.22,0.0,1.22
111,Emari Demercado,RB,DAL,1,0.0,1.78,0.0,1.78
112,Emeka Egbuka,WR,TAM,1,0.0,0.0,10.51,10.51
113,Emmett Johnson,RB,KAN,1,0.0,5.72,2.87,8.59
114,Evan Engram,TE,DEN,1,0.0,0.0,7.54,7.54
115,Foster Moreau,TE,HOU,1,0.0,0.0,2.86,2.86
116,Frank Gore Jr.,RB,BUF,1,0.0,0.23,0.0,0.23
117,Garrett Wilson,WR,NYJ,1,0.0,0.0,12.25,12.25
118,Geno Smith,QB,NYJ,1,10.37,4.19,0.0,14.559999999999999
119,George Holani,RB,SEA,1,0.0,4.03,1.39,5.42
120,George Kittle,TE,SFO,1,0.0,0.0,8.28,8.28
121,George Pickens,WR,DAL,1,0.0,0.0,10.17,10.17
122,Greg Dulcich,TE,MIA,1,0.0,0.0,3.01,3.01
123,Gunnar Helm,TE,TEN,1,0.0,0.0,7.52,7.52
124,Harold Fannin,TE,CLE,1,0.0,0.0,4.2,4.2
125,Hunter Henry,TE,NWE,1,0.0,0.0,4.4,4.4
126,Hunter Luepke,RB,DAL,1,0.0,0.6,0.0,0.6
127,Isaac TeSlaa,WR,DET,1,0.0,0.0,1.5,1.5
128,Isaac TeSlaa,WR,DET,2,0.0,0.0,9.03,9.03
129,Isaiah Likely,TE,NYG,1,0.0,0.0,13.44,13.44
130,Isaiah Williams,WR,NYJ,1,0.0,0.0,1.47,1.47
131,JK Dobbins,RB,DEN,1,0.0,3.72,0.0,3.72
132,Ja'Marr Chase,WR,CIN,1,0.0,0.0,6.47,6.47
133,Jack Bech,WR,LVR,1,0.0,0.0,6.93,6.93
134,Jacoby Brissett,QB,ARI,1,16.53,4.49,0.0,21.020000000000003
135,Jacory Croskey-Merritt,RB,WAS,1,0.0,10.45,1.13,11.579999999999998
136,Jadarian Price,RB,SEA,1,0.0,4.9,2.95,7.8500000000000005
137,Jahan Dotson,WR,ATL,1,0.0,0.0,5.66,5.66
138,Jahdae Walker,WR,CHI,1,0.0,0.0,1.73,1.73
139,Jahmyr Gibbs,RB,DET,1,0.0,20.62,7.27,27.89
