,Player,Team,Opp,Pos,Pass Att,Pass Comp,Pass Yards,Pass TD,INT,Rush Att,Rush Yds,Rush TD,Tgt,Rec,Rec Yds,Rec TD,Rush Rec TD,Last Update,System
154,Mason Taylor,NYJ,ATL,TE,0.0,0,0,0.0,0.0,-,-,0.0,4.7,3.5,28.2,0.19,0.19,2025-11-27 06:59:21 EST,FPts
155,Isaiah Likely,BAL,CIN,TE,0.0,0,0,0.0,0.0,-,-,0.0,3.5,2.4,29.6,0.34,0.34,2025-11-27 06:59:21 EST,FPts
156,Tyler Allgeier,ATL,NYJ,RB,0.0,0,0,0.0,0.0,9.3,34.8,0.39,1.0,0.8,5.5,0.03,0.42000000000000004,2025-11-27 06:59:21 EST,FPts
157,Evan Engram,DEN,WAS,TE,0.0,0,0,0.0,0.0,0.0,0.2,0.0,4.3,3.2,26.8,0.23,0.23,2025-11-27 06:59:21 EST,FPts
158,Calvin Austin,PIT,BUF,WR,0.0,0,0,0.0,0.0,-,-,0.0,4.4,2.8,31.1,0.21,0.21,2025-11-27 06:59:21 EST,FPts
159,Gunnar Helm,TEN,JAX,TE,0.0,0,0,0.0,0.0,-,-,0.0,4.0,3.0,29.0,0.21,0.21,2025-11-27 06:59:21 EST,FPts
160,Chris Moore,WAS,DEN,WR,0.0,0,0,0.0,0.0,0.0,0.1,0.0,4.2,2.4,37.2,0.17,0.17,2025-11-27 06:59:21 EST,FPts
161,Dawson Knox,BUF,PIT,TE,0.0,0,0,0.0,0.0,-,-,0.0,3.8,2.7,30.8,0.22,0.22,2025-11-27 06:59:21 EST,FPts
162,Cooper Kupp,SEA,MIN,WR,0.0,0,0,0.0,0.0,-,-,0.0,3.7,2.6,34.5,0.18,0.18,2025-11-27 06:59:21 EST,FPts
163,Rhamondre Stevenson,NWE,NYG,RB,0.0,0,0,0.0,0.0,7.4,28.6,0.33,1.5,1.2,7.9,0.04,0.37,2025-11-27 06:59:21 EST,FPts
164,Van Jefferson,TEN,JAX,WR,0.0,0,0,0.0,0.0,-,-,0.0,5.2,2.6,30.7,0.23,0.23,2025-11-27 06:59:21 EST,FPts
165,Blake Corum,LAR,CAR,RB,0.0,0,0,0.0,0.0,9.3,40.3,0.29,0.8,0.7,3.8,0.01,0.3,2025-11-27 06:59:21 EST,FPts
166,Xavier Legette,CAR,LAR,WR,0.0,0,0,0.0,0.0,0.0,0.1,0.0,4.6,2.7,27.6,0.23,0.23,2025-11-27 06:59:21 EST,FPts
167,Zach Charbonnet,SEA,MIN,RB,0.0,0,0,0.0,0.0,8.8,31.9,0.39,0.8,0.6,4.5,0.03,0.42000000000000004,2025-11-27 06:59:21 EST,FPts
168,Greg Dulcich,MIA,NOR,TE,0.0,0,0,0.0,0.0,-,-,0.0,3.9,2.6,28.6,0.22,0.22,2025-11-27 06:59:21 EST,FPts
169,Rachaad White,TB,ARZ,RB,0.0,0,0,0.0,0.0,5.7,24.1,0.24,1.8,1.6,9.6,0.05,0.29,2025-11-27 06:59:21 EST,FPts
170,Isaiah Hodgins,NYG,NWE,WR,0.0,0,0,0.0,0.0,-,-,0.0,3.8,2.5,31.8,0.17,0.17,2025-11-27 06:59:21 EST,FPts
171,Rashod Bateman,BAL,CIN,WR,0.0,0,0,0.0,0.0,-,-,0.0,3.3,2.0,32.6,0.23,0.23,2025-11-27 06:59:21 EST,FPts
172,Pat Bryant,DEN,WAS,WR,0.0,0,0,0.0,0.0,-,-,0.0,3.4,2.2,31.0,0.2,0.2,2025-11-27 06:59:21 EST,FPts
173,Chris Godwin Jr.,TB,ARZ,WR,0.0,0,0,0.0,0.0,-,-,0.0,4.3,2.8,25.8,0.19,0.19,2025-11-27 06:59:21 EST,FPts
174,Mitchell Tinsley,CIN,BAL,WR,0.0,0,0,0.0,0.0,-,-,0.0,3.9,2.2,28.7,0.22,0.22,2025-11-27 06:59:21 EST,FPts
175,Gabe Davis,BUF,PIT,WR,0.0,0,0,0.0,0.0,-,-,0.0,3.3,2.1,30.7,0.2,0.2,2025-11-27 06:59:21 EST,FPts
176,Chig Okonkwo,TEN,JAX,TE,0.0,0,0,0.0,0.0,-,-,0.0,3.5,2.5,29.5,0.12,0.12,2025-11-27 06:59:21 EST,FPts
177,Bhayshul Tuten,JAX,TEN,RB,0.0,0,0,0.0,0.0,7.9,34.1,0.3,0.7,0.5,3.2,0.03,0.32999999999999996,2025-11-27 06:59:21 EST,FPts
178,Emanuel Wilson,GB,DET,RB,0.0,0,0,0.0,0.0,6.5,25.8,0.15,1.8,1.5,9.9,0.03,0.18,2025-11-27 06:59:21 EST,FPts
179,Keaton Mitchell,BAL,CIN,RB,0.0,0,0,0.0,0.0,3.2,19.0,0.07,2.2,1.9,17.3,0.04,0.11000000000000001,2025-11-27 06:59:21 EST,FPts
180,Dontayvion Wicks,GB,DET,WR,0.0,0,0,0.0,0.0,-,-,0.0,3.9,2.5,28.0,0.14,0.14,2025-11-27 06:59:21 EST,FPts
181,Christian Kirk,HOU,IND,WR,0.0,0,0,0.0,0.0,-,-,0.0,3.7,2.5,24.9,0.16,0.16,2025-11-27 06:59:21 EST,FPts
182,Devaughn Vele,NOR,MIA,WR,0.0,0,0,0.0,0.0,-,-,0.0,4.2,2.4,24.5,0.15,0.15,2025-11-27 06:59:21 EST,FPts
183,David Sills,ATL,NYJ,WR,0.0,0,0,0.0,0.0,-,-,0.0,3.8,2.4,22.2,0.17,0.17,2025-11-27 06:59:21 EST,FPts
184,Marquise Brown,KAN,DAL,WR,0.0,0,0,0.0,0.0,-,-,0.0,2.9,2.0,23.8,0.2,0.2,2025-11-27 06:59:21 EST,FPts
185,Pat Freiermuth,PIT,BUF,TE,0.0,0,0,0.0,0.0,-,-,0.0,2.7,2.1,22.2,0.2,0.2,2025-11-27 06:59:21 EST,FPts
186,Jordan Mason,MIN,SEA,RB,0.0,0,0,0.0,0.0,7.7,31.9,0.15,0.9,0.7,4.1,0.01,0.16,2025-11-27 06:59:21 EST,FPts
187,Brian Robinson,SF,CLE,RB,0.0,0,0,0.0,0.0,7.2,32.2,0.15,0.8,0.6,4.2,0.01,0.16,2025-11-27 06:59:21 EST,FPts
188,Ja'Tavion Sanders,CAR,LAR,TE,0.0,0,0,0.0,0.0,-,-,0.0,3.1,2.5,18.0,0.13,0.13,2025-11-27 06:59:21 EST,FPts
189,Jonnu Smith,PIT,BUF,TE,0.0,0,0,0.0,0.0,0.4,1.2,0.01,3.0,2.1,19.1,0.14,0.15000000000000002,2025-11-27 06:59:21 EST,FPts
190,Davis Allen,LAR,CAR,TE,0.0,0,0,0.0,0.0,-,-,0.0,2.6,2.0,18.4,0.2,0.2,2025-11-27 06:59:21 EST,FPts
191,DeAndre Hopkins,BAL,CIN,WR,0.0,0,0,0.0,0.0,-,-,0.0,2.3,1.4,23.2,0.2,0.2,2025-11-27 06:59:21 EST,FPts
192,Isaiah Davis,NYJ,ATL,RB,0.0,0,0,0.0,0.0,4.6,20.7,0.06,1.6,1.3,9.8,0.03,0.09,2025-11-27 06:59:21 EST,FPts
193,Ollie Gordon,MIA,NOR,RB,0.0,0,0,0.0,0.0,6.7,24.6,0.27,0.5,0.4,2.7,0.02,0.29000000000000004,2025-11-27 06:59:21 EST,FPts
194,Kimani Vidal,LAC,LVR,RB,0.0,0,0,0.0,0.0,7.0,28.4,0.14,0.8,0.7,4.4,0.02,0.16,2025-11-27 06:59:21 EST,FPts
195,Elijah Moore,BUF,PIT,WR,0.0,0,0,0.0,0.0,0.3,1.2,0.01,3.3,2.1,22.0,0.07,0.08,2025-11-27 06:59:21 EST,FPts
196,Isaac TeSlaa,DET,GB,WR,0.0,0,0,0.0,0.0,-,-,0.0,2.6,1.5,20.1,0.22,0.22,2025-11-27 06:59:21 EST,FPts
197,Sterling Shepard,TB,ARZ,WR,0.0,0,0,0.0,0.0,0.3,2.0,0.0,2.9,2.1,17.9,0.12,0.12,2025-11-27 06:59:21 EST,FPts
198,Ty Johnson,BUF,PIT,RB,0.0,0,0,0.0,0.0,2.0,8.6,0.05,1.9,1.6,15.6,0.09,0.14,2025-11-27 06:59:21 EST,FPts
199,Taysom Hill,NOR,MIA,TE,0.0,0,0,0.0,0.0,6.9,21.2,0.19,1.0,0.7,6.4,0.03,0.22,2025-11-27 06:59:21 EST,FPts
200,Devin Singletary,NYG,NWE,RB,0.0,0,0,0.0,0.0,7.2,23.8,0.15,1.0,0.8,5.6,0.02,0.16999999999999998,2025-11-27 06:59:21 EST,FPts
201,Rashid Shaheed,SEA,MIN,WR,0.0,0,0,0.0,0.0,0.8,4.2,0.01,2.1,1.4,20.9,0.14,0.15000000000000002,2025-11-27 06:59:21 EST,FPts
202,Mason Tipton,NOR,MIA,WR,0.0,0,0,0.0,0.0,0.3,1.4,0.0,3.5,2.1,20.9,0.07,0.07,2025-11-27 06:59:21 EST,FPts
203,Jeremy McNichols,WAS,DEN,RB,0.0,0,0,0.0,0.0,2.3,9.1,0.02,2.4,1.8,16.2,0.03,0.05,2025-11-27 06:59:21 EST,FPts
204,Jaleel McLaughlin,DEN,WAS,RB,0.0,0,0,0.0,0.0,6.5,26.0,0.24,0.5,0.4,2.0,0.01,0.25,2025-11-27 06:59:21 EST,FPts
205,Dylan Sampson,CLE,SF,RB,0.0,0,0,0.0,0.0,3.0,8.9,0.03,2.2,1.7,15.3,0.05,0.08,2025-11-27 06:59:21 EST,FPts
206,Jaylin Noel,HOU,IND,WR,0.0,0,0,0.0,0.0,0.4,1.5,0.0,2.5,1.9,21.5,0.06,0.06,2025-11-27 06:59:21 EST,FPts
207,Darnell Washington,PIT,BUF,TE,0.0,0,0,0.0,0.0,-,-,0.0,2.5,1.8,19.1,0.15,0.15,2025-11-27 06:59:21 EST,FPts
208,KaVontae Turpin,DAL,KAN,WR,0.0,0,0,0.0,0.0,1.2,4.8,0.02,2.4,1.7,18.2,0.08,0.1,2025-11-27 06:59:21 EST,FPts
209,Tyler Lockett,LVR,LAC,WR,0.0,0,0,0.0,0.0,-,-,0.0,3.1,2.0,21.1,0.07,0.07,2025-11-27 06:59:21 EST,FPts
210,Samaje Perine,CIN,BAL,RB,0.0,0,0,0.0,0.0,4.1,17.1,0.1,1.6,1.3,7.9,0.03,0.13,2025-11-27 06:59:21 EST,FPts
211,DeMario Douglas,NWE,NYG,WR,0.0,0,0,0.0,0.0,0.8,4.0,0.01,1.8,1.2,19.0,0.14,0.15000000000000002,2025-11-27 06:59:21 EST,FPts
212,Michael Mayer,LVR,LAC,TE,0.0,0,0,0.0,0.0,-,-,0.0,2.9,2.1,17.3,0.09,0.09,2025-11-27 06:59:21 EST,FPts
213,Jacory Croskey-Merritt,WAS,DEN,RB,0.0,0,0,0.0,0.0,6.6,25.9,0.14,0.7,0.5,3.8,0.01,0.15000000000000002,2025-11-27 06:59:21 EST,FPts
214,Brashard Smith,KAN,DAL,RB,0.0,0,0,0.0,0.0,1.6,5.2,0.04,2.1,1.7,13.4,0.1,0.14,2025-11-27 06:59:21 EST,FPts
215,Chuba Hubbard,CAR,LAR,RB,0.0,0,0,0.0,0.0,3.4,12.4,0.04,1.9,1.5,9.5,0.05,0.09,2025-11-27 06:59:21 EST,FPts
216,Nick Chubb,HOU,IND,RB,0.0,0,0,0.0,0.0,5.9,22.1,0.11,1.1,0.8,4.3,0.01,0.12,2025-11-27 06:59:21 EST,FPts
217,Luke Musgrave,GB,DET,TE,0.0,0,0,0.0,0.0,-,-,0.0,2.3,1.9,15.6,0.1,0.1,2025-11-27 06:59:21 EST,FPts
218,Roman Wilson,PIT,BUF,WR,0.0,0,0,0.0,0.0,-,-,0.0,2.3,1.4,19.3,0.12,0.12,2025-11-27 06:59:21 EST,FPts
219,Jalen Nailor,MIN,SEA,WR,0.0,0,0,0.0,0.0,0.0,0.1,0.0,2.8,1.5,19.5,0.09,0.09,2025-11-27 06:59:21 EST,FPts
220,Matthew Golden,GB,DET,WR,0.0,0,0,0.0,0.0,-,-,0.0,2.2,1.4,19.8,0.11,0.11,2025-11-27 06:59:21 EST,FPts
221,Marvin Mims,DEN,WAS,WR,0.0,0,0,0.0,0.0,1.3,5.8,0.02,1.8,1.3,14.5,0.08,0.1,2025-11-27 06:59:21 EST,FPts
222,John FitzPatrick,GB,DET,TE,0.0,0,0,0.0,0.0,-,-,0.0,2.0,1.6,13.1,0.15,0.15,2025-11-27 06:59:21 EST,FPts
223,Robbie Chosen,WAS,DEN,WR,0.0,0,0,0.0,0.0,-,-,0.0,2.7,1.6,18.4,0.07,0.07,2025-11-27 06:59:21 EST,FPts
224,Tyrell Shavers,BUF,PIT,WR,0.0,0,0,0.0,0.0,-,-,0.0,1.9,1.3,19.0,0.09,0.09,2025-11-27 06:59:21 EST,FPts
225,Jackson Hawes,BUF,PIT,TE,0.0,0,0,0.0,0.0,-,-,0.0,1.7,1.2,13.4,0.18,0.18,2025-11-27 06:59:21 EST,FPts
226,Austin Hooper,NWE,NYG,TE,0.0,0,0,0.0,0.0,-,-,0.0,1.8,1.4,15.5,0.11,0.11,2025-11-27 06:59:21 EST,FPts
227,Daniel Bellinger,NYG,NWE,TE,0.0,0,0,0.0,0.0,-,-,0.0,1.9,1.3,14.5,0.13,0.13,2025-11-27 06:59:21 EST,FPts
228,Terrance Ferguson,LAR,CAR,TE,0.0,0,0,0.0,0.0,0.1,0.2,0.0,1.8,1.1,15.5,0.13,0.13,2025-11-27 06:59:21 EST,FPts
229,Elijah Arroyo,SEA,MIN,TE,0.0,0,0,0.0,0.0,-,-,0.0,1.9,1.3,14.5,0.12,0.12,2025-11-27 06:59:21 EST,FPts
230,Cole Kmet,CHI,PHI,TE,0.0,0,0,0.0,0.0,-,-,0.0,2.4,1.6,15.1,0.04,0.04,2025-11-27 06:59:21 EST,FPts
231,David Njoku,CLE,SF,TE,0.0,0,0,0.0,0.0,-,-,0.0,2.1,1.4,14.8,0.08,0.08,2025-11-27 06:59:21 EST,FPts
232,JuJu Smith-Schuster,KAN,DAL,WR,0.0,0,0,0.0,0.0,-,-,0.0,1.5,1.3,14.7,0.09,0.09,2025-11-27 06:59:21 EST,FPts
233,Ryan Flournoy,DAL,KAN,WR,0.0,0,0,0.0,0.0,0.1,0.4,0.0,1.7,1.2,12.0,0.13,0.13,2025-11-27 06:59:21 EST,FPts
234,Cade Stover,HOU,IND,TE,0.0,0,0,0.0,0.0,-,-,0.0,2.1,1.6,13.5,0.05,0.05,2025-11-27 06:59:21 EST,FPts
235,Tyquan Thornton,KAN,DAL,WR,0.0,0,0,0.0,0.0,-,-,0.0,1.6,0.7,16.8,0.12,0.12,2025-11-27 06:59:21 EST,FPts
236,James Proche,TEN,JAX,WR,0.0,0,0,0.0,0.0,-,-,0.0,2.1,1.2,16.8,0.04,0.04,2025-11-27 06:59:21 EST,FPts
237,Noah Fant,CIN,BAL,TE,0.0,0,0,0.0,0.0,-,-,0.0,1.5,1.3,12.3,0.09,0.09,2025-11-27 06:59:21 EST,FPts
238,Anthony Firkser,DET,GB,TE,0.0,0,0,0.0,0.0,-,-,0.0,1.8,1.4,11.3,0.09,0.09,2025-11-27 06:59:21 EST,FPts
239,Xavier Restrepo,TEN,JAX,WR,0.0,0,0,0.0,0.0,-,-,0.0,2.2,1.1,14.7,0.07,0.07,2025-11-27 06:59:21 EST,FPts
240,Ross Dwelley,DET,GB,TE,0.0,0,0,0.0,0.0,-,-,0.0,1.8,1.3,11.3,0.08,0.08,2025-11-27 06:59:21 EST,FPts
241,Kyle Juszczyk,SF,CLE,RB,0.0,0,0,0.0,0.0,0.0,0.1,0.0,1.6,1.3,11.8,0.08,0.08,2025-11-27 06:59:21 EST,FPts
242,Isaiah Bond,CLE,SF,WR,0.0,0,0,0.0,0.0,0.2,0.8,0.0,2.0,1.0,13.6,0.08,0.08,2025-11-27 06:59:21 EST,FPts
243,Demarcus Robinson,SF,CLE,WR,0.0,0,0,0.0,0.0,-,-,0.0,2.1,1.2,14.4,0.05,0.05,2025-11-27 06:59:21 EST,FPts
244,Xavier Hutchinson,HOU,IND,WR,0.0,0,0,0.0,0.0,0.0,0.1,0.0,1.8,1.2,13.6,0.05,0.05,2025-11-27 06:59:21 EST,FPts
245,Xavier Weaver,ARZ,TB,WR,0.0,0,0,0.0,0.0,-,-,0.0,2.2,1.1,14.0,0.06,0.06,2025-11-27 06:59:21 EST,FPts
246,Sean Tucker,TB,ARZ,RB,0.0,0,0,0.0,0.0,3.5,16.2,0.13,0.3,0.2,1.4,0.01,0.14,2025-11-27 06:59:21 EST,FPts
247,Raheem Mostert,LVR,LAC,RB,0.0,0,0,0.0,0.0,1.6,6.9,0.02,1.3,1.1,7.4,0.01,0.03,2025-11-27 06:59:21 EST,FPts
248,Jordan Whittington,LAR,CAR,WR,0.0,0,0,0.0,0.0,0.1,0.5,0.0,1.6,1.1,11.3,0.05,0.05,2025-11-27 06:59:21 EST,FPts
249,Khadarel Hodge,ATL,NYJ,WR,0.0,0,0,0.0,0.0,-,-,0.0,1.8,1.0,12.3,0.07,0.07,2025-11-27 06:59:21 EST,FPts
250,Dylan Drummond,ATL,NYJ,WR,0.0,0,0,0.0,0.0,-,-,0.0,1.8,1.3,11.1,0.04,0.04,2025-11-27 06:59:21 EST,FPts
251,Nick Westbrook,MIA,NOR,WR,0.0,0,0,0.0,0.0,-,-,0.0,1.6,1.1,10.7,0.08,0.08,2025-11-27 06:59:21 EST,FPts
252,Jahan Dotson,PHI,CHI,WR,0.0,0,0,0.0,0.0,-,-,0.0,1.2,0.7,13.0,0.07,0.07,2025-11-27 06:59:21 EST,FPts
253,Josh Oliver,MIN,SEA,TE,0.0,0,0,0.0,0.0,-,-,0.0,1.5,1.1,9.4,0.07,0.07,2025-11-27 06:59:21 EST,FPts
254,Olamide Zaccheaus,CHI,PHI,WR,0.0,0,0,0.0,0.0,-,-,0.0,1.8,1.3,9.9,0.03,0.03,2025-11-27 06:59:21 EST,FPts
255,Julian Hill,MIA,NOR,TE,0.0,0,0,0.0,0.0,-,-,0.0,1.4,1.1,9.3,0.07,0.07,2025-11-27 06:59:21 EST,FPts
256,Allen Lazard,NYJ,ATL,WR,0.0,0,0,0.0,0.0,-,-,0.0,1.4,0.9,9.9,0.08,0.08,2025-11-27 06:59:21 EST,FPts
257,Jerome Ford,CLE,SF,RB,0.0,0,0,0.0,0.0,0.9,3.6,0.01,1.5,1.2,5.7,0.02,0.03,2025-11-27 06:59:21 EST,FPts
258,Tutu Atwell,LAR,CAR,WR,0.0,0,0,0.0,0.0,-,-,0.0,1.2,0.7,11.4,0.07,0.07,2025-11-27 06:59:21 EST,FPts
259,Tre Harris,LAC,LVR,WR,0.0,0,0,0.0,0.0,-,-,0.0,1.2,0.9,9.7,0.06,0.06,2025-11-27 06:59:21 EST,FPts
260,Elijah Higgins,ARZ,TB,TE,0.0,0,0,0.0,0.0,-,-,0.0,1.4,1.0,9.7,0.05,0.05,2025-11-27 06:59:21 EST,FPts
261,Isaiah Williams,NYJ,ATL,WR,0.0,0,0,0.0,0.0,0.3,1.4,0.0,1.4,0.9,9.2,0.05,0.05,2025-11-27 06:59:21 EST,FPts
262,Josh Whyle,GB,DET,TE,0.0,0,0,0.0,0.0,-,-,0.0,1.4,1.2,8.6,0.03,0.03,2025-11-27 06:59:21 EST,FPts
263,Dont'e Thornton,LVR,LAC,WR,0.0,0,0,0.0,0.0,-,-,0.0,1.7,0.9,10.7,0.04,0.04,2025-11-27 06:59:21 EST,FPts
264,Jeremy Ruckert,NYJ,ATL,TE,0.0,0,0,0.0,0.0,-,-,0.0,1.3,1.1,7.9,0.05,0.05,2025-11-27 06:59:21 EST,FPts
265,Tanner Hudson,CIN,BAL,TE,0.0,0,0,0.0,0.0,-,-,0.0,1.1,0.9,8.0,0.07,0.07,2025-11-27 06:59:21 EST,FPts
266,Tyler Badie,DEN,WAS,RB,0.0,0,0,0.0,0.0,0.2,0.7,0.0,1.4,1.1,7.0,0.02,0.02,2025-11-27 06:59:21 EST,FPts
267,John Bates,WAS,DEN,TE,0.0,0,0,0.0,0.0,-,-,0.0,1.3,0.9,9.3,0.03,0.03,2025-11-27 06:59:21 EST,FPts
268,Tommy Tremble,CAR,LAR,TE,0.0,0,0,0.0,0.0,-,-,0.0,1.2,0.9,7.7,0.05,0.05,2025-11-27 06:59:21 EST,FPts
269,Malachi Corley,CLE,SF,WR,0.0,0,0,0.0,0.0,0.7,4.0,0.0,0.9,0.7,6.9,0.01,0.01,2025-11-27 06:59:21 EST,FPts
270,Jimmy Horn,CAR,LAR,WR,0.0,0,0,0.0,0.0,0.5,3.0,0.0,1.1,0.7,7.7,0.02,0.02,2025-11-27 06:59:21 EST,FPts
271,Jaylin Lane,WAS,DEN,WR,0.0,0,0,0.0,0.0,0.0,0.1,0.0,1.2,0.7,10.0,0.02,0.02,2025-11-27 06:59:21 EST,FPts
272,Adam Trautman,DEN,WAS,TE,0.0,0,0,0.0,0.0,-,-,0.0,0.9,0.7,7.0,0.07,0.07,2025-11-27 06:59:21 EST,FPts
273,Malik Davis,DAL,KAN,RB,0.0,0,0,0.0,0.0,2.5,9.9,0.03,0.5,0.4,2.3,0.0,0.03,2025-11-27 06:59:21 EST,FPts
274,Johnny Mundt,JAX,TEN,TE,0.0,0,0,0.0,0.0,-,-,0.0,1.2,0.8,6.8,0.04,0.04,2025-11-27 06:59:21 EST,FPts
275,Ray Davis,BUF,PIT,RB,0.0,0,0,0.0,0.0,1.8,5.9,0.03,0.6,0.4,2.9,0.03,0.06,2025-11-27 06:59:21 EST,FPts
276,Luke Schoonmaker,DAL,KAN,TE,0.0,0,0,0.0,0.0,-,-,0.0,1.1,0.8,5.9,0.03,0.03,2025-11-27 06:59:21 EST,FPts
277,Foster Moreau,NOR,MIA,TE,0.0,0,0,0.0,0.0,-,-,0.0,0.9,0.6,7.0,0.03,0.03,2025-11-27 06:59:21 EST,FPts
278,Charlie Woerner,ATL,NYJ,TE,0.0,0,0,0.0,0.0,-,-,0.0,1.0,0.8,6.4,0.02,0.02,2025-11-27 06:59:21 EST,FPts
279,Cedrick Wilson,MIA,NOR,WR,0.0,0,0,0.0,0.0,-,-,0.0,0.9,0.6,6.1,0.04,0.04,2025-11-27 06:59:21 EST,FPts
280,Tank Bigsby,PHI,CHI,RB,0.0,0,0,0.0,0.0,2.2,9.8,0.05,0.2,0.1,0.7,0.0,0.05,2025-11-27 06:59:21 EST,FPts
281,Mo Alie-Cox,IND,HOU,TE,0.0,0,0,0.0,0.0,-,-,0.0,0.8,0.6,5.6,0.04,0.04,2025-11-27 06:59:21 EST,FPts
282,Mitchell Evans,CAR,LAR,TE,0.0,0,0,0.0,0.0,-,-,0.0,0.7,0.5,5.5,0.04,0.04,2025-11-27 06:59:21 EST,FPts
283,Tim Patrick,JAX,TEN,WR,0.0,0,0,0.0,0.0,-,-,0.0,0.7,0.4,5.7,0.05,0.05,2025-11-27 06:59:21 EST,FPts
284,Jack Bech,LVR,LAC,WR,0.0,0,0,0.0,0.0,-,-,0.0,0.8,0.5,6.3,0.02,0.02,2025-11-27 06:59:21 EST,FPts
285,Charlie Kolar,BAL,CIN,TE,0.0,0,0,0.0,0.0,-,-,0.0,0.5,0.4,5.5,0.05,0.05,2025-11-27 06:59:21 EST,FPts
286,Arian Smith,NYJ,ATL,WR,0.0,0,0,0.0,0.0,0.5,2.0,0.0,0.7,0.4,4.1,0.03,0.03,2025-11-27 06:59:21 EST,FPts
287,Will Shipley,PHI,CHI,RB,0.0,0,0,0.0,0.0,1.2,5.1,0.02,0.4,0.3,2.5,0.0,0.02,2025-11-27 06:59:21 EST,FPts
288,Ameer Abdullah,IND,HOU,RB,0.0,0,0,0.0,0.0,0.7,2.8,0.01,0.6,0.5,3.2,0.01,0.02,2025-11-27 06:59:21 EST,FPts
289,LeQuint Allen,JAX,TEN,RB,0.0,0,0,0.0,0.0,0.9,4.2,0.01,0.4,0.3,2.2,0.02,0.03,2025-11-27 06:59:21 EST,FPts
290,Konata Mumpfield,LAR,CAR,WR,0.0,0,0,0.0,0.0,-,-,0.0,0.6,0.4,4.4,0.04,0.04,2025-11-27 06:59:21 EST,FPts
291,Audric Estimé,NOR,MIA,RB,0.0,0,0,0.0,0.0,1.9,6.7,0.01,0.2,0.2,1.3,0.0,0.01,2025-11-27 06:59:21 EST,FPts
292,Andre Baccellia,ARZ,TB,WR,0.0,0,0,0.0,0.0,-,-,0.0,0.8,0.5,4.6,0.02,0.02,2025-11-27 06:59:21 EST,FPts
293,Hunter Luepke,DAL,KAN,RB,0.0,0,0,0.0,0.0,0.2,0.8,0.0,0.6,0.5,3.8,0.01,0.01,2025-11-27 06:59:21 EST,FPts
294,Robert Tonyan,KAN,DAL,TE,0.0,0,0,0.0,0.0,-,-,0.0,0.6,0.5,3.7,0.03,0.03,2025-11-27 06:59:21 EST,FPts
295,Jack Stoll,NOR,MIA,TE,0.0,0,0,0.0,0.0,-,-,0.0,0.7,0.5,4.2,0.02,0.02,2025-11-27 06:59:21 EST,FPts
296,Ian Thomas,LVR,LAC,TE,0.0,0,0,0.0,0.0,-,-,0.0,0.6,0.5,4.2,0.01,0.01,2025-11-27 06:59:21 EST,FPts
297,Drew Sample,CIN,BAL,TE,0.0,0,0,0.0,0.0,-,-,0.0,0.6,0.5,3.1,0.03,0.03,2025-11-27 06:59:21 EST,FPts
298,Grant Calcaterra,PHI,CHI,TE,0.0,0,0,0.0,0.0,-,-,0.0,0.6,0.4,4.2,0.01,0.01,2025-11-27 06:59:21 EST,FPts
299,Luke Farrell,SF,CLE,TE,0.0,0,0,0.0,0.0,-,-,0.0,0.5,0.4,3.6,0.03,0.03,2025-11-27 06:59:21 EST,FPts
300,Christopher Brooks,GB,DET,RB,0.0,0,0,0.0,0.0,0.7,3.0,0.01,0.4,0.3,2.3,0.0,0.01,2025-11-27 06:59:21 EST,FPts
301,Dante Pettis,NOR,MIA,WR,0.0,0,0,0.0,0.0,-,-,0.0,0.6,0.4,4.1,0.01,0.01,2025-11-27 06:59:21 EST,FPts
302,Ashton Dulin,IND,HOU,WR,0.0,0,0,0.0,0.0,0.2,0.7,0.0,0.4,0.3,4.1,0.02,0.02,2025-11-27 06:59:21 EST,FPts
303,Andrew Ogletree,IND,HOU,TE,0.0,0,0,0.0,0.0,-,-,0.0,0.5,0.4,2.5,0.04,0.04,2025-11-27 06:59:21 EST,FPts
304,Brevyn Spann-Ford,DAL,KAN,TE,0.0,0,0,0.0,0.0,-,-,0.0,0.4,0.3,2.5,0.04,0.04,2025-11-27 06:59:21 EST,FPts
305,Gage Larvadain,CLE,SF,WR,0.0,0,0,0.0,0.0,-,-,0.0,0.6,0.3,4.2,0.01,0.01,2025-11-27 06:59:21 EST,FPts
306,Malik Heath,GB,DET,WR,0.0,0,0,0.0,0.0,-,-,0.0,0.5,0.3,3.8,0.01,0.01,2025-11-27 06:59:21 EST,FPts
307,Adam Prentice,DEN,WAS,RB,0.0,0,0,0.0,0.0,0.2,0.9,0.0,0.4,0.3,2.7,0.0,0.0,2025-11-27 06:59:21 EST,FPts
308,Tyler Goodson,IND,HOU,RB,0.0,0,0,0.0,0.0,0.6,2.2,0.01,0.4,0.3,1.6,0.0,0.01,2025-11-27 06:59:21 EST,FPts
309,Durham Smythe,CHI,PHI,TE,0.0,0,0,0.0,0.0,-,-,0.0,0.6,0.4,2.4,0.01,0.01,2025-11-27 06:59:21 EST,FPts
310,Mason Kinsey,TEN,JAX,WR,0.0,0,0,0.0,0.0,-,-,0.0,0.5,0.3,3.3,0.02,0.02,2025-11-27 06:59:21 EST,FPts
311,Cody White,SEA,MIN,WR,0.0,0,0,0.0,0.0,-,-,0.0,0.4,0.2,3.5,0.02,0.02,2025-11-27 06:59:21 EST,FPts
