,Player,Team,Opp,Pos,Pass Att,Pass Comp,Pass Yards,Pass TD,INT,Rush Att,Rush Yds,Rush TD,Tgt,Rec,Rec Yds,Rec TD,Rush Rec TD,Last Update,System
30,Omarion Hampton,LAC,LVR,RB,0.0,0,0,0.0,0.0,17.0,75.3,0.64,3.4,3.0,22.3,0.1,0.74,2025-11-27 06:59:21 EST,FPts
31,TreVeyon Henderson,NWE,NYG,RB,0.0,0,0,0.0,0.0,15.7,81.5,0.62,3.0,2.6,16.5,0.14,0.76,2025-11-27 06:59:21 EST,FPts
32,Trey McBride,ARZ,TB,TE,0.0,0,0,0.0,0.0,-,-,0.0,9.4,6.7,69.9,0.53,0.53,2025-11-27 06:59:21 EST,FPts
33,Daniel Jones,IND,HOU,QB,32.0,21,236,1.29,0.76,3.7,17.2,0.24,-,-,-,0.0,0.24,2025-11-27 06:59:21 EST,FPts
34,Breece Hall,NYJ,ATL,RB,0.0,0,0,0.0,0.0,18.4,83.7,0.39,3.2,2.7,26.6,0.13,0.52,2025-11-27 06:59:21 EST,FPts
35,Jaylen Waddle,MIA,NOR,WR,0.0,0,0,0.0,0.0,-,-,0.0,7.7,5.1,77.6,0.64,0.64,2025-11-27 06:59:21 EST,FPts
36,Caleb Williams,CHI,PHI,QB,35.0,21,237,1.01,0.47,5.0,28.6,0.16,-,-,-,0.0,0.16,2025-11-27 06:59:21 EST,FPts
37,Jordan Love,GB,DET,QB,33.0,22,239,1.53,0.35,2.8,12.1,0.03,-,-,-,0.0,0.03,2025-11-27 06:59:21 EST,FPts
38,Chris Olave,NOR,MIA,WR,0.0,0,0,0.0,0.0,0.1,0.3,0.0,10.1,6.6,74.0,0.43,0.43,2025-11-27 06:59:21 EST,FPts
39,Brock Purdy,SF,CLE,QB,31.0,21,253,1.5,0.91,3.3,10.2,0.06,-,-,-,0.0,0.06,2025-11-27 06:59:21 EST,FPts
40,Jared Goff,DET,GB,QB,34.0,23,246,1.71,0.52,1.1,1.9,0.02,-,-,-,0.0,0.02,2025-11-27 06:59:21 EST,FPts
41,Nico Collins,HOU,IND,WR,0.0,0,0,0.0,0.0,0.0,0.1,0.0,9.3,6.0,77.6,0.42,0.42,2025-11-27 06:59:21 EST,FPts
42,Wan'Dale Robinson,NYG,NWE,WR,0.0,0,0,0.0,0.0,0.2,0.9,0.01,9.7,6.6,71.4,0.39,0.4,2025-11-27 06:59:21 EST,FPts
43,Josh Jacobs,GB,DET,RB,0.0,0,0,0.0,0.0,16.4,63.4,0.82,3.3,2.8,19.8,0.04,0.86,2025-11-27 06:59:21 EST,FPts
44,Davante Adams,LAR,CAR,WR,0.0,0,0,0.0,0.0,-,-,0.0,8.0,4.7,55.4,0.96,0.96,2025-11-27 06:59:21 EST,FPts
45,DeVonta Smith,PHI,CHI,WR,0.0,0,0,0.0,0.0,-,-,0.0,7.6,5.3,76.3,0.51,0.51,2025-11-27 06:59:21 EST,FPts
46,Travis Etienne,JAX,TEN,RB,0.0,0,0,0.0,0.0,15.4,73.6,0.56,3.5,2.4,17.8,0.17,0.7300000000000001,2025-11-27 06:59:21 EST,FPts
47,Rico Dowdle,CAR,LAR,RB,0.0,0,0,0.0,0.0,16.3,69.3,0.43,3.9,3.3,24.4,0.12,0.55,2025-11-27 06:59:21 EST,FPts
48,Kenneth Walker,SEA,MIN,RB,0.0,0,0,0.0,0.0,18.8,80.9,0.61,2.5,2.1,17.2,0.05,0.66,2025-11-27 06:59:21 EST,FPts
49,Chase Brown,CIN,BAL,RB,0.0,0,0,0.0,0.0,13.9,58.2,0.39,5.1,4.0,27.6,0.15,0.54,2025-11-27 06:59:21 EST,FPts
50,A.J. Brown,PHI,CHI,WR,0.0,0,0,0.0,0.0,-,-,0.0,7.5,5.1,73.2,0.56,0.56,2025-11-27 06:59:21 EST,FPts
51,Sam Darnold,SEA,MIN,QB,27.0,18,245,1.57,0.79,2.0,4.2,0.01,-,-,-,0.0,0.01,2025-11-27 06:59:21 EST,FPts
52,Tetairoa McMillan,CAR,LAR,WR,0.0,0,0,0.0,0.0,-,-,0.0,9.0,5.6,71.7,0.44,0.44,2025-11-27 06:59:21 EST,FPts
53,Ashton Jeanty,LVR,LAC,RB,0.0,0,0,0.0,0.0,14.8,56.2,0.36,5.0,4.1,27.3,0.12,0.48,2025-11-27 06:59:21 EST,FPts
54,RJ Harvey,DEN,WAS,RB,0.0,0,0,0.0,0.0,15.1,60.9,0.52,3.3,2.9,22.3,0.16,0.68,2025-11-27 06:59:21 EST,FPts
55,Javonte Williams,DAL,KAN,RB,0.0,0,0,0.0,0.0,16.1,70.8,0.66,3.0,2.5,13.3,0.07,0.73,2025-11-27 06:59:21 EST,FPts
56,Marcus Mariota,WAS,DEN,QB,31.0,20,212,1.06,0.92,4.4,25.9,0.16,-,-,-,0.0,0.16,2025-11-27 06:59:21 EST,FPts
57,Teddy Bridgewater,TB,ARZ,QB,33.0,21,200,1.5,0.66,2.6,14.7,0.04,-,-,-,0.0,0.04,2025-11-27 06:59:21 EST,FPts
58,Tyrod Taylor,NYJ,ATL,QB,28.0,18,180,1.24,0.73,6.5,31.9,0.08,-,-,-,0.0,0.08,2025-11-27 06:59:21 EST,FPts
