,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
66,SF,De'Andre Hunter (40588204),De'Andre Hunter,40588204,SF/F/UTIL,5300,CLE@BOS 10/29/2025 07:00PM ET,CLE,27.12
67,PF,Kyle Filipowski (40588214),Kyle Filipowski,40588214,PF/F/UTIL,5300,POR@UTA 10/29/2025 09:00PM ET,UTA,19.83
68,PG/SG,D'Angelo Russell (40588207),D'Angelo Russell,40588207,PG/SG/G/UTIL,5300,IND@DAL 10/29/2025 08:30PM ET,DAL,23.44
69,SG,Christian Braun (40588211),Christian Braun,40588211,SG/G/UTIL,5300,NOP@DEN 10/29/2025 09:00PM ET,DEN,21.0
70,SG/SF,Nickeil Alexander-Walker (40588217),Nickeil Alexander-Walker,40588217,SG/SF/F/G/UTIL,5200,ATL@BKN 10/29/2025 07:30PM ET,ATL,28.19
71,PG,T.J. McConnell (40588222),T.J. McConnell,40588222,PG/G/UTIL,5100,IND@DAL 10/29/2025 08:30PM ET,IND,0.0
72,C,Neemias Queta (40588225),Neemias Queta,40588225,C/UTIL,5000,CLE@BOS 10/29/2025 07:00PM ET,BOS,24.38
73,C,Dereck Lively II (40588227),Dereck Lively II,40588227,C/UTIL,4900,IND@DAL 10/29/2025 08:30PM ET,DAL,19.25
74,SG/SF,Kevin Huerter (40588229),Kevin Huerter,40588229,SG/SF/F/G/UTIL,4800,SAC@CHI 10/29/2025 08:00PM ET,CHI,26.0
75,C,Isaiah Jackson (40588234),Isaiah Jackson,40588234,C/UTIL,4800,IND@DAL 10/29/2025 08:30PM ET,IND,7.75
76,SG/SF,Ayo Dosunmu (40588236),Ayo Dosunmu,40588236,SG/SF/F/G/UTIL,4700,SAC@CHI 10/29/2025 08:00PM ET,CHI,24.58
