,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
169,SG,Trentyn Flowers (40588625),Trentyn Flowers,40588625,SG/G/UTIL,3000,SAC@CHI 10/29/2025 08:00PM ET,CHI,0.0
170,C,Zach Collins (40588628),Zach Collins,40588628,C/UTIL,3000,SAC@CHI 10/29/2025 08:00PM ET,CHI,0.0
171,PG,Isaiah Stevens (40588733),Isaiah Stevens,40588733,PG/G/UTIL,3000,SAC@CHI 10/29/2025 08:00PM ET,SAC,0.0
172,SG/SF,Daeqwon Plowden (40588736),Daeqwon Plowden,40588736,SG/SF/F/G/UTIL,3000,SAC@CHI 10/29/2025 08:00PM ET,SAC,0.0
173,SF/PF,Doug McDermott (40588741),Doug McDermott,40588741,SF/PF/F/UTIL,3000,SAC@CHI 10/29/2025 08:00PM ET,SAC,0.0
174,PG/SG,Devin Carter (40588745),Devin Carter,40588745,PG/SG/G/UTIL,3000,SAC@CHI 10/29/2025 08:00PM ET,SAC,5.88
175,SF/PF,Ron Harper Jr. (40588630),Ron Harper Jr.,40588630,SF/PF/F/UTIL,3000,CLE@BOS 10/29/2025 07:00PM ET,BOS,0.0
176,C,Amari Williams (40588634),Amari Williams,40588634,C/UTIL,3000,CLE@BOS 10/29/2025 07:00PM ET,BOS,1.25
177,PG/SG,Max Shulga (40588636),Max Shulga,40588636,PG/SG/G/UTIL,3000,CLE@BOS 10/29/2025 07:00PM ET,BOS,0.0
178,SF/PF,Jordan Walsh (40588640),Jordan Walsh,40588640,SF/PF/F/UTIL,3000,CLE@BOS 10/29/2025 07:00PM ET,BOS,0.0
179,PF,Jayson Tatum (40588644),Jayson Tatum,40588644,PF/F/UTIL,3000,CLE@BOS 10/29/2025 07:00PM ET,BOS,0.0
180,SF,Luke Travers (40588749),Luke Travers,40588749,SF/F/UTIL,3000,CLE@BOS 10/29/2025 07:00PM ET,CLE,0.0
181,C,Thomas Bryant (40588752),Thomas Bryant,40588752,C/UTIL,3000,CLE@BOS 10/29/2025 07:00PM ET,CLE,6.5
182,PF/C,Nae'Qwan Tomlin (40588754),Nae'Qwan Tomlin,40588754,PF/C/F/UTIL,3000,CLE@BOS 10/29/2025 07:00PM ET,CLE,0.0
183,PG/SG,Tyrese Proctor (40588758),Tyrese Proctor,40588758,PG/SG/G/UTIL,3000,CLE@BOS 10/29/2025 07:00PM ET,CLE,6.83
184,SG/SF,Drake Powell (40588661),Drake Powell,40588661,SG/SF/F/G/UTIL,3000,ATL@BKN 10/29/2025 07:30PM ET,BKN,4.0
185,PF/C,E.J. Liddell (40588666),E.J. Liddell,40588666,PF/C/F/UTIL,3000,ATL@BKN 10/29/2025 07:30PM ET,BKN,9.0
186,PG,Tyson Etienne (40588670),Tyson Etienne,40588670,PG/G/UTIL,3000,ATL@BKN 10/29/2025 07:30PM ET,BKN,0.0
187,SF,Haywood Highsmith (40588673),Haywood Highsmith,40588673,SF/F/UTIL,3000,ATL@BKN 10/29/2025 07:30PM ET,BKN,0.0
188,SF,Nikola Djurisic (40588775),Nikola Djurisic,40588775,SF/F/UTIL,3000,ATL@BKN 10/29/2025 07:30PM ET,ATL,0.0
