,Name,Team,OPP,Pos,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB
289,Jarred Vanderbilt,LAL,NOP,F,20.00000,5.44757,6.36761,1.11311,1.00508,0.51352,0.96629,2.19619,3.82719,57.4,0.14115,0.58893,24.0,0.91404,1.31598,69.5,2.30839,4.05923
290,Fred VanVleet,HOU,POR,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
291,Devin Vassell,SAS,GSW,F,33.00000,16.67768,4.33349,2.97724,1.50060,0.29641,1.87209,6.08210,13.24954,45.9,2.64518,6.99621,37.8,1.86829,2.21885,84.2,0.81429,3.51920
292,Gabe Vincent,LAL,NOP,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
293,Franz Wagner,ORL,BKN,F,36.00000,22.77497,6.46027,4.28506,1.31846,0.35335,2.36546,8.10865,15.88678,51.0,1.52483,4.47148,34.1,5.03284,6.06007,83.0,1.91512,4.54515
294,Moritz Wagner,ORL,BKN,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
295,Jabari Walker,PHI,DET,F,10.00000,4.06621,3.20879,0.53106,0.19844,0.27031,0.39964,1.41693,3.14937,45.0,0.36302,1.08727,33.4,0.86932,1.10793,78.5,0.87279,2.33601
296,Kel'el Ware,MIA,NYK,C,27.00000,14.79768,10.86645,1.61147,0.76315,1.25355,1.11894,6.00933,10.50466,57.2,0.92465,2.57999,35.8,1.85437,2.42703,76.4,2.01264,8.85380
297,PJ Washington,DAL,LAC,F,30.00000,13.03371,5.87531,2.17644,1.15426,0.60626,1.61749,4.67370,10.84793,43.1,1.97153,5.68501,34.7,1.71477,2.37796,72.1,1.38456,4.49075
298,Lindy Waters III,SAS,GSW,F,2.00000,0.72968,0.21535,0.15066,0.01543,0.00095,0.01407,0.24502,0.49328,49.7,0.22042,0.44717,49.3,0.01922,0.01994,96.4,0.01111,0.20424
299,Trendon Watford,PHI,DET,F,23.00000,10.72594,5.12811,2.11971,0.52068,0.82265,1.28816,3.78475,7.63747,49.6,1.00402,2.57355,39.0,2.15243,2.72511,79.0,1.34056,3.78755
300,Victor Wembanyama,SAS,GSW,C,35.00000,24.85887,14.57929,3.50002,1.25217,2.80165,3.15204,8.89363,16.25461,54.7,1.23220,3.43809,35.8,5.83941,7.23305,80.7,2.73321,11.84608
301,Blake Wesley,POR,HOU,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
302,Russell Westbrook,SAC,MIN,G,24.00000,10.91469,4.46389,4.11746,1.29820,0.44619,1.62915,3.94195,9.34962,42.2,1.25009,3.86630,32.3,1.78070,2.60621,68.3,0.90349,3.56040
303,Andrew Wiggins,MIA,NYK,F,34.00000,20.84157,5.60623,3.02587,1.09962,0.70197,1.89430,7.63675,16.15835,47.3,2.64871,6.63210,39.9,2.91935,3.81703,76.5,1.00365,4.60258
304,Brandon Williams,DAL,LAC,G,25.00000,12.88102,3.22626,3.97189,1.13209,0.22298,2.08560,4.38812,9.52977,46.0,1.37268,3.85461,35.6,2.73209,3.38558,80.7,0.75158,2.47467
305,Grant Williams,CHA,MIL,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
306,Robert Williams,POR,HOU,C,13.00000,4.61862,4.37598,1.02081,0.53071,0.68800,0.61363,1.96583,3.10471,63.3,0.06168,0.17191,35.9,0.62529,0.76539,81.7,1.99243,2.38355
307,Ziaire Williams,BKN,ORL,F,20.00000,7.65643,2.06733,1.16331,0.73340,0.14184,0.75323,2.75207,6.37143,43.2,1.08747,3.34021,32.6,1.06483,1.27206,83.7,0.45050,1.61683
308,Zion Williamson,NOP,LAL,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
309,Jalen Wilson,BKN,ORL,F,16.00000,7.31518,2.36984,1.47836,0.37590,0.10034,0.66353,2.32489,5.58288,41.6,1.01449,2.81469,36.0,1.65091,1.91668,86.1,0.60656,1.76327
310,Danny Wolf,BKN,ORL,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
311,Guerschon Yabusele,NYK,MIA,F,12.00000,4.89072,2.92846,0.99901,0.42862,0.17315,0.63321,1.69913,3.53773,48.0,0.59158,1.66463,35.5,0.90089,1.20242,74.9,0.73916,2.18931
312,Jahmir Young,MIA,NYK,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
313,Rocco Zikarsky,MIN,SAC,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
314,Ivica Zubac,LAC,DAL,C,32.00000,16.46627,12.32676,2.67216,0.68075,1.27458,1.58626,7.05637,11.65942,60.5,0.05989,0.33047,18.1,2.29364,3.28498,69.8,3.94124,8.38552
