,Name,Team,OPP,Pos,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB
69,Hunter Dickinson,NOP,LAL,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
70,Rob Dillingham,MIN,SAC,G,12.00000,6.41786,1.40389,2.49427,0.47738,0.09044,1.09949,2.53134,5.23829,48.3,0.67731,1.76480,38.4,0.67786,0.77805,87.1,0.18014,1.22375
71,Donte DiVincenzo,MIN,SAC,G,33.00000,15.76925,5.21835,4.81066,1.36929,0.33540,2.07900,5.39374,11.73952,45.9,3.26027,7.93460,41.1,1.72150,2.09620,82.1,1.10491,4.11344
72,Luka Doncic,LAL,NOP,G,36.00000,27.40904,7.46170,8.22162,1.65995,0.30276,4.02216,8.97324,19.38100,46.3,3.36577,9.89394,34.0,6.09679,7.67422,79.4,0.90433,6.55737
73,Andre Drummond,PHI,DET,C,32.00000,10.73862,12.13707,1.56571,1.24416,1.06354,2.46760,4.06105,8.01047,50.7,0.16639,0.54387,30.6,2.45013,3.80561,64.4,3.74384,8.39323
74,Kris Dunn,LAC,DAL,G,27.00000,8.06581,3.69217,3.47421,1.75211,0.30862,1.24877,3.15949,7.61295,41.5,1.21164,3.70074,32.7,0.53518,0.69817,76.7,0.62381,3.06836
75,Kevin Durant,HOU,POR,F,36.00000,24.63204,5.58318,4.65088,0.97343,0.73476,3.43625,8.46822,16.38597,51.7,2.50834,5.79461,43.3,5.18725,5.66189,91.6,0.65626,4.92692
76,Jalen Duren,DET,PHI,C,34.00000,15.93471,14.08899,2.97451,1.04084,1.50563,2.28487,6.10806,9.67984,63.1,0.14882,0.52049,28.6,3.56976,5.34964,66.7,4.42366,9.66533
77,Tari Eason,HOU,POR,F,24.00000,11.91461,5.48836,1.59968,1.56259,0.63241,1.31861,4.40912,9.19710,47.9,1.36262,3.64368,37.4,1.73374,2.12560,81.6,1.70303,3.78533
78,VJ Edgecombe,PHI,DET,G,35.00000,16.62992,4.34029,4.73312,1.10183,0.49560,1.99186,5.85313,13.83294,42.3,2.09776,5.79279,36.2,2.82591,3.43016,82.4,0.85514,3.48515
79,Anthony Edwards,MIN,SAC,G,34.00000,26.96264,5.89595,4.97989,1.16512,0.54695,2.94438,9.01910,18.71508,48.2,3.60644,8.94404,40.3,5.31800,6.16663,86.2,1.00297,4.89297
80,Justin Edwards,PHI,DET,F,8.00000,4.11801,1.83656,0.92750,0.50882,0.25970,0.67477,1.42931,3.30829,43.2,0.67727,1.82449,37.1,0.58211,0.78332,74.3,0.76793,1.06863
81,Keon Ellis,SAC,MIN,G,16.00000,6.07801,1.88098,1.13644,0.99800,0.42213,0.62699,2.00988,4.48960,44.8,1.27828,3.08878,41.4,0.77997,0.96396,80.9,0.49168,1.38930
82,Joel Embiid,PHI,DET,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
83,Tyson Etienne,BKN,ORL,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
84,Drew Eubanks,SAC,MIN,C,14.00000,5.41159,4.65871,0.80357,0.39664,0.32101,0.85374,2.08800,3.72451,56.1,0.10458,0.37653,27.8,1.13100,1.51340,74.7,1.79330,2.86541
85,Tosan Evbuomwan,NYK,MIA,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
86,Dante Exum,DAL,LAC,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
87,Jeremiah Fears,NOP,LAL,G,28.00000,14.53785,3.93590,3.44461,1.02167,0.11358,2.79305,5.09435,12.11300,42.1,1.47393,4.49567,32.8,2.87522,3.55339,80.9,0.86855,3.06735
88,Dorian Finney-Smith,HOU,POR,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
89,Cooper Flagg,DAL,LAC,F,34.00000,16.02727,6.42274,4.00007,1.26510,0.57093,2.86861,5.46233,12.76948,42.8,1.95048,5.58768,34.9,3.15213,3.83328,82.2,1.14630,5.27644
90,Simone Fontecchio,MIA,NYK,F,18.00000,8.33128,3.21015,1.22148,0.48204,0.20843,0.84989,2.83559,6.06722,46.7,1.32985,3.33448,39.9,1.33025,1.57760,84.3,0.60216,2.60798
91,De'Aaron Fox,SAS,GSW,G,35.00000,20.39271,4.70641,7.34529,1.65074,0.27302,3.52912,7.41605,15.60009,47.5,1.99086,5.77949,34.4,3.56976,4.48365,79.6,0.70337,4.00303
92,Enrique Freeman,MIN,SAC,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
93,Daniel Gafford,DAL,LAC,C,18.00000,7.48977,5.44013,1.07631,0.46206,0.97532,0.87831,2.97053,4.49498,66.1,0.09723,0.27448,35.4,1.45148,2.06109,70.4,1.84881,3.59131
94,Myron Gardner,MIA,NYK,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
95,Paul George,PHI,DET,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
96,Rudy Gobert,MIN,SAC,C,32.00000,14.01494,11.67070,2.08725,0.80256,1.87716,1.42586,5.35074,7.86210,68.1,0.15922,0.53553,29.7,3.15423,4.56310,69.1,3.22203,8.44867
97,Vladislav Goldin,MIA,NYK,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
98,Eric Gordon,PHI,DET,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
99,Jerami Grant,POR,HOU,F,30.00000,15.57447,3.57023,2.43302,0.94379,0.56022,1.51545,5.05173,12.09433,41.8,2.41832,6.45589,37.5,3.05269,3.65832,83.4,0.68992,2.88030
100,AJ Green,MIL,CHA,G,28.00000,10.42577,2.96307,2.43645,0.69771,0.20837,0.81161,3.50587,8.01915,43.7,2.71031,6.26941,43.2,0.70372,0.80856,87.0,0.51624,2.44683
101,Draymond Green,GSW,SAS,C,28.00000,9.26973,6.24580,4.28014,0.98670,0.89409,2.74184,3.35829,7.58260,44.3,0.98854,2.96499,33.3,1.56460,2.16719,72.2,1.01966,5.22614
102,Javonte Green,DET,PHI,F,22.00000,7.95978,4.25279,0.97100,1.06494,0.42362,0.53502,2.85429,5.71597,49.9,0.79324,2.27956,34.8,1.45797,1.85256,78.7,1.41943,2.83336
103,Jeff Green,HOU,POR,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
104,Josh Green,CHA,MIL,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
105,Quentin Grimes,PHI,DET,G,30.00000,16.04212,4.11007,3.28714,0.71655,0.42747,1.99245,5.37221,12.00504,44.7,2.76801,7.04877,39.3,2.52969,3.18056,79.5,0.92114,3.18893
106,Rui Hachimura,LAL,NOP,F,33.00000,12.83521,5.37196,1.71635,0.90346,0.35605,1.12957,4.76137,9.65279,49.3,1.78900,4.77264,37.5,1.52346,1.96309,77.6,0.95093,4.42102
107,Hansen Yang,POR,HOU,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
108,James Harden,LAC,DAL,G,38.00000,23.99445,6.04134,8.78190,1.33444,0.47085,4.33042,7.48527,18.62029,40.2,3.04722,9.08299,33.5,5.97669,7.06908,84.5,0.68057,5.36077
109,Jaden Hardy,DAL,LAC,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
110,Dylan Harper,SAS,GSW,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
111,Gary Harris,MIL,CHA,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
112,Kevon Harris,HOU,POR,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
113,Tobias Harris,DET,PHI,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
114,Josh Hart,NYK,MIA,F,26.00000,9.98557,7.40998,3.93723,0.96730,0.22622,1.66634,3.55136,7.76633,45.7,1.02900,3.20981,32.1,1.85384,2.29176,80.9,1.53768,5.87229
115,Jordan Hawkins,NOP,LAL,G,12.00000,6.17516,1.64413,0.93665,0.36563,0.10051,0.60956,2.06344,5.02529,41.1,1.07426,2.97587,36.1,0.97401,1.19010,81.8,0.20059,1.44354
116,Jaxson Hayes,LAL,NOP,C,15.00000,6.54466,3.73747,0.61187,0.37859,0.61136,0.72865,2.45639,3.97640,61.8,0.24056,0.74189,32.4,1.39133,1.75319,79.4,1.45592,2.28156
117,Scoot Henderson,POR,HOU,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
118,Tyler Herro,MIA,NYK,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
119,Buddy Hield,GSW,SAS,G,17.00000,7.62635,2.30586,1.46853,0.44575,0.18516,1.02024,2.74066,6.27804,43.7,1.48354,3.77015,39.3,0.66149,0.73065,90.5,0.47221,1.83364
120,Haywood Highsmith,BKN,ORL,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
121,Aaron Holiday,HOU,POR,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
122,Jrue Holiday,POR,HOU,G,35.00000,14.61566,4.61660,5.84822,1.37510,0.38077,2.30198,5.37940,12.54148,42.9,2.30082,6.49605,35.4,1.55603,1.83354,84.9,1.20433,3.41227
123,Ronald Holland II,DET,PHI,F,24.00000,10.60786,4.28320,1.90010,1.10282,0.67181,1.70583,4.09800,9.50936,43.1,0.91369,3.34399,27.3,1.49816,2.17829,68.8,0.74126,3.54194
124,Al Horford,GSW,SAS,C,21.00000,6.73028,5.07573,1.53804,0.44597,0.64987,0.84030,2.44591,5.43320,45.0,1.25577,3.14011,40.0,0.58268,0.73465,79.3,1.12499,3.95073
125,Jett Howard,ORL,BKN,F,10.00000,4.23913,1.43040,0.57025,0.22322,0.16884,0.56700,1.43381,3.28309,43.7,0.66521,1.83189,36.3,0.70631,0.90274,78.2,0.37418,1.05622
126,Ariel Hukporti,NYK,MIA,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
127,Bones Hyland,MIN,SAC,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
128,Joe Ingles,MIN,SAC,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
129,Harrison Ingram,SAS,GSW,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
130,Kyrie Irving,DAL,LAC,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
131,Jonathan Isaac,ORL,BKN,F,19.00000,7.57474,6.59001,1.06276,0.79604,1.09610,0.70934,2.65534,5.48874,48.4,0.78129,2.30285,33.9,1.48277,2.11816,70.0,2.05013,4.53987
132,Jaden Ivey,DET,PHI,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
133,Andre Jackson Jr.,MIL,CHA,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
134,Trayce Jackson-Davis,GSW,SAS,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
135,Kasparas Jakucionis,MIA,NYK,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
136,Bronny James,LAL,NOP,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
137,LeBron James,LAL,NOP,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
138,Sion James,CHA,MIL,G,25.00000,7.44920,3.64392,1.78757,0.74052,0.57313,0.80799,2.53839,5.60219,45.3,1.09412,3.00853,36.4,1.27830,1.54408,82.8,1.25067,2.39325
139,Jaime Jaquez Jr.,MIA,NYK,F,30.00000,15.93183,7.19102,4.21759,1.28029,0.37670,2.03935,5.83512,11.75784,49.6,1.29434,3.52603,36.7,2.96726,3.67459,80.8,1.02150,6.16952
140,Trey Jemison,NYK,MIA,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
141,Daniss Jenkins,DET,PHI,G,19.00000,10.00152,2.36444,3.09925,1.79048,0.03305,1.42591,3.87079,8.35362,46.3,1.21773,2.80467,43.4,1.04221,1.60501,64.9,0.99599,1.36845
142,Keldon Johnson,SAS,GSW,F,23.00000,10.71182,4.51910,1.76973,0.75480,0.12792,1.13044,3.84488,8.05866,47.7,1.19825,3.36119,35.6,1.82382,2.29738,79.4,0.98032,3.53878
143,Keshad Johnson,MIA,NYK,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
144,Derrick Jones Jr.,LAC,DAL,F,25.00000,11.06453,3.75320,1.02369,1.00231,0.57442,0.89944,4.27704,8.61230,49.7,1.04765,3.14845,33.3,1.46281,2.05984,71.0,1.17744,2.57575
145,Herbert Jones,NOP,LAL,F,33.00000,14.30103,4.77216,3.08121,1.67734,0.38655,1.73349,5.12008,10.56127,48.5,1.84562,4.68391,39.4,2.21526,2.80030,79.1,1.54909,3.22307
146,Isaac Jones,DET,PHI,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
147,Tyus Jones,ORL,BKN,G,12.00000,4.77846,1.39713,2.48637,0.43924,0.01412,0.46343,1.86425,3.94434,47.3,0.57919,1.43637,40.3,0.47078,0.62254,75.6,0.19180,1.20533
148,David Jones-Garcia,SAS,GSW,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
149,DeAndre Jordan,NOP,LAL,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
150,Nikola Jovic,MIA,NYK,F,24.00000,12.38888,4.73489,3.21009,0.71024,0.36809,1.32976,4.20782,8.74889,48.1,1.88186,4.64476,40.5,2.09139,2.58283,81.0,0.96533,3.76956
151,Johnny Juzang,MIN,SAC,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
152,Ryan Kalkbrenner,CHA,MIL,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
153,Miles Kelly,DAL,LAC,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
154,Maxi Kleber,LAL,NOP,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
155,Bobi Klintman,DET,PHI,F,7.00000,2.72870,1.77064,0.36887,0.29748,0.14658,0.23601,1.02785,2.50621,41.0,0.25450,0.88817,28.7,0.41849,0.54286,77.1,0.46057,1.31007
156,Dalton Knecht,LAL,NOP,F,13.00000,6.73327,2.00887,0.72953,0.34143,0.11664,0.49874,2.34082,5.07311,46.1,1.21176,3.24622,37.3,0.83986,1.05695,79.5,0.33548,1.67340
157,Kon Knueppel,CHA,MIL,F,32.00000,14.42878,5.78783,2.54164,0.78641,0.34408,2.63030,4.86295,10.54906,46.1,2.05325,5.49498,37.4,2.64964,3.05128,86.8,1.33664,4.45119
158,Tyler Kolek,NYK,MIA,G,8.00000,4.69958,1.20861,1.51034,0.25454,0.06329,0.73827,1.68344,4.40006,38.3,0.67329,2.00520,33.6,0.65941,0.74854,88.1,0.23918,0.96943
159,Christian Koloko,LAL,NOP,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
160,Luke Kornet,SAS,GSW,C,20.00000,6.82180,6.32733,1.65738,0.41385,0.76517,0.82685,2.78385,4.15703,67.0,0.15561,0.42662,36.5,1.09849,1.41272,77.8,3.06008,3.26725
161,Jonathan Kuminga,GSW,SAS,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
162,Kyle Kuzma,MIL,CHA,F,27.00000,13.15420,5.00232,2.89565,0.53460,0.43474,1.78162,4.93059,11.14587,44.2,1.62474,4.63918,35.0,1.66828,2.22974,74.8,0.86302,4.13929
163,Chaz Lanier,DET,PHI,G,4.00000,1.66371,0.34266,0.26152,0.10690,0.00768,0.07694,0.53165,1.55030,34.3,0.37117,1.23293,30.1,0.22924,0.24890,92.1,0.16006,0.18260
164,Jake LaRavia,LAL,NOP,F,25.00000,11.64202,4.55801,1.71839,0.49527,0.44430,1.78116,4.43693,8.05356,55.1,0.76518,2.45183,31.2,2.00298,2.70656,74.0,1.43346,3.12456
165,Pelle Larsson,MIA,NYK,F,27.00000,7.56466,5.85709,3.54640,1.07327,0.21635,3.01519,2.93370,6.72495,43.6,0.74517,2.72186,27.4,0.95209,1.46614,64.9,2.04009,3.81700
166,Zach LaVine,SAC,MIN,F,33.00000,19.37448,4.04920,2.91491,0.75630,0.26165,2.11081,6.85313,14.70170,46.6,2.87686,7.16121,40.2,2.79135,3.37793,82.6,0.54896,3.50024
167,Kawhi Leonard,LAC,DAL,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
168,Caris LeVert,DET,PHI,G,20.00000,10.63182,2.69481,2.56256,0.68709,0.28506,1.11469,3.60323,8.54430,42.2,1.58418,4.41242,35.9,1.84119,2.46336,74.7,0.58997,2.10484
169,E.J. Liddell,BKN,ORL,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
170,Damian Lillard,POR,HOU,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
171,Dereck Lively II,DAL,LAC,C,19.00000,6.88678,6.23029,1.86382,0.61182,0.90891,0.92659,2.78728,4.19486,66.4,0.10264,0.28973,35.4,1.20958,1.87074,64.7,2.12079,4.10950
172,Kevon Looney,NOP,LAL,C,10.00000,3.02143,3.91438,1.01793,0.29608,0.17054,0.38031,1.24984,2.19358,57.0,0.03600,0.13092,27.5,0.48575,0.79053,61.4,1.42894,2.48544
173,Brook Lopez,LAC,DAL,C,16.00000,6.66988,2.93784,0.89633,0.34890,0.84189,0.61206,2.52802,5.10417,49.5,0.74251,2.24055,33.1,0.87133,1.14420,76.2,0.96864,1.96920
174,Caleb Love,POR,HOU,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
175,Kyle Lowry,PHI,DET,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
176,Terance Mann,BKN,ORL,G,28.00000,12.65479,4.19353,2.92281,0.76977,0.16866,1.29118,4.45106,9.21842,48.3,1.41033,3.79261,37.2,2.34234,2.88043,81.3,1.01336,3.18017
177,Tre Mann,CHA,MIL,G,24.00000,11.50366,4.16999,3.28898,0.81387,0.25816,1.38159,4.17650,9.76405,42.8,1.63889,4.60276,35.6,1.51177,1.90130,79.5,0.78394,3.38605
178,Chris Manon,LAL,NOP,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
179,Naji Marshall,DAL,LAC,F,25.00000,9.94313,4.26670,2.58116,0.98531,0.16908,1.48817,3.58910,8.08305,44.4,1.17955,3.64088,32.4,1.58538,2.01870,78.5,1.00088,3.26581
180,Caleb Martin,DAL,LAC,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
181,Tyrese Martin,BKN,ORL,G,18.00000,8.66233,3.03293,2.08277,0.83421,0.08978,1.92450,2.91296,6.62702,44.0,1.25093,3.58221,34.9,1.58547,1.91875,82.6,1.33169,1.70125
182,Karlo Matkovic,NOP,LAL,C,15.00000,6.56259,3.46086,1.40848,0.60370,0.49846,0.60511,2.69662,5.02862,53.6,0.42662,1.25333,34.0,0.74272,1.02470,72.5,0.95493,2.50592
183,Tyrese Maxey,PHI,DET,G,37.00000,26.81716,4.11656,7.32900,1.04953,0.62759,2.52561,8.23545,18.94343,43.5,3.75274,9.18629,40.9,6.59352,7.35161,89.7,0.35845,3.75811
184,Miles McBride,NYK,MIA,G,30.00000,14.68189,3.68228,4.37985,1.38958,0.26372,1.26969,5.06701,12.53956,40.4,2.74765,7.55415,36.4,1.80022,2.05371,87.7,0.58016,3.10213
185,Jared McCain,PHI,DET,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
186,Kevin McCullar Jr.,NYK,MIA,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
187,Jaden McDaniels,MIN,SAC,F,33.00000,14.06219,6.67329,1.69919,1.07784,0.92377,1.47113,5.58930,10.67789,52.3,1.37081,3.84775,35.6,1.51278,1.95585,77.3,1.59553,5.07777
188,Doug McDermott,SAC,MIN,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
189,Bryce McGowens,NOP,LAL,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
190,Jordan McLaughlin,SAS,GSW,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
191,Liam McNeeley,CHA,MIL,F,12.00000,6.07117,2.77818,1.28608,0.31932,0.40851,0.99111,2.05335,4.37513,46.9,0.53464,1.52730,35.0,1.42982,1.72781,82.8,0.63966,2.13852
192,De'Anthony Melton,GSW,SAS,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
193,Brandon Miller,CHA,MIL,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
194,Jordan Miller,LAC,DAL,G,12.00000,9.80419,1.93524,0.63563,0.48730,0.01111,0.12446,2.79235,5.11475,54.6,2.09788,3.29435,63.7,2.12161,2.64328,80.3,0.44483,1.49041
195,Leonard Miller,MIN,SAC,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
196,Riley Minix,SAS,GSW,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
197,Yves Missi,NOP,LAL,C,11.00000,4.07461,3.64230,0.68867,0.27089,0.33835,0.54936,1.61282,2.82048,57.2,0.03960,0.14401,27.5,0.80936,1.28306,63.1,1.12515,2.51715
