,Player,Team,Pos,Pass Comp,Pass Att,Pass Yards,Pass TD,Int,Rush Att,Rush Yards,Rush TD,Rec,Rec Yards,Rec TD
595,Dalton Schultz,HOU,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.33,482.0,2.77
596,Kenneth Gainwell,PIT,RB,0.0,0.0,0.0,0.0,0.0,53.8,221.4,1.4,21.4,153.73,0.8
597,Khadarel Hodge,ATL,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.53,236.07,1.33
598,Emari Demercado,ARZ,RB,0.0,0.0,0.0,0.0,0.0,29.2,147.2,0.7,17.13,120.8,0.8
599,Irv Smith,HOU,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,8.8,0.1
600,Devin Duvernay,CHI,WR,0.0,0.0,0.0,0.0,0.0,1.0,6.33,0.03,2.07,18.93,0.13
601,D.J. Williams,TB,RB,0.0,0.0,0.0,0.0,0.0,1.3,5.3,0.0,0.4,2.8,0.0
602,Theo Johnson,NYG,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.47,523.0,2.83
603,Najee Harris,LAC,RB,0.0,0.0,0.0,0.0,0.0,100.4,401.93,3.4,17.47,128.33,0.43
604,John Stephens,DAL,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
605,Cooper Kupp,SEA,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.13,689.27,4.1
606,Irvin Charles,NYJ,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.1
607,Chuba Hubbard,CAR,RB,0.0,0.0,0.0,0.0,0.0,216.27,963.53,8.53,37.87,216.87,1.47
608,Jacob Cowing,SF,WR,0.0,0.0,0.0,0.0,0.0,7.53,43.13,0.13,6.67,86.93,0.63
609,David Martin-Robinson,TEN,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.47,34.67,0.2
610,Ja'Quinden Jackson,JAX,RB,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
611,Brock Bowers,LVR,TE,0.0,0.0,0.0,0.0,0.0,0.67,4.33,0.03,94.0,1055.0,5.63
612,Emanuel Wilson,GB,RB,0.0,0.0,0.0,0.0,0.0,49.87,226.33,1.3,11.4,73.4,0.53
613,Zamir White,LVR,RB,0.0,0.0,0.0,0.0,0.0,14.27,50.53,0.17,2.6,17.6,0.0
614,Bijan Robinson,ATL,RB,0.0,0.0,0.0,0.0,0.0,258.67,1215.2,10.37,52.73,402.0,2.1
615,Tim Patrick,DET,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8,362.2,2.2
616,Nikko Remigio,KAN,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,8.2,0.03
617,Van Jefferson,TEN,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.4,347.87,2.23
618,Jonnu Smith,PIT,TE,0.0,0.0,0.0,0.0,0.0,0.8,4.13,0.03,53.2,576.27,3.77
619,Luke Schoonmaker,DAL,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.67,179.07,1.13
620,Kendre Miller,NOR,RB,0.0,0.0,0.0,0.0,0.0,86.27,356.0,2.63,14.53,109.73,0.4
621,Ladd McConkey,LAC,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.27,1195.4,6.43
622,Daniel Bellinger,NYG,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.73,76.93,0.43
623,Hunter Long,JAX,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.07,55.33,0.27
624,Jaylen Waddle,MIA,WR,0.0,0.0,0.0,0.0,0.0,2.0,14.87,0.13,75.4,959.6,5.4
625,Luke Farrell,SF,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,84.13,0.43
626,Elijah Higgins,ARZ,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.07,204.47,1.23
627,Xavier Restrepo,TEN,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0
628,Oronde Gadsden,LAC,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,198.67,1.27
629,DeAndre Carter,CLE,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.93,40.73,0.27
