"Player","Pos","Team","Opp","DK Proj","FD Proj","FFPC Proj","Standard Proj","Half PPR Proj","Full PPR Proj","DK Ceiling","FD Ceiling","Slate"
"Tez Johnson","WR","TB","@NO","11.2","9.4","10.9","7.4","9.2","10.9","22.8","20.1","Main"
"Tony Pollard","RB","TEN","@IND","11.2","9.9","11.1","8.5","9.8","11.0","20.4","18.6","Main"
"Zach Ertz","TE","WAS","@KC","11.2","8.8","13.3","6.4","8.7","11.0","20.5","17.0","Monday"
"Harold Fannin","TE","CLE","@NE","11.1","8.5","13.4","5.9","8.4","10.9","19.7","15.9","Main"
"Matthew Golden","WR","GB","@PIT","11.1","9.3","10.8","7.2","9.0","10.8","21.8","19.0","Sunday"
"Woody Marks","RB","HOU","SF","11.0","9.6","10.9","8.1","9.5","10.9","20.6","18.4","Main"
"Jerry Jeudy","WR","CLE","@NE","10.9","8.9","10.7","6.6","8.6","10.6","20.8","17.8","Main"
"Dallas Goedert","TE","PHI","NYG","10.9","8.7","12.9","6.4","8.5","10.7","20.6","17.2","Main"
"Darnell Mooney","WR","ATL","MIA","10.8","9.0","10.5","7.0","8.7","10.4","22.0","19.2","Main"
"Jauan Jennings","WR","SF","@HOU","10.8","8.7","10.5","6.4","8.4","10.5","20.9","17.6","Main"
"Chuba Hubbard","RB","CAR","BUF","10.7","9.4","10.6","7.9","9.2","10.5","20.0","18.2","Main"
"Kyle Pitts","TE","ATL","MIA","10.5","8.5","12.4","6.2","8.3","10.3","20.2","16.9","Main"
"Mason Taylor","TE","NYJ","@CIN","10.5","8.2","12.6","5.7","8.0","10.3","18.9","15.4","Main"
"Travis Kelce","TE","KC","WAS","10.3","8.3","12.1","6.2","8.2","10.1","19.7","16.6","Monday"
"Evan Engram","TE","DEN","DAL","10.2","8.1","12.1","6.0","8.0","10.1","19.1","16.0","Main"
"DJ Moore","WR","CHI","@BAL","10.1","8.2","10.0","6.2","8.1","9.9","19.3","16.4","Main"
"Troy Franklin","WR","DEN","DAL","10.1","8.3","9.9","6.3","8.1","9.9","20.2","17.4","Main"
"IND DST","DST","IND","TEN","10.1","10.1","11.0","10.1","10.1","10.1","17.9","17.9","Main"
"Oronde Gadsden","TE","LAC","MIN","10.0","8.0","11.7","5.9","7.9","9.8","19.3","16.3","Thursday"
"Hunter Henry","TE","NE","CLE","9.9","8.2","11.6","6.3","8.0","9.8","19.6","16.8","Main"
"Theo Johnson","TE","NYG","@PHI","9.9","7.8","11.9","5.7","7.7","9.8","18.6","15.4","Main"
"Mark Andrews","TE","BAL","CHI","9.8","8.1","11.3","6.3","8.0","9.7","19.7","17.0","Main"
"Jonnu Smith","TE","PIT","GB","9.8","7.7","11.9","5.5","7.6","9.7","18.4","15.1","Sunday"
"Nick Chubb","RB","HOU","SF","9.6","8.5","9.5","7.4","8.4","9.4","18.5","16.9","Main"
"Jayden Higgins","WR","HOU","SF","9.6","7.8","9.4","5.9","7.6","9.4","19.2","16.5","Main"
"Josh Reynolds","WR","NYJ","@CIN","9.6","7.8","9.4","5.9","7.6","9.4","19.0","16.2","Main"
"Kendrick Bourne","WR","SF","@HOU","9.5","7.6","9.3","5.6","7.4","9.2","18.7","15.8","Main"
"Sterling Shepard","WR","TB","@NO","9.5","7.8","9.3","6.0","7.7","9.3","19.4","16.8","Main"
"Cade Otton","TE","TB","@NO","9.5","7.6","11.4","5.5","7.5","9.4","18.6","15.5","Main"
"Elic Ayomanor","WR","TEN","@IND","9.5","7.7","9.3","5.8","7.6","9.3","18.5","15.8","Main"
"Evan McPherson","K","CIN","NYJ","9.4","9.4","10.1","9.4","9.4","9.4","16.0","16.0","Main"
"Cameron Dicker","K","LAC","MIN","9.4","9.4","10.2","9.4","9.4","9.4","16.1","16.1","Thursday"
"Parker Romo","K","ATL","MIA","9.3","9.3","10.0","9.3","9.3","9.3","15.7","15.7","Main"
"Michael Badgley","K","IND","TEN","9.3","9.3","10.0","9.3","9.3","9.3","15.6","15.6","Main"
"Matt Prater","K","BUF","@CAR","9.2","9.2","9.9","9.2","9.2","9.2","15.5","15.5","Main"
"Wil Lutz","K","DEN","DAL","9.2","9.2","9.9","9.2","9.2","9.2","15.5","15.5","Main"
"Harrison Butker","K","KC","WAS","9.2","9.2","9.9","9.2","9.2","9.2","15.5","15.5","Monday"
"Jake Elliott","K","PHI","NYG","9.2","9.2","9.9","9.2","9.2","9.2","15.5","15.5","Main"
"Aaron Jones","RB","MIN","@LAC","9.1","7.9","9.1","6.7","7.8","9.0","17.7","15.9","Thursday"
"Lucas Havrisik","K","GB","@PIT","9.1","9.1","9.8","9.1","9.1","9.1","15.5","15.5","Sunday"
"Eddy Piu00f1eiro","K","SF","@HOU","9.1","9.1","9.9","9.1","9.1","9.1","15.9","15.9","Main"
"Chase McLaughlin","K","TB","@NO","9.1","9.1","9.8","9.1","9.1","9.1","15.4","15.4","Main"
"Marvin Mims","WR","DEN","DAL","8.9","7.3","8.8","5.6","7.2","8.8","18.1","15.6","Main"
"Malik Washington","WR","MIA","@ATL","8.9","7.0","8.8","5.1","7.0","8.8","17.0","14.2","Main"
"Juwan Johnson","TE","NO","TB","8.9","7.0","10.8","5.0","6.9","8.8","16.8","13.8","Main"
"Tyler Allgeier","RB","ATL","MIA","8.8","8.4","8.6","7.8","8.2","8.6","18.3","17.7","Main"
"Dalton Kincaid","TE","BUF","@CAR","8.8","7.1","10.4","5.3","7.0","8.7","17.9","15.1","Main"
"Tyjae Spears","RB","TEN","@IND","8.8","7.3","8.8","5.9","7.3","8.7","16.6","14.5","Main"
"Brandon Aubrey","K","DAL","@DEN","8.8","8.8","9.4","8.8","8.8","8.8","15.0","15.0","Main"
"Ka'imi Fairbairn","K","HOU","SF","8.8","8.8","9.5","8.8","8.8","8.8","15.4","15.4","Main"
"Will Reichard","K","MIN","@LAC","8.8","8.8","9.5","8.8","8.8","8.8","15.2","15.2","Thursday"
"TJ Hockenson","TE","MIN","@LAC","8.7","6.7","10.6","4.7","6.7","8.6","16.5","13.4","Thursday"
"Andy Borregales","K","NE","CLE","8.6","8.6","9.3","8.6","8.6","8.6","15.1","15.1","Main"
"CIN DST","DST","CIN","NYJ","8.6","8.6","9.6","8.6","8.6","8.6","16.1","16.1","Main"
"Tyler Loop","K","BAL","CHI","8.5","8.5","9.1","8.5","8.5","8.5","14.5","14.5","Main"
"Xavier Legette","WR","CAR","BUF","8.4","6.7","8.3","5.0","6.6","8.2","16.8","14.2","Main"
"Kenneth Gainwell","RB","PIT","GB","8.4","6.9","8.4","5.5","6.9","8.4","16.5","14.3","Sunday"
"Blake Grupe","K","NO","TB","8.3","8.3","9.0","8.3","8.3","8.3","14.6","14.6","Main"
"Chris Boswell","K","PIT","GB","8.3","8.3","9.0","8.3","8.3","8.3","14.6","14.6","Sunday"
"PHI DST","DST","PHI","NYG","8.3","8.3","9.1","8.3","8.3","8.3","16.0","16.0","Main"
"Rashod Bateman","WR","BAL","CHI","8.2","6.9","8.0","5.5","6.7","8.0","18.0","15.9","Main"
"Nick Folk","K","NYJ","@CIN","8.2","8.2","9.0","8.2","8.2","8.2","15.0","15.0","Main"
"NE DST","DST","NE","CLE","8.2","8.2","9.1","8.2","8.2","8.2","15.5","15.5","Main"
"RJ Harvey","RB","DEN","DAL","8.0","6.8","8.0","5.6","6.8","7.9","16.9","15.0","Main"
"Xavier Hutchinson","WR","HOU","SF","8.0","6.5","7.9","5.0","6.4","7.9","16.6","14.2","Main"
"Kayshon Boutte","WR","NE","CLE","8.0","6.8","7.8","5.5","6.6","7.8","17.5","15.5","Main"
"Ryan Fitzgerald","K","CAR","BUF","8.0","8.0","8.6","8.0","8.0","8.0","14.2","14.2","Main"
"Justice Hill","RB","BAL","CHI","7.8","6.3","7.7","4.8","6.3","7.7","16.5","14.1","Main"
"Colston Loveland","TE","CHI","@BAL","7.8","6.2","9.4","4.5","6.1","7.8","15.7","13.1","Main"
"Jaylin Lane","WR","WAS","@KC","7.8","6.4","7.7","4.9","6.3","7.7","16.4","14.0","Monday"
"Andre Szmyt","K","CLE","@NE","7.8","7.8","8.5","7.8","7.8","7.8","14.3","14.3","Main"
"Younghoe Koo","K","NYG","@PHI","7.8","7.8","8.4","7.8","7.8","7.8","14.1","14.1","Main"
"Olamide Zaccheaus","WR","CHI","@BAL","7.7","6.2","7.6","4.7","6.1","7.6","16.0","13.6","Main"
"Samaje Perine","RB","CIN","NYJ","7.7","6.9","7.6","6.1","6.8","7.5","15.8","14.6","Main"
"Jaylin Noel","WR","HOU","SF","7.7","6.2","7.6","4.6","6.1","7.6","16.0","13.6","Main"
"KC DST","DST","KC","WAS","7.7","7.7","8.6","7.7","7.7","7.7","14.9","14.9","Monday"
"Isaiah Likely","TE","BAL","CHI","7.6","6.1","8.9","4.7","6.1","7.5","16.0","13.6","Main"
"TreVeyon Henderson","RB","NE","CLE","7.6","6.6","7.6","5.6","6.6","7.6","15.7","14.0","Main"
"Chris Moore","WR","WAS","@KC","7.6","6.3","7.5","4.8","6.2","7.5","16.2","14.0","Monday"
"Noah Fant","TE","CIN","NYJ","7.5","5.8","9.0","4.2","5.8","7.4","14.9","12.2","Main"
"Jake Moody","K","CHI","@BAL","7.5","7.5","8.0","7.5","7.5","7.5","13.5","13.5","Main"
"Riley Patterson","K","MIA","@ATL","7.5","7.5","8.1","7.5","7.5","7.5","13.6","13.6","Main"
"Isaiah Bond","WR","CLE","@NE","7.4","6.0","7.3","4.5","5.9","7.3","15.2","12.9","Main"
"Chimere Dike","WR","TEN","@IND","7.4","5.9","7.4","4.4","5.9","7.3","15.0","12.6","Main"
"Matthew Wright","K","TEN","@IND","7.4","7.4","8.0","7.4","7.4","7.4","13.6","13.6","Main"
"ATL DST","DST","ATL","MIA","7.4","7.4","8.3","7.4","7.4","7.4","14.6","14.6","Main"
"Darnell Washington","TE","PIT","GB","7.3","5.8","8.8","4.2","5.7","7.3","14.8","12.3","Sunday"
"Chig Okonkwo","TE","TEN","@IND","7.3","5.7","9.0","3.9","5.6","7.3","14.3","11.6","Main"
"Lil'Jordan Humphrey","WR","NYG","@PHI","7.2","5.8","7.1","4.3","5.7","7.1","15.0","12.7","Main"
"BUF DST","DST","BUF","@CAR","7.2","7.2","8.1","7.2","7.2","7.2","14.5","14.5","Main"
"SF DST","DST","SF","@HOU","7.2","7.2","8.0","7.2","7.2","7.2","14.4","14.4","Main"
"TB DST","DST","TB","@NO","7.2","7.2","8.1","7.2","7.2","7.2","14.6","14.6","Main"
"Matt Gay","K","WAS","@KC","7.1","7.1","7.6","7.1","7.1","7.1","13.0","13.0","Monday"
"Marquise Brown","WR","KC","WAS","7.0","5.7","6.9","4.5","5.7","6.9","15.3","13.3","Monday"
"Van Jefferson","WR","TEN","@IND","7.0","5.7","6.9","4.3","5.6","6.9","14.8","12.6","Main"
"BAL DST","DST","BAL","CHI","7.0","7.0","7.8","7.0","7.0","7.0","14.3","14.3","Main"
"LAC DST","DST","LAC","MIN","7.0","7.0","7.8","7.0","7.0","7.0","14.1","14.1","Thursday"
"HOU DST","DST","HOU","SF","6.8","6.8","7.6","6.8","6.8","6.8","13.9","13.9","Main"
"CLE DST","DST","CLE","@NE","6.4","6.4","7.2","6.4","6.4","6.4","13.6","13.6","Main"
"Christian Watson","WR","GB","@PIT","6.3","5.3","6.2","4.2","5.2","6.2","14.6","12.8","Sunday"
"GB DST","DST","GB","@PIT","6.3","6.3","7.1","6.3","6.3","6.3","13.3","13.3","Sunday"
"MIN DST","DST","MIN","@LAC","6.3","6.3","7.1","6.3","6.3","6.3","13.3","13.3","Thursday"
"Jalen Coker","WR","CAR","BUF","6.1","5.0","6.1","3.7","4.9","6.1","13.4","11.3","Main"
"Andrei Iosivas","WR","CIN","NYJ","6.1","5.0","6.0","3.9","4.9","6.0","13.8","12.0","Main"
"Brashard Smith","RB","KC","WAS","6.0","4.9","6.0","3.8","4.9","6.0","13.4","11.6","Monday"
"Kyle Monangai","RB","CHI","@BAL","5.8","5.2","5.8","4.5","5.1","5.7","13.0","12.0","Main"
"Kavontae Turpin","WR","DAL","@DEN","5.8","4.8","5.8","3.8","4.8","5.8","13.2","11.5","Main"
"Nick Westbrook-Ikhine","WR","MIA","@ATL","5.8","4.8","5.8","3.7","4.7","5.8","13.0","11.2","Main"
"Isaiah Davis","RB","NYJ","@CIN","5.8","4.7","5.8","3.6","4.7","5.8","12.4","10.6","Main"
"Demario Douglas","WR","NE","CLE","5.7","4.6","5.7","3.4","4.6","5.7","12.8","10.9","Main"
"Pat Freiermuth","TE","PIT","GB","5.7","4.6","6.9","3.4","4.6","5.7","12.5","10.5","Sunday"
"Tyrone Tracy","RB","NYG","@PHI","5.5","4.8","5.5","4.2","4.8","5.5","12.1","11.0","Main"
"Gunnar Helm","TE","TEN","@IND","5.5","4.3","6.8","3.1","4.3","5.5","11.8","9.7","Main"
"Luke McCaffrey","WR","WAS","@KC","5.5","4.4","5.4","3.3","4.4","5.4","12.4","10.5","Monday"
"NYJ DST","DST","NYJ","@CIN","5.5","5.5","6.3","5.5","5.5","5.5","12.6","12.6","Main"
"Jerome Ford","RB","CLE","@NE","5.4","4.2","5.4","2.9","4.2","5.4","11.5","9.4","Main"
"Jalen Nailor","WR","MIN","@LAC","5.4","4.4","5.3","3.4","4.3","5.3","12.4","10.8","Thursday"
"DEN DST","DST","DEN","DAL","5.4","5.4","6.1","5.4","5.4","5.4","12.3","12.3","Main"
"Luther Burden","WR","CHI","@BAL","5.3","4.3","5.3","3.3","4.3","5.3","12.2","10.5","Main"
"DeAndre Hopkins","WR","BAL","CHI","5.2","4.3","5.1","3.5","4.3","5.1","12.9","11.4","Main"
"Tyrell Shavers","WR","BUF","@CAR","5.2","4.3","5.2","3.4","4.3","5.2","12.5","10.9","Main"
"NYG DST","DST","NYG","@PHI","5.2","5.2","5.9","5.2","5.2","5.2","11.8","11.8","Main"
"Taysom Hill","TE","NO","TB","5.1","4.7","5.5","4.3","4.7","5.0","11.7","11.1","Main"
"Jeremy McNichols","RB","WAS","@KC","5.1","4.1","5.1","3.0","4.1","5.1","11.3","9.5","Monday"
"PIT DST","DST","PIT","GB","5.1","5.1","5.8","5.1","5.1","5.1","11.9","11.9","Sunday"
"Arian Smith","WR","NYJ","@CIN","4.9","4.0","4.8","3.1","4.0","4.8","11.4","9.8","Main"
"Sean Tucker","RB","TB","@NO","4.8","4.3","4.8","3.8","4.3","4.7","11.3","10.5","Main"
"MIA DST","DST","MIA","@ATL","4.8","4.8","5.5","4.8","4.8","4.8","11.3","11.3","Main"
"NO DST","DST","NO","TB","4.7","4.7","5.4","4.7","4.7","4.7","11.4","11.4","Main"
"Jamari Thrash","WR","CLE","@NE","4.6","3.7","4.6","2.8","3.7","4.6","10.6","8.9","Main"
"Anthony Gould","WR","IND","TEN","4.6","3.7","4.6","2.9","3.7","4.6","11.4","9.9","Main"
"Kareem Hunt","RB","KC","WAS","4.6","4.3","4.6","4.0","4.3","4.5","11.4","11.0","Monday"
"Roman Wilson","WR","PIT","GB","4.6","3.7","4.6","2.9","3.7","4.6","11.1","9.5","Sunday"
"Ja'Tavion Sanders","TE","CAR","BUF","4.5","3.5","5.5","2.5","3.5","4.5","10.2","8.3","Main"
"DAL DST","DST","DAL","@DEN","4.5","4.5","5.3","4.5","4.5","4.5","11.2","11.2","Main"
"Ollie Gordon","RB","MIA","@ATL","4.4","4.0","4.4","3.6","3.9","4.3","10.2","9.5","Main"
"Jalin Hyatt","WR","NYG","@PHI","4.4","3.7","4.4","2.9","3.6","4.4","11.1","9.6","Main"
"Allen Lazard","WR","NYJ","@CIN","4.4","3.6","4.4","2.7","3.6","4.4","10.6","9.0","Main"
"Tommy Tremble","TE","CAR","BUF","4.3","3.3","5.2","2.4","3.3","4.3","9.8","8.0","Main"
"Braxton Berrios","WR","HOU","SF","4.3","3.4","4.2","2.6","3.4","4.2","10.5","8.9","Main"
"Elijah Moore","WR","BUF","@CAR","4.2","3.5","4.2","2.8","3.5","4.2","11.0","9.7","Main"
