"Player","Pos","Team","Opp","DK Proj","FD Proj","FFPC Proj","Standard Proj","Half PPR Proj","Full PPR Proj","DK Ceiling","FD Ceiling","Slate"
"Kyle Williams","WR","NE","CLE","1.6","1.3","1.6","1.1","1.3","1.6","5.6","4.9","Main"
"David Sills V","WR","ATL","MIA","1.5","1.3","1.5","1.0","1.3","1.5","5.3","4.5","Main"
"John FitzPatrick","TE","GB","@PIT","1.5","1.2","1.9","0.9","1.2","1.5","4.9","4.1","Sunday"
"Harrison Bryant","TE","HOU","SF","1.5","1.2","1.8","0.9","1.2","1.5","4.7","3.9","Main"
"John Bates","TE","WAS","@KC","1.5","1.1","1.8","0.8","1.1","1.5","4.6","3.7","Monday"
"Keaton Mitchell","RB","BAL","CHI","1.4","1.3","1.4","1.3","1.3","1.4","4.7","4.6","Main"
"Luke Farrell","TE","SF","@HOU","1.4","1.1","1.7","0.8","1.1","1.4","4.6","3.7","Main"
"Mason Kinsey","WR","TEN","@IND","1.3","1.0","1.3","0.7","1.0","1.3","4.3","3.6","Main"
"Jackson Hawes","TE","BUF","@CAR","1.2","1.0","1.4","0.8","1.0","1.2","4.4","3.7","Main"
"Foster Moreau","TE","NO","TB","1.2","1.0","1.5","0.7","1.0","1.2","4.1","3.4","Main"
"Tylan Wallace","WR","BAL","CHI","1.1","0.9","1.1","0.7","0.9","1.1","4.4","3.8","Main"
"Charlie Kolar","TE","BAL","CHI","1.1","0.9","1.3","0.7","0.9","1.1","4.1","3.4","Main"
"Durham Smythe","TE","CHI","@BAL","1.1","0.9","1.3","0.6","0.9","1.1","4.0","3.3","Main"
"Devaughn Vele","WR","NO","TB","1.1","0.9","1.1","0.6","0.9","1.1","3.9","3.2","Main"
"Tank Bigsby","RB","PHI","NYG","1.1","1.0","1.1","1.0","1.0","1.1","4.1","4.0","Main"
"Hunter Luepke","RB","DAL","@DEN","1.0","0.8","1.0","0.6","0.8","1.0","3.6","3.0","Main"
"DJ Giddens","RB","IND","TEN","1.0","1.0","1.0","0.9","1.0","1.0","3.8","3.7","Main"
"Devin Singletary","RB","NYG","@PHI","1.0","0.9","1.0","0.9","0.9","1.0","3.4","3.2","Main"
"Charlie Woerner","TE","ATL","MIA","0.9","0.7","1.0","0.5","0.7","0.9","3.3","2.7","Main"
"Malachi Corley","WR","CLE","@NE","0.9","0.7","0.9","0.6","0.7","0.9","3.4","2.9","Main"
"Scotty Miller","WR","PIT","GB","0.9","0.7","0.9","0.6","0.7","0.9","3.4","2.8","Sunday"
"Connor Heyward","TE","PIT","GB","0.9","0.7","1.1","0.6","0.7","0.9","3.5","2.8","Sunday"
"Brycen Tremayne","WR","CAR","BUF","0.8","0.6","0.8","0.5","0.6","0.8","3.1","2.5","Main"
"Kaleb Johnson","RB","PIT","GB","0.8","0.7","0.8","0.7","0.7","0.8","2.9","2.8","Sunday"
"Gage Larvadain","WR","CLE","@NE","0.7","0.6","0.7","0.4","0.6","0.7","2.8","2.2","Main"
"Ryan Flournoy","WR","DAL","@DEN","0.7","0.6","0.7","0.5","0.6","0.7","2.9","2.5","Main"
"Amar Johnson","RB","LAC","MIN","0.7","0.6","0.7","0.6","0.6","0.7","2.8","2.6","Thursday"
"Kylen Granson","TE","PHI","NYG","0.7","0.6","0.9","0.4","0.6","0.7","2.9","2.3","Main"
"Roschon Johnson","RB","CHI","@BAL","0.6","0.6","0.6","0.6","0.6","0.6","2.6","2.4","Main"
"Mitchell Tinsley","WR","CIN","NYJ","0.6","0.5","0.6","0.4","0.5","0.6","2.6","2.1","Main"
"Trent Sherfield","WR","DEN","DAL","0.6","0.5","0.6","0.4","0.5","0.6","2.6","2.2","Main"
"Chris Brooks","RB","GB","@PIT","0.6","0.5","0.6","0.4","0.5","0.6","2.7","2.2","Sunday"
"Will Dissly","TE","LAC","MIN","0.6","0.5","0.7","0.4","0.5","0.6","2.6","2.1","Thursday"
"Tucker Fisk","TE","LAC","MIN","0.6","0.5","0.8","0.4","0.5","0.6","2.7","2.2","Thursday"
"Jack Stoll","TE","NO","TB","0.6","0.5","0.7","0.3","0.5","0.6","2.4","1.8","Main"
"Ben Skowronek","WR","PIT","GB","0.6","0.5","0.6","0.4","0.5","0.6","2.4","1.9","Sunday"
"Malik Turner","WR","SF","@HOU","0.6","0.4","0.6","0.3","0.4","0.6","2.3","1.8","Main"
"Ryan Miller","WR","TB","@NO","0.6","0.5","0.6","0.4","0.5","0.6","2.7","2.3","Main"
"Adam Prentice","RB","DEN","DAL","0.5","0.4","0.5","0.4","0.4","0.5","2.1","1.9","Main"
"Terrell Jennings","RB","NE","CLE","0.5","0.5","0.5","0.5","0.5","0.5","2.1","2.1","Main"
"Jake Tonges","TE","SF","@HOU","0.5","0.4","0.7","0.3","0.4","0.5","2.2","1.7","Main"
"Ben Sinnott","TE","WAS","@KC","0.5","0.4","0.6","0.3","0.4","0.5","2.0","1.6","Monday"
"Trevor Etienne","RB","CAR","BUF","0.4","0.4","0.4","0.4","0.4","0.4","1.9","1.7","Main"
"Skyy Moore","WR","SF","@HOU","0.4","0.4","0.4","0.3","0.4","0.4","1.9","1.6","Main"
"KhaDarel Hodge","WR","ATL","MIA","0.3","0.2","0.3","0.2","0.2","0.3","1.1","0.9","Main"
"Stephen Carlson","TE","CHI","@BAL","0.3","0.2","0.3","0.2","0.2","0.3","1.2","1.0","Main"
"Joe Burrow","QB","CIN","NYJ","0.3","0.3","0.3","0.3","0.3","0.3","1.0","1.0","Main"
"Cam Grandy","TE","CIN","NYJ","0.3","0.3","0.4","0.2","0.3","0.3","1.3","1.1","Main"
"Jonathan Mingo","WR","DAL","@DEN","0.3","0.3","0.3","0.2","0.3","0.3","1.3","1.1","Main"
"Brevyn Spann-Ford","TE","DAL","@DEN","0.3","0.3","0.4","0.2","0.3","0.3","1.3","1.0","Main"
"Dare Ogunbowale","RB","HOU","SF","0.3","0.2","0.3","0.2","0.2","0.3","1.3","1.0","Main"
"Drew Ogletree","TE","IND","TEN","0.3","0.3","0.4","0.2","0.3","0.3","1.4","1.2","Main"
"Scott Matlock","RB","LAC","MIN","0.3","0.2","0.3","0.1","0.2","0.3","1.1","0.9","Thursday"
"Mason Tipton","WR","NO","TB","0.3","0.2","0.3","0.2","0.2","0.3","1.1","0.9","Main"
"Chris Manhertz","TE","NYG","@PHI","0.3","0.2","0.3","0.2","0.2","0.3","1.0","0.8","Main"
"Andrew Beck","TE","NYJ","@CIN","0.3","0.2","0.3","0.1","0.2","0.3","1.1","0.8","Main"
"Payne Durham","TE","TB","@NO","0.3","0.3","0.4","0.2","0.3","0.3","1.4","1.1","Main"
"Nathan Carter","RB","ATL","MIA","0.2","0.2","0.2","0.2","0.2","0.2","0.9","0.9","Main"
"Feleipe Franks","TE","ATL","MIA","0.2","0.2","0.2","0.1","0.2","0.2","0.6","0.5","Main"
